Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Germany,Germany,DE,237.13,293.71,75.56,65.34,entsoe.eu
2022-01-02 00:00:00,Germany,Germany,DE,153.69,201.50,83.23,75.17,entsoe.eu
2022-01-03 00:00:00,Germany,Germany,DE,250.02,300.00,74.52,68.52,entsoe.eu
2022-01-04 00:00:00,Germany,Germany,DE,464.14,531.17,53.06,46.11,entsoe.eu
2022-01-05 00:00:00,Germany,Germany,DE,326.94,380.15,67.21,61.46,entsoe.eu
2022-01-06 00:00:00,Germany,Germany,DE,487.12,557.02,50.48,43.08,entsoe.eu
2022-01-07 00:00:00,Germany,Germany,DE,423.16,484.78,57.88,51.88,entsoe.eu
2022-01-08 00:00:00,Germany,Germany,DE,406.86,468.62,59.45,52.81,entsoe.eu
2022-01-09 00:00:00,Germany,Germany,DE,421.80,486.87,57.50,51.67,entsoe.eu
2022-01-10 00:00:00,Germany,Germany,DE,617.62,703.03,34.12,26.59,entsoe.eu
2022-01-11 00:00:00,Germany,Germany,DE,584.15,664.25,37.93,30.08,entsoe.eu
2022-01-12 00:00:00,Germany,Germany,DE,574.73,653.93,39.16,31.86,entsoe.eu
2022-01-13 00:00:00,Germany,Germany,DE,456.15,522.02,52.64,46.69,entsoe.eu
2022-01-14 00:00:00,Germany,Germany,DE,492.23,563.14,48.46,42.05,entsoe.eu
2022-01-15 00:00:00,Germany,Germany,DE,609.19,693.80,36.22,27.82,entsoe.eu
2022-01-16 00:00:00,Germany,Germany,DE,408.08,471.67,58.68,51.56,entsoe.eu
2022-01-17 00:00:00,Germany,Germany,DE,385.66,445.30,60.57,54.82,entsoe.eu
2022-01-18 00:00:00,Germany,Germany,DE,578.68,657.84,39.61,32.74,entsoe.eu
2022-01-19 00:00:00,Germany,Germany,DE,416.69,479.20,57.18,51.41,entsoe.eu
2022-01-20 00:00:00,Germany,Germany,DE,347.66,403.56,64.64,59.05,entsoe.eu
2022-01-21 00:00:00,Germany,Germany,DE,416.09,479.59,57.16,51.30,entsoe.eu
2022-01-22 00:00:00,Germany,Germany,DE,498.52,573.15,47.49,40.41,entsoe.eu
2022-01-23 00:00:00,Germany,Germany,DE,593.07,676.49,37.86,30.01,entsoe.eu
2022-01-24 00:00:00,Germany,Germany,DE,595.38,678.82,36.99,29.39,entsoe.eu
2022-01-25 00:00:00,Germany,Germany,DE,591.87,674.97,36.90,29.28,entsoe.eu
2022-01-26 00:00:00,Germany,Germany,DE,480.42,550.07,49.58,43.55,entsoe.eu
2022-01-27 00:00:00,Germany,Germany,DE,332.09,386.21,66.15,60.52,entsoe.eu
2022-01-28 00:00:00,Germany,Germany,DE,376.68,437.53,61.18,54.88,entsoe.eu
2022-01-29 00:00:00,Germany,Germany,DE,212.73,260.63,77.57,71.45,entsoe.eu
2022-01-30 00:00:00,Germany,Germany,DE,255.35,307.63,73.83,67.85,entsoe.eu
2022-01-31 00:00:00,Germany,Germany,DE,422.51,488.19,56.02,48.19,entsoe.eu
2022-02-01 00:00:00,Germany,Germany,DE,311.05,365.64,67.50,61.68,entsoe.eu
2022-02-02 00:00:00,Germany,Germany,DE,347.77,406.18,63.76,57.46,entsoe.eu
2022-02-03 00:00:00,Germany,Germany,DE,463.77,534.32,50.98,44.24,entsoe.eu
2022-02-04 00:00:00,Germany,Germany,DE,316.92,373.38,66.96,60.41,entsoe.eu
2022-02-05 00:00:00,Germany,Germany,DE,190.80,238.19,79.90,73.78,entsoe.eu
2022-02-06 00:00:00,Germany,Germany,DE,170.38,215.39,82.34,76.07,entsoe.eu
2022-02-07 00:00:00,Germany,Germany,DE,275.50,328.11,71.58,65.71,entsoe.eu
2022-02-08 00:00:00,Germany,Germany,DE,328.86,384.19,66.34,60.58,entsoe.eu
2022-02-09 00:00:00,Germany,Germany,DE,401.65,464.75,58.87,52.66,entsoe.eu
2022-02-10 00:00:00,Germany,Germany,DE,467.38,538.50,50.97,44.32,entsoe.eu
2022-02-11 00:00:00,Germany,Germany,DE,451.72,519.72,53.44,46.66,entsoe.eu
2022-02-12 00:00:00,Germany,Germany,DE,396.35,461.02,59.66,52.82,entsoe.eu
2022-02-13 00:00:00,Germany,Germany,DE,240.16,293.04,74.97,68.19,entsoe.eu
2022-02-14 00:00:00,Germany,Germany,DE,315.22,371.27,67.61,61.93,entsoe.eu
2022-02-15 00:00:00,Germany,Germany,DE,383.14,443.87,61.02,54.68,entsoe.eu
2022-02-16 00:00:00,Germany,Germany,DE,257.81,307.48,73.36,67.59,entsoe.eu
2022-02-17 00:00:00,Germany,Germany,DE,197.93,243.85,79.25,72.95,entsoe.eu
2022-02-18 00:00:00,Germany,Germany,DE,262.61,313.87,73.02,66.16,entsoe.eu
2022-02-19 00:00:00,Germany,Germany,DE,188.88,236.40,80.32,74.49,entsoe.eu
2022-02-20 00:00:00,Germany,Germany,DE,176.20,222.83,81.25,74.60,entsoe.eu
2022-02-21 00:00:00,Germany,Germany,DE,217.78,264.96,77.74,72.24,entsoe.eu
2022-02-22 00:00:00,Germany,Germany,DE,310.07,364.05,68.57,63.05,entsoe.eu
2022-02-23 00:00:00,Germany,Germany,DE,358.07,416.88,63.89,58.33,entsoe.eu
2022-02-24 00:00:00,Germany,Germany,DE,330.41,386.02,66.64,61.08,entsoe.eu
2022-02-25 00:00:00,Germany,Germany,DE,323.94,378.81,67.54,62.08,entsoe.eu
2022-02-26 00:00:00,Germany,Germany,DE,536.99,612.93,46.67,38.66,entsoe.eu
2022-02-27 00:00:00,Germany,Germany,DE,425.66,492.41,57.93,51.04,entsoe.eu
2022-02-28 00:00:00,Germany,Germany,DE,457.50,525.93,54.21,47.86,entsoe.eu
2022-03-01 00:00:00,Germany,Germany,DE,517.28,593.85,46.31,39.03,entsoe.eu
2022-03-02 00:00:00,Germany,Germany,DE,570.64,653.67,39.85,31.48,entsoe.eu
2022-03-03 00:00:00,Germany,Germany,DE,525.75,603.70,45.63,38.28,entsoe.eu
2022-03-04 00:00:00,Germany,Germany,DE,516.77,593.53,46.54,38.96,entsoe.eu
2022-03-05 00:00:00,Germany,Germany,DE,522.12,598.75,47.47,39.74,entsoe.eu
2022-03-06 00:00:00,Germany,Germany,DE,557.39,637.24,44.01,35.64,entsoe.eu
