Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Switzerland,Switzerland,CH,73.02,105.05,91.22,49.12,Electricity Maps Estimation
2022-01-02 00:00:00,Switzerland,Switzerland,CH,63.33,93.46,92.14,49.07,Electricity Maps Estimation
2022-01-03 00:00:00,Switzerland,Switzerland,CH,96.73,128.98,88.65,51.93,Electricity Maps Estimation
2022-01-04 00:00:00,Switzerland,Switzerland,CH,137.55,173.37,84.21,45.97,Electricity Maps Estimation
2022-01-05 00:00:00,Switzerland,Switzerland,CH,108.85,141.45,87.54,52.25,Electricity Maps Estimation
2022-01-06 00:00:00,Switzerland,Switzerland,CH,140.83,179.17,83.51,51.26,Electricity Maps Estimation
2022-01-07 00:00:00,Switzerland,Switzerland,CH,156.32,193.55,82.63,47.16,Electricity Maps Estimation
2022-01-08 00:00:00,Switzerland,Switzerland,CH,174.21,213.01,80.99,44.69,Electricity Maps Estimation
2022-01-09 00:00:00,Switzerland,Switzerland,CH,147.62,183.27,83.42,40.72,Electricity Maps Estimation
2022-01-10 00:00:00,Switzerland,Switzerland,CH,99.99,129.96,87.94,46.24,Electricity Maps Estimation
2022-01-11 00:00:00,Switzerland,Switzerland,CH,150.34,186.89,81.83,41.89,Electricity Maps Estimation
2022-01-12 00:00:00,Switzerland,Switzerland,CH,141.67,178.07,82.83,46.35,Electricity Maps Estimation
2022-01-13 00:00:00,Switzerland,Switzerland,CH,145.20,181.20,83.02,48.16,Electricity Maps Estimation
2022-01-14 00:00:00,Switzerland,Switzerland,CH,126.80,160.97,85.18,51.13,Electricity Maps Estimation
2022-01-15 00:00:00,Switzerland,Switzerland,CH,207.06,250.48,76.05,41.70,Electricity Maps Estimation
2022-01-16 00:00:00,Switzerland,Switzerland,CH,174.48,213.86,80.50,45.79,Electricity Maps Estimation
2022-01-17 00:00:00,Switzerland,Switzerland,CH,103.63,136.06,87.31,52.23,Electricity Maps Estimation
2022-01-18 00:00:00,Switzerland,Switzerland,CH,165.07,202.44,81.04,46.72,Electricity Maps Estimation
2022-01-19 00:00:00,Switzerland,Switzerland,CH,139.87,174.13,83.98,49.29,Electricity Maps Estimation
2022-01-20 00:00:00,Switzerland,Switzerland,CH,107.70,138.63,87.35,49.85,Electricity Maps Estimation
2022-01-21 00:00:00,Switzerland,Switzerland,CH,136.70,171.72,84.10,49.44,Electricity Maps Estimation
2022-01-22 00:00:00,Switzerland,Switzerland,CH,173.56,213.32,79.58,41.80,Electricity Maps Estimation
2022-01-23 00:00:00,Switzerland,Switzerland,CH,242.27,288.54,72.42,35.23,Electricity Maps Estimation
2022-01-24 00:00:00,Switzerland,Switzerland,CH,112.23,144.15,86.57,51.75,Electricity Maps Estimation
2022-01-25 00:00:00,Switzerland,Switzerland,CH,100.03,130.55,87.85,54.02,Electricity Maps Estimation
2022-01-26 00:00:00,Switzerland,Switzerland,CH,125.45,157.94,85.43,52.83,Electricity Maps Estimation
2022-01-27 00:00:00,Switzerland,Switzerland,CH,98.40,128.80,88.62,54.55,Electricity Maps Estimation
2022-01-28 00:00:00,Switzerland,Switzerland,CH,127.66,161.38,85.15,50.12,Electricity Maps Estimation
2022-01-29 00:00:00,Switzerland,Switzerland,CH,101.44,134.32,87.90,50.27,Electricity Maps Estimation
2022-01-30 00:00:00,Switzerland,Switzerland,CH,109.66,143.51,86.56,44.69,Electricity Maps Estimation
2022-01-31 00:00:00,Switzerland,Switzerland,CH,121.43,153.95,86.03,47.38,Electricity Maps Estimation
2022-02-01 00:00:00,Switzerland,Switzerland,CH,124.41,158.43,85.23,49.12,Electricity Maps Estimation
2022-02-02 00:00:00,Switzerland,Switzerland,CH,119.57,154.54,85.61,50.71,Electricity Maps Estimation
2022-02-03 00:00:00,Switzerland,Switzerland,CH,165.50,204.35,80.52,42.05,Electricity Maps Estimation
2022-02-04 00:00:00,Switzerland,Switzerland,CH,118.97,153.18,85.82,47.49,Electricity Maps Estimation
2022-02-05 00:00:00,Switzerland,Switzerland,CH,84.02,116.44,89.83,53.78,Electricity Maps Estimation
2022-02-06 00:00:00,Switzerland,Switzerland,CH,83.50,115.75,89.95,55.29,Electricity Maps Estimation
2022-02-07 00:00:00,Switzerland,Switzerland,CH,99.34,131.69,87.99,51.78,Electricity Maps Estimation
2022-02-08 00:00:00,Switzerland,Switzerland,CH,126.48,160.09,85.66,49.03,Electricity Maps Estimation
2022-02-09 00:00:00,Switzerland,Switzerland,CH,130.52,164.86,85.17,48.66,Electricity Maps Estimation
2022-02-10 00:00:00,Switzerland,Switzerland,CH,166.08,204.44,80.62,42.33,Electricity Maps Estimation
2022-02-11 00:00:00,Switzerland,Switzerland,CH,148.18,184.43,82.90,44.33,Electricity Maps Estimation
2022-02-12 00:00:00,Switzerland,Switzerland,CH,178.82,219.80,79.83,44.04,Electricity Maps Estimation
2022-02-13 00:00:00,Switzerland,Switzerland,CH,119.55,154.54,86.45,49.15,Electricity Maps Estimation
2022-02-14 00:00:00,Switzerland,Switzerland,CH,122.18,154.60,86.06,48.70,Electricity Maps Estimation
2022-02-15 00:00:00,Switzerland,Switzerland,CH,134.41,168.75,84.54,47.48,Electricity Maps Estimation
2022-02-16 00:00:00,Switzerland,Switzerland,CH,118.16,149.02,86.52,50.03,Electricity Maps Estimation
2022-02-17 00:00:00,Switzerland,Switzerland,CH,84.16,114.33,89.88,52.44,Electricity Maps Estimation
2022-02-18 00:00:00,Switzerland,Switzerland,CH,98.81,131.06,88.27,50.27,Electricity Maps Estimation
