Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,France,France,FR,34.83,54.62,91.99,16.84,opendata.reseaux-energies.fr
2021-01-02 00:00:00,France,France,FR,45.22,67.23,89.89,17.72,opendata.reseaux-energies.fr
2021-01-03 00:00:00,France,France,FR,48.72,70.81,90.06,17.40,opendata.reseaux-energies.fr
2021-01-04 00:00:00,France,France,FR,69.34,95.40,86.08,19.57,opendata.reseaux-energies.fr
2021-01-05 00:00:00,France,France,FR,80.44,108.28,84.46,21.07,opendata.reseaux-energies.fr
2021-01-06 00:00:00,France,France,FR,83.93,112.23,83.74,19.58,opendata.reseaux-energies.fr
2021-01-07 00:00:00,France,France,FR,88.39,117.17,83.24,20.18,opendata.reseaux-energies.fr
2021-01-08 00:00:00,France,France,FR,84.99,113.60,83.58,20.58,opendata.reseaux-energies.fr
2021-01-09 00:00:00,France,France,FR,80.11,107.68,84.45,19.11,opendata.reseaux-energies.fr
2021-01-10 00:00:00,France,France,FR,76.82,103.82,85.11,17.53,opendata.reseaux-energies.fr
2021-01-11 00:00:00,France,France,FR,74.15,100.63,85.34,22.56,opendata.reseaux-energies.fr
2021-01-12 00:00:00,France,France,FR,65.48,90.47,86.71,25.12,opendata.reseaux-energies.fr
2021-01-13 00:00:00,France,France,FR,63.28,87.97,86.91,23.65,opendata.reseaux-energies.fr
2021-01-14 00:00:00,France,France,FR,54.55,77.18,88.62,25.12,opendata.reseaux-energies.fr
2021-01-15 00:00:00,France,France,FR,59.95,83.10,88.07,24.56,opendata.reseaux-energies.fr
2021-01-16 00:00:00,France,France,FR,70.37,96.18,86.07,21.20,opendata.reseaux-energies.fr
2021-01-17 00:00:00,France,France,FR,55.56,78.99,88.29,19.28,opendata.reseaux-energies.fr
2021-01-18 00:00:00,France,France,FR,64.52,89.57,86.76,22.82,opendata.reseaux-energies.fr
2021-01-19 00:00:00,France,France,FR,49.74,72.02,89.61,28.68,opendata.reseaux-energies.fr
2021-01-20 00:00:00,France,France,FR,36.69,56.11,92.14,28.61,opendata.reseaux-energies.fr
2021-01-21 00:00:00,France,France,FR,27.70,45.59,93.78,29.22,opendata.reseaux-energies.fr
2021-01-22 00:00:00,France,France,FR,42.58,64.30,90.17,24.26,opendata.reseaux-energies.fr
2021-01-23 00:00:00,France,France,FR,28.09,45.82,93.73,25.27,opendata.reseaux-energies.fr
2021-01-24 00:00:00,France,France,FR,26.16,43.07,94.43,24.92,opendata.reseaux-energies.fr
2021-01-25 00:00:00,France,France,FR,54.38,77.47,88.59,25.78,opendata.reseaux-energies.fr
2021-01-26 00:00:00,France,France,FR,67.70,93.21,86.63,25.21,opendata.reseaux-energies.fr
2021-01-27 00:00:00,France,France,FR,54.47,77.92,88.23,24.22,opendata.reseaux-energies.fr
2021-01-28 00:00:00,France,France,FR,40.73,62.19,90.36,28.70,opendata.reseaux-energies.fr
2021-01-29 00:00:00,France,France,FR,19.63,36.28,95.10,32.57,opendata.reseaux-energies.fr
2021-01-30 00:00:00,France,France,FR,21.88,39.03,94.61,28.95,opendata.reseaux-energies.fr
2021-01-31 00:00:00,France,France,FR,21.33,38.38,94.70,25.46,opendata.reseaux-energies.fr
2021-02-01 00:00:00,France,France,FR,40.05,61.11,90.48,25.08,opendata.reseaux-energies.fr
2021-02-02 00:00:00,France,France,FR,28.82,47.82,92.77,28.84,opendata.reseaux-energies.fr
2021-02-03 00:00:00,France,France,FR,21.54,38.38,94.66,29.55,opendata.reseaux-energies.fr
2021-02-04 00:00:00,France,France,FR,38.60,59.66,90.58,22.06,opendata.reseaux-energies.fr
2021-02-05 00:00:00,France,France,FR,37.74,58.99,90.43,20.72,opendata.reseaux-energies.fr
2021-02-06 00:00:00,France,France,FR,21.40,38.32,94.70,24.21,opendata.reseaux-energies.fr
2021-02-07 00:00:00,France,France,FR,21.41,38.54,94.78,25.54,opendata.reseaux-energies.fr
2021-02-08 00:00:00,France,France,FR,55.53,80.19,87.92,23.97,opendata.reseaux-energies.fr
2021-02-09 00:00:00,France,France,FR,62.50,87.89,87.03,25.45,opendata.reseaux-energies.fr
2021-02-10 00:00:00,France,France,FR,57.95,82.09,87.63,27.79,opendata.reseaux-energies.fr
2021-02-11 00:00:00,France,France,FR,60.05,85.15,86.99,27.70,opendata.reseaux-energies.fr
2021-02-12 00:00:00,France,France,FR,53.25,77.52,87.79,29.31,opendata.reseaux-energies.fr
2021-02-13 00:00:00,France,France,FR,49.36,73.54,88.43,29.29,opendata.reseaux-energies.fr
2021-02-14 00:00:00,France,France,FR,38.56,59.97,91.32,30.39,opendata.reseaux-energies.fr
2021-02-15 00:00:00,France,France,FR,47.77,71.26,89.00,31.11,opendata.reseaux-energies.fr
2021-02-16 00:00:00,France,France,FR,47.76,71.54,88.81,29.63,opendata.reseaux-energies.fr
2021-02-17 00:00:00,France,France,FR,41.49,63.66,90.29,28.32,opendata.reseaux-energies.fr
2021-02-18 00:00:00,France,France,FR,41.76,63.76,90.32,29.54,opendata.reseaux-energies.fr
