Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Iceland,Iceland,IS,0.13,28.25,99.97,99.97,Electricity Maps Estimation
2022-01-02 00:00:00,Iceland,Iceland,IS,0.13,28.25,99.97,99.97,Electricity Maps Estimation
2022-01-03 00:00:00,Iceland,Iceland,IS,0.15,28.28,99.96,99.96,Electricity Maps Estimation
2022-01-04 00:00:00,Iceland,Iceland,IS,0.15,28.28,99.96,99.96,Electricity Maps Estimation
2022-01-05 00:00:00,Iceland,Iceland,IS,0.15,28.27,99.96,99.96,Electricity Maps Estimation
2022-01-06 00:00:00,Iceland,Iceland,IS,0.15,28.26,99.96,99.96,Electricity Maps Estimation
2022-01-07 00:00:00,Iceland,Iceland,IS,0.15,28.25,99.96,99.96,Electricity Maps Estimation
2022-01-08 00:00:00,Iceland,Iceland,IS,0.12,28.20,99.97,99.97,Electricity Maps Estimation
2022-01-09 00:00:00,Iceland,Iceland,IS,0.12,28.19,99.97,99.97,Electricity Maps Estimation
2022-01-10 00:00:00,Iceland,Iceland,IS,0.11,28.19,99.97,99.97,Electricity Maps Estimation; amper.landsnet.is
2022-01-11 00:00:00,Iceland,Iceland,IS,0.00,28.05,100.00,100.00,amper.landsnet.is
2022-01-12 00:00:00,Iceland,Iceland,IS,0.25,28.36,99.94,99.94,amper.landsnet.is
2022-01-13 00:00:00,Iceland,Iceland,IS,1.09,29.69,99.73,99.73,amper.landsnet.is
2022-01-14 00:00:00,Iceland,Iceland,IS,0.00,27.96,100.00,100.00,amper.landsnet.is
2022-01-15 00:00:00,Iceland,Iceland,IS,0.00,27.96,100.00,100.00,amper.landsnet.is
2022-01-16 00:00:00,Iceland,Iceland,IS,0.00,27.95,100.00,100.00,Electricity Maps Estimation; amper.landsnet.is
2022-01-17 00:00:00,Iceland,Iceland,IS,0.00,27.92,100.00,100.00,amper.landsnet.is
2022-01-18 00:00:00,Iceland,Iceland,IS,0.00,27.95,100.00,100.00,amper.landsnet.is
2022-01-19 00:00:00,Iceland,Iceland,IS,0.00,27.91,100.00,100.00,amper.landsnet.is
2022-01-20 00:00:00,Iceland,Iceland,IS,0.00,27.92,100.00,100.00,amper.landsnet.is
2022-01-21 00:00:00,Iceland,Iceland,IS,0.00,28.27,100.00,100.00,Electricity Maps Estimation; amper.landsnet.is
2022-01-22 00:00:00,Iceland,Iceland,IS,0.00,28.42,100.00,100.00,Electricity Maps Estimation
2022-01-23 00:00:00,Iceland,Iceland,IS,0.00,28.40,100.00,100.00,Electricity Maps Estimation
2022-01-24 00:00:00,Iceland,Iceland,IS,0.00,28.40,100.00,100.00,Electricity Maps Estimation
2022-01-25 00:00:00,Iceland,Iceland,IS,0.00,28.38,100.00,100.00,Electricity Maps Estimation
2022-01-26 00:00:00,Iceland,Iceland,IS,0.00,28.37,100.00,100.00,Electricity Maps Estimation
2022-01-27 00:00:00,Iceland,Iceland,IS,0.00,28.35,100.00,100.00,Electricity Maps Estimation
2022-01-28 00:00:00,Iceland,Iceland,IS,0.00,28.34,100.00,100.00,Electricity Maps Estimation
2022-01-29 00:00:00,Iceland,Iceland,IS,0.00,28.31,100.00,100.00,Electricity Maps Estimation
2022-01-30 00:00:00,Iceland,Iceland,IS,0.00,28.30,100.00,100.00,Electricity Maps Estimation
2022-01-31 00:00:00,Iceland,Iceland,IS,0.00,28.29,100.00,100.00,Electricity Maps Estimation
2022-02-01 00:00:00,Iceland,Iceland,IS,0.05,27.97,99.99,99.99,Electricity Maps Estimation
2022-02-02 00:00:00,Iceland,Iceland,IS,0.05,27.96,99.99,99.99,Electricity Maps Estimation
2022-02-03 00:00:00,Iceland,Iceland,IS,0.05,27.95,99.99,99.99,Electricity Maps Estimation
2022-02-04 00:00:00,Iceland,Iceland,IS,0.03,27.91,99.99,99.99,Electricity Maps Estimation; amper.landsnet.is
2022-02-05 00:00:00,Iceland,Iceland,IS,0.00,27.72,100.00,100.00,amper.landsnet.is
2022-02-06 00:00:00,Iceland,Iceland,IS,0.00,27.85,100.00,100.00,amper.landsnet.is
2022-02-07 00:00:00,Iceland,Iceland,IS,0.38,28.31,99.91,99.91,amper.landsnet.is
2022-02-08 00:00:00,Iceland,Iceland,IS,0.00,27.51,100.00,100.00,amper.landsnet.is
2022-02-09 00:00:00,Iceland,Iceland,IS,0.00,27.78,100.00,100.00,Electricity Maps Estimation; amper.landsnet.is
2022-02-10 00:00:00,Iceland,Iceland,IS,0.00,27.83,100.00,100.00,amper.landsnet.is
2022-02-11 00:00:00,Iceland,Iceland,IS,0.00,27.88,100.00,100.00,amper.landsnet.is
2022-02-12 00:00:00,Iceland,Iceland,IS,0.00,27.92,100.00,100.00,amper.landsnet.is
2022-02-13 00:00:00,Iceland,Iceland,IS,0.00,28.02,100.00,100.00,amper.landsnet.is
2022-02-14 00:00:00,Iceland,Iceland,IS,0.00,27.97,100.00,100.00,amper.landsnet.is
2022-02-15 00:00:00,Iceland,Iceland,IS,0.00,27.69,100.00,100.00,Electricity Maps Estimation; amper.landsnet.is
2022-02-16 00:00:00,Iceland,Iceland,IS,0.03,27.41,99.99,99.99,Electricity Maps Estimation; amper.landsnet.is
2022-02-17 00:00:00,Iceland,Iceland,IS,0.00,27.37,100.00,100.00,amper.landsnet.is
2022-02-18 00:00:00,Iceland,Iceland,IS,0.00,27.42,100.00,100.00,amper.landsnet.is
2022-02-19 00:00:00,Iceland,Iceland,IS,0.00,27.38,100.00,100.00,amper.landsnet.is
2022-02-20 00:00:00,Iceland,Iceland,IS,0.00,27.39,100.00,100.00,amper.landsnet.is
2022-02-21 00:00:00,Iceland,Iceland,IS,0.24,27.79,99.94,99.94,amper.landsnet.is
2022-02-22 00:00:00,Iceland,Iceland,IS,1.47,29.71,99.64,99.64,amper.landsnet.is
2022-02-23 00:00:00,Iceland,Iceland,IS,0.60,28.31,99.85,99.85,amper.landsnet.is
2022-02-24 00:00:00,Iceland,Iceland,IS,0.00,27.40,100.00,100.00,amper.landsnet.is
2022-02-25 00:00:00,Iceland,Iceland,IS,0.35,27.62,99.91,99.91,Electricity Maps Estimation; amper.landsnet.is
2022-02-26 00:00:00,Iceland,Iceland,IS,0.00,27.28,100.00,100.00,amper.landsnet.is
2022-02-27 00:00:00,Iceland,Iceland,IS,0.00,27.22,100.00,100.00,amper.landsnet.is
2022-02-28 00:00:00,Iceland,Iceland,IS,1.49,29.45,99.63,99.63,amper.landsnet.is
2022-03-01 00:00:00,Iceland,Iceland,IS,1.36,29.23,99.66,99.66,amper.landsnet.is
2022-03-02 00:00:00,Iceland,Iceland,IS,0.00,27.10,100.00,100.00,amper.landsnet.is
2022-03-03 00:00:00,Iceland,Iceland,IS,0.00,27.19,100.00,100.00,amper.landsnet.is
2022-03-04 00:00:00,Iceland,Iceland,IS,0.00,27.18,100.00,100.00,amper.landsnet.is
2022-03-05 00:00:00,Iceland,Iceland,IS,0.00,27.34,100.00,100.00,amper.landsnet.is
2022-03-06 00:00:00,Iceland,Iceland,IS,0.00,27.41,100.00,100.00,amper.landsnet.is
2022-03-07 00:00:00,Iceland,Iceland,IS,0.00,27.29,100.00,100.00,amper.landsnet.is
2022-03-08 00:00:00,Iceland,Iceland,IS,0.00,27.57,100.00,100.00,amper.landsnet.is
2022-03-09 00:00:00,Iceland,Iceland,IS,0.00,27.77,100.00,100.00,amper.landsnet.is
2022-03-10 00:00:00,Iceland,Iceland,IS,0.00,27.84,100.00,100.00,amper.landsnet.is
2022-03-11 00:00:00,Iceland,Iceland,IS,0.00,27.90,100.00,100.00,amper.landsnet.is
2022-03-12 00:00:00,Iceland,Iceland,IS,0.00,27.90,100.00,100.00,amper.landsnet.is
2022-03-13 00:00:00,Iceland,Iceland,IS,0.00,27.92,100.00,100.00,amper.landsnet.is
2022-03-14 00:00:00,Iceland,Iceland,IS,1.15,29.58,99.72,99.72,amper.landsnet.is
2022-03-15 00:00:00,Iceland,Iceland,IS,0.00,27.78,100.00,100.00,amper.landsnet.is
2022-03-16 00:00:00,Iceland,Iceland,IS,0.00,27.78,100.00,100.00,amper.landsnet.is
2022-03-17 00:00:00,Iceland,Iceland,IS,0.00,27.74,100.00,100.00,amper.landsnet.is
2022-03-18 00:00:00,Iceland,Iceland,IS,0.00,27.86,100.00,100.00,amper.landsnet.is
2022-03-19 00:00:00,Iceland,Iceland,IS,0.00,27.81,100.00,100.00,amper.landsnet.is
2022-03-20 00:00:00,Iceland,Iceland,IS,0.00,27.89,100.00,100.00,amper.landsnet.is
2022-03-21 00:00:00,Iceland,Iceland,IS,0.00,27.80,100.00,100.00,amper.landsnet.is
2022-03-22 00:00:00,Iceland,Iceland,IS,0.00,27.78,100.00,100.00,amper.landsnet.is
2022-03-23 00:00:00,Iceland,Iceland,IS,0.00,27.86,100.00,100.00,amper.landsnet.is
2022-03-24 00:00:00,Iceland,Iceland,IS,0.00,27.87,100.00,100.00,amper.landsnet.is
2022-03-25 00:00:00,Iceland,Iceland,IS,0.00,27.83,100.00,100.00,amper.landsnet.is
2022-03-26 00:00:00,Iceland,Iceland,IS,0.00,27.82,100.00,100.00,amper.landsnet.is
2022-03-27 00:00:00,Iceland,Iceland,IS,0.00,27.93,100.00,100.00,amper.landsnet.is
2022-03-28 00:00:00,Iceland,Iceland,IS,0.00,27.81,100.00,100.00,amper.landsnet.is
2022-03-29 00:00:00,Iceland,Iceland,IS,0.00,27.96,100.00,100.00,amper.landsnet.is
2022-03-30 00:00:00,Iceland,Iceland,IS,0.00,27.89,100.00,100.00,amper.landsnet.is
2022-03-31 00:00:00,Iceland,Iceland,IS,0.00,27.92,100.00,100.00,amper.landsnet.is
2022-04-01 00:00:00,Iceland,Iceland,IS,0.00,27.90,100.00,100.00,amper.landsnet.is
