Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,Norway,Norway,NO,2.76,27.19,99.48,98.98,entsoe.eu
2021-01-02 00:00:00,Norway,Norway,NO,2.82,27.32,99.47,99.31,entsoe.eu
2021-01-03 00:00:00,Norway,Norway,NO,2.84,27.41,99.44,98.96,entsoe.eu
2021-01-04 00:00:00,Norway,Norway,NO,2.77,27.08,99.47,98.89,entsoe.eu
2021-01-05 00:00:00,Norway,Norway,NO,4.53,29.34,99.19,99.18,entsoe.eu
2021-01-06 00:00:00,Norway,Norway,NO,4.00,28.68,99.32,99.16,entsoe.eu
2021-01-07 00:00:00,Norway,Norway,NO,9.68,35.23,98.23,98.12,entsoe.eu
2021-01-08 00:00:00,Norway,Norway,NO,8.29,33.75,98.45,98.39,entsoe.eu
2021-01-09 00:00:00,Norway,Norway,NO,3.72,27.71,99.31,99.07,entsoe.eu
2021-01-10 00:00:00,Norway,Norway,NO,3.19,27.23,99.39,98.68,entsoe.eu
2021-01-11 00:00:00,Norway,Norway,NO,4.65,28.96,99.22,98.40,entsoe.eu
2021-01-12 00:00:00,Norway,Norway,NO,6.93,31.04,98.90,98.04,entsoe.eu
2021-01-13 00:00:00,Norway,Norway,NO,4.49,28.71,99.29,98.86,entsoe.eu
2021-01-14 00:00:00,Norway,Norway,NO,5.98,31.01,98.95,98.62,entsoe.eu
2021-01-15 00:00:00,Norway,Norway,NO,12.01,37.55,98.29,98.14,entsoe.eu
2021-01-16 00:00:00,Norway,Norway,NO,5.65,30.12,99.00,98.95,entsoe.eu
2021-01-17 00:00:00,Norway,Norway,NO,6.16,30.83,98.84,98.81,entsoe.eu
2021-01-18 00:00:00,Norway,Norway,NO,7.57,32.60,98.64,98.58,entsoe.eu
2021-01-19 00:00:00,Norway,Norway,NO,6.15,30.48,99.13,98.98,entsoe.eu
2021-01-20 00:00:00,Norway,Norway,NO,7.22,31.28,98.95,98.15,entsoe.eu
2021-01-21 00:00:00,Norway,Norway,NO,9.61,33.60,98.60,96.47,entsoe.eu
2021-01-22 00:00:00,Norway,Norway,NO,7.80,31.99,98.80,96.62,entsoe.eu
2021-01-23 00:00:00,Norway,Norway,NO,3.69,27.70,99.31,97.81,entsoe.eu
2021-01-24 00:00:00,Norway,Norway,NO,3.22,27.65,99.43,99.35,entsoe.eu
2021-01-25 00:00:00,Norway,Norway,NO,4.12,28.72,99.37,99.34,entsoe.eu
2021-01-26 00:00:00,Norway,Norway,NO,3.00,27.27,99.50,99.49,entsoe.eu
2021-01-27 00:00:00,Norway,Norway,NO,4.02,28.41,99.36,99.32,entsoe.eu
2021-01-28 00:00:00,Norway,Norway,NO,9.13,34.06,98.68,98.56,entsoe.eu
2021-01-29 00:00:00,Norway,Norway,NO,13.33,38.72,98.16,97.87,entsoe.eu
2021-01-30 00:00:00,Norway,Norway,NO,10.48,35.88,98.57,98.23,entsoe.eu
2021-01-31 00:00:00,Norway,Norway,NO,7.07,32.21,98.95,98.75,entsoe.eu
2021-02-01 00:00:00,Norway,Norway,NO,11.22,36.81,98.47,98.22,entsoe.eu
2021-02-02 00:00:00,Norway,Norway,NO,5.60,30.35,99.16,99.04,entsoe.eu
2021-02-03 00:00:00,Norway,Norway,NO,10.13,35.01,98.54,97.89,entsoe.eu
2021-02-04 00:00:00,Norway,Norway,NO,12.93,38.13,98.25,97.59,entsoe.eu
2021-02-05 00:00:00,Norway,Norway,NO,7.53,32.07,98.86,98.83,entsoe.eu
2021-02-06 00:00:00,Norway,Norway,NO,20.53,46.76,97.29,96.22,entsoe.eu
2021-02-07 00:00:00,Norway,Norway,NO,18.03,43.92,97.60,95.42,entsoe.eu
2021-02-08 00:00:00,Norway,Norway,NO,9.87,34.92,98.65,98.11,entsoe.eu
2021-02-09 00:00:00,Norway,Norway,NO,7.95,32.76,98.83,98.81,entsoe.eu
2021-02-10 00:00:00,Norway,Norway,NO,7.86,32.74,98.86,98.79,entsoe.eu
2021-02-11 00:00:00,Norway,Norway,NO,6.85,31.55,98.94,98.91,entsoe.eu
2021-02-12 00:00:00,Norway,Norway,NO,10.98,36.00,98.40,98.20,entsoe.eu
2021-02-13 00:00:00,Norway,Norway,NO,4.30,28.57,99.26,98.59,entsoe.eu
2021-02-14 00:00:00,Norway,Norway,NO,6.48,30.87,98.91,97.95,entsoe.eu
2021-02-15 00:00:00,Norway,Norway,NO,7.47,31.83,98.89,98.59,entsoe.eu
2021-02-16 00:00:00,Norway,Norway,NO,2.56,26.19,99.55,99.54,entsoe.eu
2021-02-17 00:00:00,Norway,Norway,NO,4.83,28.56,99.26,99.16,entsoe.eu
2021-02-18 00:00:00,Norway,Norway,NO,4.40,28.13,99.26,99.22,entsoe.eu
2021-02-19 00:00:00,Norway,Norway,NO,3.55,27.44,99.38,99.34,entsoe.eu
2021-02-20 00:00:00,Norway,Norway,NO,14.90,40.41,97.78,96.11,entsoe.eu
2021-02-21 00:00:00,Norway,Norway,NO,13.11,38.61,98.05,96.02,entsoe.eu
2021-02-22 00:00:00,Norway,Norway,NO,2.97,26.86,99.45,99.44,entsoe.eu
2021-02-23 00:00:00,Norway,Norway,NO,3.20,27.01,99.38,99.24,entsoe.eu
2021-02-24 00:00:00,Norway,Norway,NO,7.01,31.00,98.80,96.43,entsoe.eu
2021-02-25 00:00:00,Norway,Norway,NO,4.01,27.69,99.19,96.55,entsoe.eu
2021-02-26 00:00:00,Norway,Norway,NO,3.72,27.03,99.19,96.34,entsoe.eu
2021-02-27 00:00:00,Norway,Norway,NO,3.46,26.94,99.25,96.73,entsoe.eu
2021-02-28 00:00:00,Norway,Norway,NO,3.38,26.51,99.24,96.78,entsoe.eu
2021-03-01 00:00:00,Norway,Norway,NO,3.34,26.68,99.34,98.47,entsoe.eu
2021-03-02 00:00:00,Norway,Norway,NO,3.21,27.24,99.37,98.74,entsoe.eu
2021-03-03 00:00:00,Norway,Norway,NO,3.42,27.11,99.33,98.46,entsoe.eu
2021-03-04 00:00:00,Norway,Norway,NO,3.30,27.26,99.36,98.42,entsoe.eu
2021-03-05 00:00:00,Norway,Norway,NO,2.98,26.89,99.43,98.64,entsoe.eu
2021-03-06 00:00:00,Norway,Norway,NO,4.88,28.06,99.06,97.58,entsoe.eu
2021-03-07 00:00:00,Norway,Norway,NO,6.08,30.09,98.91,97.08,entsoe.eu
2021-03-08 00:00:00,Norway,Norway,NO,3.44,27.62,99.38,99.13,entsoe.eu
2021-03-09 00:00:00,Norway,Norway,NO,3.28,27.52,99.41,99.07,entsoe.eu
2021-03-10 00:00:00,Norway,Norway,NO,4.63,28.02,99.21,98.46,entsoe.eu
2021-03-11 00:00:00,Norway,Norway,NO,16.45,41.24,97.72,95.66,entsoe.eu
2021-03-12 00:00:00,Norway,Norway,NO,15.30,40.87,97.83,95.80,entsoe.eu
2021-03-13 00:00:00,Norway,Norway,NO,21.39,48.61,97.04,94.84,entsoe.eu
2021-03-14 00:00:00,Norway,Norway,NO,15.70,42.27,97.74,95.58,entsoe.eu
2021-03-15 00:00:00,Norway,Norway,NO,4.15,28.46,99.26,98.87,entsoe.eu
2021-03-16 00:00:00,Norway,Norway,NO,3.01,27.26,99.45,99.26,entsoe.eu
2021-03-17 00:00:00,Norway,Norway,NO,3.61,28.03,99.36,99.11,entsoe.eu
2021-03-18 00:00:00,Norway,Norway,NO,3.38,27.81,99.37,99.11,entsoe.eu
2021-03-19 00:00:00,Norway,Norway,NO,3.69,27.51,99.30,98.96,entsoe.eu
2021-03-20 00:00:00,Norway,Norway,NO,5.74,28.96,98.95,97.88,entsoe.eu
2021-03-21 00:00:00,Norway,Norway,NO,9.31,33.08,98.45,96.46,entsoe.eu
