Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Sweden,Sweden,SE,10.19,37.39,98.85,68.23,entsoe.eu
2022-01-02 00:00:00,Sweden,Sweden,SE,5.79,32.11,99.29,68.08,entsoe.eu
2022-01-03 00:00:00,Sweden,Sweden,SE,9.52,37.01,98.87,68.95,entsoe.eu
2022-01-04 00:00:00,Sweden,Sweden,SE,2.04,27.52,99.74,69.02,entsoe.eu
2022-01-05 00:00:00,Sweden,Sweden,SE,4.21,30.27,99.51,68.93,entsoe.eu
2022-01-06 00:00:00,Sweden,Sweden,SE,7.42,34.03,99.16,71.01,entsoe.eu
2022-01-07 00:00:00,Sweden,Sweden,SE,10.44,38.77,98.64,73.28,entsoe.eu
2022-01-08 00:00:00,Sweden,Sweden,SE,6.45,33.51,99.18,72.63,entsoe.eu
2022-01-09 00:00:00,Sweden,Sweden,SE,3.45,30.46,99.55,73.30,entsoe.eu
2022-01-10 00:00:00,Sweden,Sweden,SE,8.23,38.11,98.86,73.51,entsoe.eu
2022-01-11 00:00:00,Sweden,Sweden,SE,4.04,31.60,99.47,72.81,entsoe.eu
2022-01-12 00:00:00,Sweden,Sweden,SE,1.81,24.83,99.75,69.58,entsoe.eu
2022-01-13 00:00:00,Sweden,Sweden,SE,0.87,21.06,99.90,69.18,entsoe.eu
2022-01-14 00:00:00,Sweden,Sweden,SE,0.99,22.66,99.89,69.51,entsoe.eu
2022-01-15 00:00:00,Sweden,Sweden,SE,2.36,25.34,99.67,67.48,entsoe.eu
2022-01-16 00:00:00,Sweden,Sweden,SE,1.18,21.99,99.87,68.29,entsoe.eu
2022-01-17 00:00:00,Sweden,Sweden,SE,1.51,24.87,99.82,70.22,entsoe.eu
2022-01-18 00:00:00,Sweden,Sweden,SE,1.72,25.88,99.78,69.90,entsoe.eu
2022-01-19 00:00:00,Sweden,Sweden,SE,1.04,22.13,99.88,69.94,entsoe.eu
2022-01-20 00:00:00,Sweden,Sweden,SE,3.64,26.04,99.56,70.62,entsoe.eu
2022-01-21 00:00:00,Sweden,Sweden,SE,2.88,26.96,99.60,69.22,entsoe.eu
2022-01-22 00:00:00,Sweden,Sweden,SE,2.71,28.59,99.67,67.51,entsoe.eu
2022-01-23 00:00:00,Sweden,Sweden,SE,2.66,26.93,99.63,66.58,entsoe.eu
2022-01-24 00:00:00,Sweden,Sweden,SE,1.10,23.38,99.87,69.01,entsoe.eu
2022-01-25 00:00:00,Sweden,Sweden,SE,2.53,26.79,99.64,68.14,entsoe.eu
2022-01-26 00:00:00,Sweden,Sweden,SE,1.20,24.54,99.86,69.39,entsoe.eu
2022-01-27 00:00:00,Sweden,Sweden,SE,1.77,23.99,99.79,68.81,entsoe.eu
2022-01-28 00:00:00,Sweden,Sweden,SE,0.99,22.24,99.89,69.75,entsoe.eu
2022-01-29 00:00:00,Sweden,Sweden,SE,1.22,21.06,99.86,68.55,entsoe.eu
2022-01-30 00:00:00,Sweden,Sweden,SE,1.91,22.02,99.77,68.13,entsoe.eu
2022-01-31 00:00:00,Sweden,Sweden,SE,3.43,28.00,99.50,68.81,entsoe.eu
2022-02-01 00:00:00,Sweden,Sweden,SE,5.46,30.94,99.30,68.64,entsoe.eu
2022-02-02 00:00:00,Sweden,Sweden,SE,7.63,34.89,99.04,68.79,entsoe.eu
2022-02-03 00:00:00,Sweden,Sweden,SE,4.95,31.31,99.34,69.66,entsoe.eu
2022-02-04 00:00:00,Sweden,Sweden,SE,1.07,23.11,99.88,69.59,entsoe.eu
2022-02-05 00:00:00,Sweden,Sweden,SE,1.34,22.23,99.84,68.73,entsoe.eu
2022-02-06 00:00:00,Sweden,Sweden,SE,3.23,25.50,99.60,66.52,entsoe.eu
2022-02-07 00:00:00,Sweden,Sweden,SE,1.54,24.12,99.81,69.21,entsoe.eu
2022-02-08 00:00:00,Sweden,Sweden,SE,1.22,21.31,99.80,69.69,entsoe.eu
2022-02-09 00:00:00,Sweden,Sweden,SE,1.22,21.54,99.80,70.17,entsoe.eu
2022-02-10 00:00:00,Sweden,Sweden,SE,1.48,22.70,99.80,69.45,entsoe.eu
2022-02-11 00:00:00,Sweden,Sweden,SE,2.27,24.54,99.69,68.35,entsoe.eu
2022-02-12 00:00:00,Sweden,Sweden,SE,0.86,20.35,99.90,69.72,entsoe.eu
2022-02-13 00:00:00,Sweden,Sweden,SE,0.85,19.79,99.90,68.99,entsoe.eu
2022-02-14 00:00:00,Sweden,Sweden,SE,1.39,22.85,99.83,68.69,entsoe.eu
2022-02-15 00:00:00,Sweden,Sweden,SE,0.93,21.62,99.89,69.77,entsoe.eu
2022-02-16 00:00:00,Sweden,Sweden,SE,1.80,23.18,99.76,68.50,entsoe.eu
2022-02-17 00:00:00,Sweden,Sweden,SE,1.49,23.45,99.82,68.85,entsoe.eu
2022-02-18 00:00:00,Sweden,Sweden,SE,1.30,23.70,99.84,70.07,entsoe.eu
2022-02-19 00:00:00,Sweden,Sweden,SE,4.14,27.22,99.50,73.17,entsoe.eu
2022-02-20 00:00:00,Sweden,Sweden,SE,4.76,29.11,99.41,73.48,entsoe.eu
2022-02-21 00:00:00,Sweden,Sweden,SE,3.41,27.28,99.60,75.15,entsoe.eu
2022-02-22 00:00:00,Sweden,Sweden,SE,10.37,36.67,98.82,73.78,entsoe.eu
2022-02-23 00:00:00,Sweden,Sweden,SE,4.87,29.11,99.44,75.05,entsoe.eu
2022-02-24 00:00:00,Sweden,Sweden,SE,2.15,24.76,99.71,73.79,entsoe.eu
2022-02-25 00:00:00,Sweden,Sweden,SE,2.51,26.58,99.67,73.19,entsoe.eu
2022-02-26 00:00:00,Sweden,Sweden,SE,2.92,28.37,99.59,71.93,entsoe.eu
2022-02-27 00:00:00,Sweden,Sweden,SE,1.43,26.17,99.83,70.71,entsoe.eu
2022-02-28 00:00:00,Sweden,Sweden,SE,2.00,25.59,99.74,69.40,entsoe.eu
2022-03-01 00:00:00,Sweden,Sweden,SE,2.47,24.46,99.66,69.18,entsoe.eu
2022-03-02 00:00:00,Sweden,Sweden,SE,3.09,25.97,99.57,67.47,entsoe.eu
2022-03-03 00:00:00,Sweden,Sweden,SE,2.91,26.20,99.59,67.17,entsoe.eu
