Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,211.21,282.24,50.07,46.18,eia.gov
2021-01-02 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,183.78,247.01,56.93,52.68,eia.gov
2021-01-03 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,178.32,240.66,57.88,53.67,eia.gov
2021-01-04 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,200.26,267.87,52.70,48.83,eia.gov
2021-01-05 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,179.48,241.95,57.94,53.76,eia.gov
2021-01-06 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,198.07,263.95,54.03,50.16,eia.gov
2021-01-07 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,180.34,244.18,57.19,53.21,eia.gov
2021-01-08 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,181.23,245.49,56.83,52.87,eia.gov
2021-01-09 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,169.86,232.12,59.43,55.33,eia.gov
2021-01-10 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,179.97,243.05,57.93,53.64,eia.gov
2021-01-11 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,184.00,247.10,57.46,53.16,eia.gov
2021-01-12 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,177.96,238.99,58.91,54.84,eia.gov
2021-01-13 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,153.24,209.85,63.73,59.43,eia.gov
2021-01-14 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,156.60,213.92,63.59,59.01,eia.gov
2021-01-15 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,158.89,215.74,63.68,59.24,eia.gov
2021-01-16 00:00:00,USA,Balancing Authority of Northern California,US-CAL-BANC,167.41,225.72,62.05,57.66,eia.gov
