Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,California Independent System Operator,US-CAL-CISO,215.31,288.26,51.52,39.86,caiso.com
2021-01-02 00:00:00,USA,California Independent System Operator,US-CAL-CISO,213.68,285.41,52.34,40.15,caiso.com
2021-01-03 00:00:00,USA,California Independent System Operator,US-CAL-CISO,197.71,265.72,55.94,44.05,caiso.com
2021-01-04 00:00:00,USA,California Independent System Operator,US-CAL-CISO,224.59,298.34,49.77,38.58,caiso.com
2021-01-05 00:00:00,USA,California Independent System Operator,US-CAL-CISO,205.29,273.68,54.49,43.23,caiso.com
2021-01-06 00:00:00,USA,California Independent System Operator,US-CAL-CISO,239.32,315.72,46.45,35.33,caiso.com
2021-01-07 00:00:00,USA,California Independent System Operator,US-CAL-CISO,241.37,318.81,45.69,34.67,caiso.com
2021-01-08 00:00:00,USA,California Independent System Operator,US-CAL-CISO,239.83,318.11,45.49,34.69,caiso.com
2021-01-09 00:00:00,USA,California Independent System Operator,US-CAL-CISO,209.94,281.57,52.45,41.23,caiso.com
2021-01-10 00:00:00,USA,California Independent System Operator,US-CAL-CISO,222.64,297.88,49.79,37.77,caiso.com
2021-01-11 00:00:00,USA,California Independent System Operator,US-CAL-CISO,230.14,306.93,47.64,36.22,caiso.com
2021-01-12 00:00:00,USA,California Independent System Operator,US-CAL-CISO,240.52,316.72,46.64,35.36,caiso.com
2021-01-13 00:00:00,USA,California Independent System Operator,US-CAL-CISO,222.03,294.97,50.19,37.77,caiso.com
2021-01-14 00:00:00,USA,California Independent System Operator,US-CAL-CISO,210.38,280.24,53.33,38.77,caiso.com
2021-01-15 00:00:00,USA,California Independent System Operator,US-CAL-CISO,210.31,280.72,53.08,38.03,caiso.com
2021-01-16 00:00:00,USA,California Independent System Operator,US-CAL-CISO,194.72,260.10,57.93,41.55,caiso.com
2021-01-17 00:00:00,USA,California Independent System Operator,US-CAL-CISO,191.10,256.52,58.67,41.05,caiso.com
2021-01-18 00:00:00,USA,California Independent System Operator,US-CAL-CISO,185.30,248.39,59.94,42.85,caiso.com
2021-01-19 00:00:00,USA,California Independent System Operator,US-CAL-CISO,177.72,238.20,61.71,44.85,caiso.com
2021-01-20 00:00:00,USA,California Independent System Operator,US-CAL-CISO,192.52,257.32,57.77,40.42,caiso.com
2021-01-21 00:00:00,USA,California Independent System Operator,US-CAL-CISO,204.46,274.04,54.28,37.78,caiso.com
2021-01-22 00:00:00,USA,California Independent System Operator,US-CAL-CISO,201.68,270.56,54.43,38.28,caiso.com
2021-01-23 00:00:00,USA,California Independent System Operator,US-CAL-CISO,200.61,268.10,55.49,38.47,caiso.com
2021-01-24 00:00:00,USA,California Independent System Operator,US-CAL-CISO,184.36,248.78,59.14,42.67,caiso.com
2021-01-25 00:00:00,USA,California Independent System Operator,US-CAL-CISO,198.28,264.54,55.77,40.62,caiso.com
2021-01-26 00:00:00,USA,California Independent System Operator,US-CAL-CISO,197.20,264.97,55.06,41.57,caiso.com
2021-01-27 00:00:00,USA,California Independent System Operator,US-CAL-CISO,224.20,298.05,48.65,34.96,caiso.com
