Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,292.21,357.32,46.58,38.64,eia.gov
2021-01-02 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,287.40,349.70,48.64,41.16,eia.gov
2021-01-03 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,288.22,349.12,49.44,42.26,eia.gov
2021-01-04 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,325.68,387.48,45.99,38.82,eia.gov
2021-01-05 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,309.95,368.32,49.15,41.73,eia.gov
2021-01-06 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,325.55,385.14,47.29,40.00,eia.gov
2021-01-07 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,347.36,406.78,45.85,38.54,eia.gov
2021-01-08 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,328.69,388.36,47.20,39.52,eia.gov
2021-01-09 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,294.65,350.31,52.12,43.32,eia.gov
2021-01-10 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,290.31,346.42,52.11,42.66,eia.gov
2021-01-11 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,309.57,365.88,50.33,41.15,eia.gov
2021-01-12 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,328.27,379.89,52.00,43.49,eia.gov
2021-01-13 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,299.40,350.24,54.75,46.55,eia.gov
2021-01-14 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,305.93,360.85,51.61,43.66,eia.gov
2021-01-15 00:00:00,USA,Los Angeles Department of Water and Power,US-CAL-LDWP,303.99,357.92,52.31,43.61,eia.gov
