Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,270.91,352.37,40.96,36.13,eia.gov
2021-01-02 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,263.33,341.96,43.05,38.07,eia.gov
2021-01-03 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,266.77,346.67,42.32,36.71,eia.gov
2021-01-04 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,295.65,380.92,36.25,32.23,eia.gov
2021-01-05 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,273.13,353.51,41.22,36.13,eia.gov
2021-01-06 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,309.92,398.38,33.15,27.31,eia.gov
2021-01-07 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,315.37,405.26,31.82,26.60,eia.gov
2021-01-08 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,297.87,385.07,34.99,29.77,eia.gov
2021-01-09 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,286.48,371.24,38.02,31.47,eia.gov
2021-01-10 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,280.05,364.13,39.22,32.24,eia.gov
2021-01-11 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,295.37,381.92,35.99,29.83,eia.gov
2021-01-12 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,293.67,378.10,36.75,31.73,eia.gov
2021-01-13 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,284.56,367.68,38.45,32.99,eia.gov
2021-01-14 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,286.55,370.14,38.50,31.04,eia.gov
2021-01-15 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,285.75,369.45,38.61,30.33,eia.gov
2021-01-16 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,266.67,345.54,43.51,33.51,eia.gov
2021-01-17 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,268.83,348.76,43.04,31.67,eia.gov
2021-01-18 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,260.84,338.13,44.73,34.80,eia.gov
2021-01-19 00:00:00,USA,Turlock Irrigation District,US-CAL-TIDC,258.27,334.60,45.26,34.78,eia.gov
