Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,210.96,265.17,61.59,2.96,eia.gov
2021-01-02 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,202.39,254.73,63.37,4.40,eia.gov
2021-01-03 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,185.24,233.41,67.58,6.64,eia.gov
2021-01-04 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,258.39,318.43,56.52,4.94,eia.gov
2021-01-05 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,344.22,414.18,47.34,3.76,eia.gov
2021-01-06 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,344.89,414.57,48.13,6.09,eia.gov
2021-01-07 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,359.66,431.23,45.78,5.88,eia.gov
2021-01-08 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,365.29,436.55,45.78,3.17,eia.gov
2021-01-09 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,331.81,398.54,50.95,7.86,eia.gov
2021-01-10 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,322.17,386.78,52.46,7.90,eia.gov
2021-01-11 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,401.07,475.73,43.05,2.56,eia.gov
2021-01-12 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,343.81,411.47,49.84,4.88,eia.gov
2021-01-13 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,319.82,385.12,50.54,7.11,eia.gov
2021-01-14 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,290.86,353.55,54.51,6.78,eia.gov
2021-01-15 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,347.63,416.27,48.87,5.34,eia.gov
2021-01-16 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,322.25,388.31,51.45,6.29,eia.gov
2021-01-17 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,324.12,390.66,51.03,7.40,eia.gov
2021-01-18 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,300.31,363.30,54.21,8.04,eia.gov
2021-01-19 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,317.63,383.50,51.42,7.51,eia.gov
2021-01-20 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,269.05,327.34,58.56,9.19,eia.gov
2021-01-21 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,314.96,378.35,53.06,4.99,eia.gov
2021-01-22 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,270.24,328.71,57.99,5.88,eia.gov
2021-01-23 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,274.45,333.48,57.80,9.76,eia.gov
2021-01-24 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,286.38,346.31,56.34,8.78,eia.gov
2021-01-25 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,296.32,358.53,53.38,2.66,eia.gov
2021-01-26 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,281.21,342.68,54.59,3.36,eia.gov
2021-01-27 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,263.85,322.21,58.00,4.07,eia.gov
2021-01-28 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,298.93,362.73,53.03,6.71,eia.gov
2021-01-29 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,323.83,390.81,49.92,9.19,eia.gov
2021-01-30 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,332.20,399.16,48.76,8.27,eia.gov
2021-01-31 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,339.82,405.90,49.63,2.83,eia.gov
2021-02-01 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,341.58,409.18,48.64,4.49,eia.gov
2021-02-02 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,342.34,410.86,48.59,5.86,eia.gov
2021-02-03 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,345.40,413.85,49.00,8.48,eia.gov
2021-02-04 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,345.84,413.81,49.08,7.37,eia.gov
2021-02-05 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,333.20,397.95,51.79,2.68,eia.gov
2021-02-06 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,307.04,369.04,54.64,5.91,eia.gov
2021-02-07 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,307.60,368.99,55.21,5.62,eia.gov
2021-02-08 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,334.08,400.41,51.16,8.74,eia.gov
2021-02-09 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,301.44,361.11,56.80,6.65,eia.gov
2021-02-10 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,297.20,356.80,57.27,5.88,eia.gov
2021-02-11 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,339.95,403.08,53.61,3.41,eia.gov
2021-02-12 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,394.01,467.44,43.96,2.04,eia.gov
2021-02-13 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,400.82,476.04,42.21,2.01,eia.gov
2021-02-14 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,392.49,464.27,45.26,2.39,eia.gov
2021-02-15 00:00:00,USA,Duke Energy Progress East,US-CAR-CPLE,402.74,477.71,41.78,2.57,eia.gov
