Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,327.28,399.35,33.19,10.12,eia.gov
2022-01-02 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,315.65,386.61,34.31,11.17,eia.gov
2022-01-03 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,359.88,439.74,23.82,12.54,eia.gov
2022-01-04 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,382.57,464.91,20.59,12.14,eia.gov
2022-01-05 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,391.65,474.20,19.35,11.78,eia.gov
2022-01-06 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,400.80,485.92,17.00,10.95,eia.gov
2022-01-07 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,400.70,483.81,19.38,9.01,eia.gov
2022-01-08 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,417.71,502.60,16.09,7.15,eia.gov
2022-01-09 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,416.54,501.85,16.01,7.28,eia.gov
2022-01-10 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,399.54,483.85,17.72,10.70,eia.gov
2022-01-11 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,409.85,494.19,16.89,9.75,eia.gov
2022-01-12 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,409.04,492.86,17.69,10.00,eia.gov
2022-01-13 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,403.32,488.17,17.22,10.19,eia.gov
2022-01-14 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,405.34,490.72,16.49,9.90,eia.gov
2022-01-15 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,409.02,492.64,17.40,9.69,eia.gov
2022-01-16 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,414.57,499.41,16.22,8.36,eia.gov
2022-01-17 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,408.27,492.25,17.77,9.53,eia.gov
2022-01-18 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,413.08,496.61,17.11,8.68,eia.gov
2022-01-19 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,415.86,500.71,16.78,7.74,eia.gov
2022-01-20 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,418.74,506.31,13.50,6.87,eia.gov
2022-01-21 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,424.15,510.90,13.06,6.65,eia.gov
2022-01-22 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,420.14,505.69,15.83,8.12,eia.gov
2022-01-23 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,430.96,511.08,14.81,6.87,eia.gov
2022-01-24 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,422.84,509.25,14.87,6.56,eia.gov
2022-01-25 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,421.45,508.08,13.80,6.58,eia.gov
2022-01-26 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,396.84,476.87,18.09,6.58,eia.gov
2022-01-27 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,394.88,473.61,19.92,7.75,eia.gov
2022-01-28 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,408.75,489.74,16.63,6.48,eia.gov
2022-01-29 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,432.91,503.52,14.24,4.67,eia.gov
2022-01-30 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,437.41,503.87,14.46,5.42,eia.gov
2022-01-31 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,413.00,495.39,13.48,5.09,eia.gov
2022-02-01 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,404.48,484.73,17.64,6.27,eia.gov
2022-02-02 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,397.12,477.45,17.26,6.36,eia.gov
2022-02-03 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,385.05,465.07,18.70,9.02,eia.gov
2022-02-04 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,362.15,440.59,20.15,12.85,eia.gov
2022-02-05 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,381.35,462.12,14.36,9.80,eia.gov
2022-02-06 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,403.44,487.72,11.56,7.94,eia.gov
2022-02-07 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,404.68,488.63,14.94,9.15,eia.gov
2022-02-08 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,401.07,484.54,18.79,11.33,eia.gov
2022-02-09 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,397.28,481.09,15.74,10.32,eia.gov
2022-02-10 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,389.12,472.02,20.10,12.79,eia.gov
2022-02-11 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,392.46,476.72,18.26,12.85,eia.gov
2022-02-12 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,387.88,471.95,19.02,13.05,eia.gov
2022-02-13 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,388.56,472.21,19.14,11.28,eia.gov
2022-02-14 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,409.17,494.47,16.49,9.52,eia.gov
2022-02-15 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,407.67,492.70,16.34,9.72,Electricity Maps Estimation; eia.gov
2022-02-16 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,400.48,483.78,18.72,10.03,eia.gov
2022-02-17 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,339.81,412.89,32.33,16.33,eia.gov
2022-02-18 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,327.28,398.82,33.67,14.70,eia.gov
2022-02-19 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,343.94,417.99,28.88,14.75,eia.gov
2022-02-20 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,359.38,435.99,25.25,14.38,eia.gov
2022-02-21 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,391.79,475.90,18.33,12.56,eia.gov
2022-02-22 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,395.06,480.46,16.74,12.97,eia.gov
2022-02-23 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,401.96,489.58,14.03,11.51,eia.gov
2022-02-24 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,401.42,489.35,13.75,12.97,eia.gov
2022-02-25 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,400.00,487.64,14.00,12.72,eia.gov
2022-02-26 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,394.23,480.45,15.46,11.93,eia.gov
2022-02-27 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,401.71,489.02,14.17,12.18,eia.gov
2022-02-28 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,385.30,469.10,18.77,11.96,eia.gov
2022-03-01 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,386.82,471.19,18.18,13.03,eia.gov
2022-03-02 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,348.43,426.37,26.27,14.78,eia.gov
2022-03-03 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,285.18,352.25,40.28,17.40,eia.gov
2022-03-04 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,269.39,333.95,43.55,17.95,eia.gov
2022-03-05 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,292.33,360.34,39.37,18.98,eia.gov
2022-03-06 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,307.88,378.24,36.53,18.94,eia.gov
2022-03-07 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,315.14,387.41,34.10,15.05,eia.gov
2022-03-08 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,280.26,347.17,41.02,16.97,eia.gov
2022-03-09 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,321.24,394.07,32.87,13.71,eia.gov
2022-03-10 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,397.15,484.12,14.59,12.86,eia.gov
2022-03-11 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,397.71,484.85,14.55,13.23,eia.gov
2022-03-12 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,386.54,470.44,18.09,12.03,eia.gov
2022-03-13 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,392.80,477.09,15.67,10.69,eia.gov
2022-03-14 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,394.02,478.12,18.53,11.74,eia.gov
2022-03-15 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,402.10,488.60,14.77,11.46,eia.gov
2022-03-16 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,407.40,495.05,13.68,11.51,eia.gov
2022-03-17 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,399.18,485.92,15.08,13.48,eia.gov
2022-03-18 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,398.87,486.08,14.55,13.30,eia.gov
2022-03-19 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,400.89,488.83,13.78,13.49,eia.gov
2022-03-20 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,392.71,478.94,16.04,14.02,eia.gov
2022-03-21 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,407.63,495.85,11.39,10.30,eia.gov
2022-03-22 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,443.49,512.05,10.87,10.11,eia.gov
2022-03-23 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,406.02,494.78,12.57,12.18,eia.gov
2022-03-24 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,411.28,493.35,12.28,12.25,eia.gov
2022-03-25 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,402.20,489.94,12.21,11.87,eia.gov
2022-03-26 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,395.72,482.11,14.81,12.93,eia.gov
2022-03-27 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,383.26,467.74,17.56,13.29,eia.gov
2022-03-28 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,426.41,498.84,12.24,10.18,eia.gov
2022-03-29 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,394.85,481.63,15.05,12.93,eia.gov
2022-03-30 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,409.83,498.63,12.47,10.82,eia.gov
2022-03-31 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,413.74,503.04,12.08,9.99,eia.gov
2022-04-01 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,401.34,489.23,13.64,12.06,eia.gov
2022-04-02 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,332.07,406.90,29.60,15.35,eia.gov
2022-04-03 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,316.25,388.04,34.69,17.73,eia.gov
2022-04-04 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,332.18,406.77,29.37,14.66,eia.gov
2022-04-05 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,335.88,410.87,29.44,14.02,eia.gov
2022-04-06 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,343.44,419.24,27.96,14.22,eia.gov
2022-04-07 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,342.13,419.27,24.62,16.86,eia.gov
2022-04-08 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,295.39,364.90,36.55,16.95,eia.gov
2022-04-09 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,321.02,392.18,33.38,14.37,eia.gov
2022-04-10 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,330.17,402.13,31.24,14.66,eia.gov
2022-04-11 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,334.11,406.54,32.14,14.24,eia.gov
2022-04-12 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,335.70,409.32,30.53,16.86,eia.gov
2022-04-13 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,354.32,430.38,27.42,11.83,eia.gov
2022-04-14 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,321.98,391.62,34.60,16.01,eia.gov
2022-04-15 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,222.22,272.60,57.60,21.89,eia.gov
2022-04-16 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,331.07,402.99,32.88,16.90,eia.gov
2022-04-17 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,328.92,400.46,33.87,14.77,eia.gov
2022-04-18 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,339.09,412.14,31.81,15.48,eia.gov
2022-04-19 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,323.94,394.31,33.93,16.33,eia.gov
2022-04-20 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,331.86,403.33,32.55,14.86,eia.gov
2022-04-21 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,328.69,399.68,34.47,16.49,eia.gov
2022-04-22 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,345.07,419.06,29.87,13.63,eia.gov
2022-04-23 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,360.47,437.39,26.03,14.54,eia.gov
2022-04-24 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,354.53,429.85,28.63,15.21,eia.gov
2022-04-25 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,369.31,447.36,24.10,12.58,eia.gov
2022-04-26 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,389.29,471.36,17.56,9.27,eia.gov
2022-04-27 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,408.47,477.37,17.93,8.92,eia.gov
2022-04-28 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,429.07,481.69,18.40,9.46,eia.gov
2022-04-29 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,362.59,439.06,26.99,10.58,eia.gov
2022-04-30 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,361.12,436.89,28.28,11.47,eia.gov
2022-05-01 00:00:00,USA,Duke Energy Progress West,US-CAR-CPLW,360.89,436.88,28.24,11.23,eia.gov
