Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,150.19,189.70,71.98,3.85,eia.gov
2022-01-02 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,162.15,203.19,70.16,3.56,eia.gov
2022-01-03 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,180.25,225.67,66.38,7.59,eia.gov
2022-01-04 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,224.26,274.76,60.45,11.81,eia.gov
2022-01-05 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,225.35,274.87,60.49,5.87,eia.gov
2022-01-06 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,246.02,296.51,58.44,3.99,eia.gov
2022-01-07 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,253.81,305.33,59.10,8.58,eia.gov
2022-01-08 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,271.74,323.08,56.50,7.94,eia.gov
2022-01-09 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,230.55,279.60,60.34,4.17,eia.gov
2022-01-10 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,233.93,283.01,60.30,4.40,eia.gov
2022-01-11 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,275.03,327.58,55.29,6.59,eia.gov
2022-01-12 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,286.22,340.50,53.55,8.06,eia.gov
2022-01-13 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,291.60,346.97,52.17,4.49,eia.gov
2022-01-14 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,257.55,310.81,55.68,3.26,eia.gov
2022-01-15 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,263.28,317.06,54.91,3.53,eia.gov
2022-01-16 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,297.79,355.75,49.99,5.32,eia.gov
2022-01-17 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,313.27,370.74,49.17,2.44,eia.gov
2022-01-18 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,292.20,347.43,52.29,5.74,eia.gov
2022-01-19 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,292.26,346.98,52.59,5.30,eia.gov
2022-01-20 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,281.32,336.17,52.88,1.60,eia.gov
2022-01-21 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,308.09,367.55,48.23,4.23,eia.gov
2022-01-22 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,301.04,359.27,49.93,8.19,eia.gov
2022-01-23 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,305.51,363.29,49.71,5.57,eia.gov
2022-01-24 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,287.15,342.78,52.33,4.47,eia.gov
2022-01-25 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,290.69,345.35,52.49,2.08,eia.gov
2022-01-26 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,283.34,338.01,53.10,3.77,eia.gov
2022-01-27 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,280.81,335.85,53.38,8.21,eia.gov
2022-01-28 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,300.57,357.01,50.91,5.60,eia.gov
2022-01-29 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,321.62,379.64,48.26,3.33,eia.gov
2022-01-30 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,304.16,361.11,50.54,8.80,eia.gov
2022-01-31 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,287.79,343.33,52.31,5.66,eia.gov
2022-02-01 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,277.53,332.40,53.51,4.91,eia.gov
2022-02-02 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,281.98,337.72,52.60,4.49,eia.gov
2022-02-03 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,252.59,305.57,56.38,2.29,eia.gov
2022-02-04 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,232.22,283.44,58.85,1.05,eia.gov
2022-02-05 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,228.44,279.91,59.07,6.28,eia.gov
2022-02-06 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,276.07,332.70,52.37,8.79,eia.gov
2022-02-07 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,304.98,366.88,46.72,5.78,eia.gov
2022-02-08 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,282.84,340.70,51.16,6.98,eia.gov
2022-02-09 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,272.34,330.77,51.41,7.02,eia.gov
2022-02-10 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,264.05,319.84,53.73,5.25,eia.gov
