Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,382.51,454.64,37.01,6.99,eia.gov
2021-01-02 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,385.02,456.07,37.56,6.60,eia.gov
2021-01-03 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,350.17,415.20,44.48,14.98,eia.gov
2021-01-04 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,364.95,436.69,38.89,13.63,eia.gov
2021-01-05 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,386.01,460.70,35.35,11.10,eia.gov
2021-01-06 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,395.23,471.04,34.02,10.55,eia.gov
2021-01-07 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,410.26,489.40,30.79,8.84,eia.gov
2021-01-08 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,435.35,516.49,27.58,4.94,eia.gov
2021-01-09 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,420.86,499.39,30.58,8.12,eia.gov
2021-01-10 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,411.23,488.46,32.26,9.89,eia.gov
2021-01-11 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,433.81,516.29,26.81,4.91,eia.gov
2021-01-12 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,442.11,521.51,28.45,5.39,eia.gov
2021-01-13 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,446.94,528.87,26.41,4.78,eia.gov
2021-01-14 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,413.92,491.19,31.97,9.72,eia.gov
2021-01-15 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,438.44,519.43,27.54,4.61,eia.gov
2021-01-16 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,413.73,491.85,31.37,8.59,eia.gov
2021-01-17 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,413.98,491.03,32.12,9.66,eia.gov
2021-01-18 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,407.71,484.61,32.61,10.60,eia.gov
2021-01-19 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,410.08,487.30,32.24,10.57,eia.gov
2021-01-20 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,399.09,472.52,35.39,10.20,eia.gov
2021-01-21 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,440.58,520.19,28.17,3.96,eia.gov
2021-01-22 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,418.02,496.55,30.32,4.15,eia.gov
2021-01-23 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,381.81,456.58,35.58,10.73,eia.gov
2021-01-24 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,389.62,465.40,34.11,8.73,eia.gov
2021-01-25 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,388.81,466.22,32.80,6.09,eia.gov
2021-01-26 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,390.03,466.36,33.35,5.18,eia.gov
2021-01-27 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,393.60,470.99,32.49,4.68,eia.gov
2021-01-28 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,376.38,450.98,36.04,11.22,eia.gov
2021-01-29 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,396.07,475.22,31.79,11.11,eia.gov
2021-01-30 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,422.04,502.41,29.16,8.02,eia.gov
