Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,558.25,638.29,27.09,5.81,eia.gov
2021-01-02 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,560.14,639.71,27.45,5.11,eia.gov
2021-01-03 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,550.29,628.23,29.34,7.24,eia.gov
2021-01-04 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,528.20,606.81,29.57,8.64,eia.gov
2021-01-05 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,547.35,626.62,27.96,8.80,eia.gov
2021-01-06 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,593.83,676.13,24.18,7.16,eia.gov
2021-01-07 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,604.30,688.21,22.48,6.52,eia.gov
2021-01-08 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,598.68,681.87,22.87,5.83,eia.gov
2021-01-09 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,608.66,690.81,23.77,6.41,eia.gov
2021-01-10 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,603.72,686.10,24.06,6.43,eia.gov
2021-01-11 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,623.86,708.30,21.33,5.16,eia.gov
2021-01-12 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,617.27,700.32,22.51,5.27,eia.gov
2021-01-13 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,610.12,693.69,22.37,5.47,eia.gov
2021-01-14 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,543.26,625.05,26.34,7.21,eia.gov
2021-01-15 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,610.44,693.39,22.85,4.69,eia.gov
2021-01-16 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,610.28,692.87,23.44,5.22,eia.gov
2021-01-17 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,631.00,713.74,22.64,5.91,eia.gov
2021-01-18 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,594.22,675.71,24.43,6.86,eia.gov
2021-01-19 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,598.55,680.48,24.06,6.83,eia.gov
2021-01-20 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,562.67,642.40,26.71,6.89,eia.gov
2021-01-21 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,590.98,673.15,23.62,5.18,eia.gov
2021-01-22 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,584.85,667.53,23.88,4.58,eia.gov
2021-01-23 00:00:00,USA,South Carolina Public Service Authority,US-CAR-SC,511.06,591.15,28.78,7.31,eia.gov
