Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,277.42,341.99,54.74,54.39,eia.gov
2022-01-02 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,174.53,229.18,69.65,69.65,eia.gov
2022-01-03 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,155.00,206.22,73.05,73.05,eia.gov
2022-01-04 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,165.14,218.15,71.28,71.28,eia.gov
2022-01-05 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,163.27,215.95,71.61,71.61,eia.gov
2022-01-06 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,183.39,239.60,68.11,68.11,eia.gov
2022-01-07 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,166.91,219.38,71.28,70.94,eia.gov
2022-01-08 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,206.91,267.25,64.02,64.02,eia.gov
2022-01-09 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,189.84,247.18,66.99,66.99,eia.gov
2022-01-10 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,218.95,278.36,63.10,62.26,eia.gov
2022-01-11 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,262.25,327.46,56.03,55.36,eia.gov
2022-01-12 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,360.01,436.36,41.36,40.19,eia.gov
2022-01-13 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,239.37,282.11,67.12,64.57,eia.gov
2022-01-14 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,342.04,425.89,40.60,40.58,eia.gov
2022-01-15 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,286.07,359.24,50.61,50.44,eia.gov
2022-01-16 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,329.60,401.42,46.41,45.50,eia.gov
2022-01-17 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,356.37,429.29,43.15,41.90,eia.gov
2022-01-18 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,359.97,440.80,39.76,39.09,eia.gov
2022-01-19 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,311.08,385.09,47.54,46.98,eia.gov
2022-01-20 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,173.78,227.64,70.01,69.94,eia.gov
2022-01-21 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,206.00,263.71,65.04,64.81,eia.gov
2022-01-22 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,213.90,266.16,66.17,65.57,eia.gov
2022-01-23 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,304.31,376.52,48.95,48.42,eia.gov
2022-01-24 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,371.58,452.83,38.24,37.30,eia.gov
2022-01-25 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,318.08,389.76,47.72,46.91,eia.gov
