Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,432.97,468.37,48.44,42.05,spp.org; eia.gov
2021-01-02 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,592.31,641.31,26.87,20.15,spp.org; eia.gov
2021-01-03 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,513.38,557.18,36.76,29.94,spp.org; eia.gov
2021-01-04 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,421.80,460.02,48.02,41.27,spp.org; eia.gov
2021-01-05 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,410.77,448.33,49.38,42.86,spp.org; eia.gov
2021-01-06 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,337.40,369.08,59.09,52.61,spp.org; eia.gov
2021-01-07 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,499.08,542.58,38.26,31.78,spp.org; eia.gov
2021-01-08 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,629.24,687.41,18.83,12.25,spp.org; eia.gov
2021-01-09 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,662.23,722.95,14.38,7.71,spp.org; eia.gov
2021-01-10 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,645.36,700.24,19.03,12.31,spp.org; eia.gov
2021-01-11 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,558.17,609.73,28.61,22.13,spp.org; eia.gov
2021-01-12 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,507.84,554.21,35.89,29.48,spp.org; eia.gov
2021-01-13 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,422.00,458.99,48.60,41.97,spp.org; eia.gov
2021-01-14 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,287.74,316.12,65.27,58.63,spp.org; eia.gov
2021-01-15 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,281.76,311.74,64.94,58.59,spp.org; eia.gov
2021-01-16 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,407.43,449.17,47.33,40.74,spp.org; eia.gov
2021-01-17 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,360.88,396.39,54.83,48.09,spp.org; eia.gov
2021-01-18 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,459.49,497.37,44.76,38.16,spp.org; eia.gov
2021-01-19 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,397.64,433.07,51.63,44.89,spp.org; eia.gov
2021-01-20 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,412.81,453.10,47.82,41.20,spp.org; eia.gov
2021-01-21 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,483.78,529.41,38.51,31.56,spp.org; eia.gov
2021-01-22 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,494.56,540.75,37.11,30.41,spp.org; eia.gov
2021-01-23 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,407.13,441.05,51.54,45.00,spp.org; eia.gov
2021-01-24 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,471.83,511.59,42.61,35.62,spp.org; eia.gov
2021-01-25 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,504.78,547.99,37.92,30.90,spp.org; eia.gov
2021-01-26 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,494.61,540.86,37.22,30.51,spp.org; eia.gov
2021-01-27 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,602.19,652.97,25.12,18.64,spp.org; eia.gov
2021-01-28 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,437.08,472.71,48.05,41.85,spp.org; eia.gov
