Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,385.74,492.94,12.04,3.02,eia.gov
2022-01-02 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,450.84,550.68,10.22,2.38,eia.gov
2022-01-03 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,446.15,543.04,12.55,3.58,eia.gov
2022-01-04 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,452.20,549.09,11.95,2.90,eia.gov
2022-01-05 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,451.45,548.80,11.67,2.38,eia.gov
2022-01-06 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,455.61,552.61,11.45,3.29,eia.gov
2022-01-07 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,473.34,575.12,7.21,2.87,eia.gov
2022-01-08 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,472.74,575.03,7.04,3.07,eia.gov
2022-01-09 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,470.10,572.42,7.13,2.55,eia.gov
2022-01-10 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,475.69,579.64,5.91,2.00,eia.gov
2022-01-11 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,476.65,577.76,7.34,3.04,eia.gov
2022-01-12 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,487.30,589.16,7.11,2.67,eia.gov
2022-01-13 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,487.40,587.77,7.71,2.91,eia.gov
2022-01-14 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,470.78,572.34,8.82,3.98,eia.gov
2022-01-15 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,470.77,570.65,8.37,3.59,eia.gov
2022-01-16 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,483.76,584.88,6.33,1.18,eia.gov
2022-01-17 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,467.27,567.45,8.68,3.42,eia.gov
2022-01-18 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,466.08,569.02,8.21,3.46,eia.gov
2022-01-19 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,463.20,566.20,7.36,2.81,eia.gov
2022-01-20 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,481.53,582.41,7.61,2.94,eia.gov
2022-01-21 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,470.00,569.21,10.27,2.26,eia.gov
2022-01-22 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,476.93,576.43,8.82,0.62,eia.gov
2022-01-23 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,469.73,570.06,8.63,1.44,eia.gov
2022-01-24 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,478.06,579.85,8.38,3.02,eia.gov
2022-01-25 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,472.74,577.04,6.03,0.38,eia.gov
2022-01-26 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,473.97,575.44,7.58,0.37,eia.gov
2022-01-27 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,464.33,562.90,10.25,1.61,eia.gov
2022-01-28 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,463.05,561.31,10.66,1.66,eia.gov
2022-01-29 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,445.16,543.65,12.37,3.84,eia.gov
2022-01-30 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,479.39,578.38,9.36,2.93,eia.gov
2022-01-31 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,475.59,573.45,10.17,3.27,eia.gov
2022-02-01 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,458.43,555.55,11.39,3.08,eia.gov
2022-02-02 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,430.86,527.21,14.38,3.69,eia.gov
2022-02-03 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,454.40,548.34,13.62,3.65,eia.gov
2022-02-04 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,460.26,555.13,12.45,3.21,eia.gov
2022-02-05 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,452.06,549.70,11.47,0.81,eia.gov
2022-02-06 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,445.09,543.71,11.69,1.54,eia.gov
2022-02-07 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,448.46,545.54,12.21,2.38,eia.gov
2022-02-08 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,456.64,557.13,9.35,0.57,eia.gov
2022-02-09 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,445.78,544.09,11.89,3.33,eia.gov
2022-02-10 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,444.12,540.73,13.20,3.96,eia.gov
2022-02-11 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,453.98,549.23,12.87,3.07,eia.gov
2022-02-12 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,456.64,550.45,13.54,3.62,eia.gov
2022-02-13 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,464.38,559.55,11.95,2.27,eia.gov
2022-02-14 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,451.83,548.31,12.73,4.31,eia.gov
2022-02-15 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,456.90,555.25,10.85,2.35,eia.gov
2022-02-16 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,463.08,558.22,12.98,3.68,eia.gov
