Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,414.81,528.50,5.73,3.40,eia.gov
2022-01-02 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,421.37,534.96,5.06,2.60,eia.gov
2022-01-03 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,415.47,527.72,6.41,3.75,eia.gov
2022-01-04 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,422.88,536.17,5.27,2.85,eia.gov
2022-01-05 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,419.63,532.40,5.64,2.43,eia.gov
2022-01-06 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,,,,,Data is not complete enough to be published.
2022-01-07 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,,,,,Data is not complete enough to be published.
2022-01-08 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,419.67,532.77,5.64,3.77,eia.gov
2022-01-09 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,428.45,540.86,5.83,3.44,eia.gov
2022-01-10 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,429.84,543.80,4.45,2.44,eia.gov
2022-01-11 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,420.82,534.09,5.52,4.03,eia.gov
2022-01-12 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,424.29,538.86,4.38,3.26,eia.gov
2022-01-13 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,421.15,534.91,5.16,3.70,eia.gov
2022-01-14 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,417.72,530.37,6.26,4.37,eia.gov
2022-01-15 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,423.10,536.49,5.20,3.69,eia.gov
2022-01-16 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,425.05,540.20,3.62,2.07,eia.gov
2022-01-17 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,424.34,537.55,5.34,3.68,eia.gov
2022-01-18 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,425.67,538.95,4.65,3.28,eia.gov
2022-01-19 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,427.34,537.07,5.14,3.31,eia.gov
