Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,284.96,372.53,30.95,4.75,eia.gov
2022-01-02 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,287.45,375.79,30.13,4.23,eia.gov
2022-01-03 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,283.42,370.21,31.74,5.15,eia.gov
2022-01-04 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,284.77,370.55,32.54,4.64,eia.gov
2022-01-05 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,291.15,378.82,30.58,3.40,eia.gov
2022-01-06 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,288.23,374.79,31.75,5.15,eia.gov
2022-01-07 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,314.96,409.57,24.23,4.78,eia.gov
2022-01-08 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,318.94,413.47,24.25,5.02,eia.gov
2022-01-09 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,324.28,419.38,23.48,4.27,eia.gov
2022-01-10 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,328.76,425.34,22.10,3.49,eia.gov
2022-01-11 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,303.99,397.36,24.90,4.90,eia.gov
2022-01-12 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,299.01,392.38,24.77,4.33,eia.gov
2022-01-13 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,300.94,393.81,25.19,4.74,eia.gov
2022-01-14 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,282.89,370.82,30.47,10.66,eia.gov
2022-01-15 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,296.03,386.96,27.12,6.16,eia.gov
2022-01-16 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,311.71,406.33,23.26,1.92,eia.gov
2022-01-17 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,318.61,410.46,26.78,5.90,eia.gov
2022-01-18 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,311.35,403.61,26.60,6.58,eia.gov
2022-01-19 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,310.51,404.56,25.00,5.20,eia.gov
2022-01-20 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,330.49,424.42,24.41,4.37,eia.gov
2022-01-21 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,325.04,415.91,27.08,3.15,eia.gov
2022-01-22 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,293.45,382.62,29.42,4.01,eia.gov
2022-01-23 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,309.39,398.78,28.63,2.75,eia.gov
2022-01-24 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,304.82,392.98,30.33,8.69,eia.gov
2022-01-25 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,322.25,413.59,26.48,2.04,eia.gov
2022-01-26 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,322.82,412.69,27.85,1.23,eia.gov
2022-01-27 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,301.52,388.46,31.05,3.66,eia.gov
2022-01-28 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,307.43,394.57,30.61,2.96,eia.gov
2022-01-29 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,309.01,395.57,31.41,5.86,eia.gov
2022-01-30 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,321.13,414.59,24.81,4.21,eia.gov
2022-01-31 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,299.51,390.26,27.75,5.29,eia.gov
2022-02-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,289.91,376.62,31.66,5.83,eia.gov
2022-02-02 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,279.88,363.17,34.92,6.67,eia.gov
2022-02-03 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,278.82,362.50,34.61,6.80,eia.gov
2022-02-04 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,284.08,370.14,32.17,5.58,eia.gov
