Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,576.68,685.82,2.61,0.55,eia.gov
2022-01-02 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,585.34,694.66,2.06,0.40,eia.gov
2022-01-03 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,587.23,696.99,1.68,0.27,eia.gov
2022-01-04 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,592.61,701.51,2.05,0.32,eia.gov
2022-01-05 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,598.93,709.29,0.66,0.26,eia.gov
2022-01-06 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,600.66,710.55,0.73,0.25,eia.gov
2022-01-07 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,591.76,701.76,0.66,0.35,eia.gov
2022-01-08 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,594.59,705.40,0.54,0.34,eia.gov
2022-01-09 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,602.34,712.20,0.94,0.28,eia.gov
2022-01-10 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,606.27,716.34,0.59,0.14,eia.gov
2022-01-11 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,593.24,703.91,0.70,0.51,eia.gov
2022-01-12 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,584.61,694.87,1.33,0.43,eia.gov
2022-01-13 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,595.17,705.48,0.88,0.42,eia.gov
2022-01-14 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,596.25,706.51,0.90,0.46,eia.gov
2022-01-15 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,603.90,714.36,0.39,0.27,eia.gov
2022-01-16 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,586.89,698.80,0.19,0.10,eia.gov
2022-01-17 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,567.93,680.07,0.92,0.52,eia.gov
2022-01-18 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,575.35,686.53,1.08,0.55,eia.gov
2022-01-19 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,582.57,693.25,0.80,0.31,eia.gov
2022-01-20 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,590.87,702.19,0.45,0.08,eia.gov
2022-01-21 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,591.59,703.40,0.13,0.02,eia.gov
2022-01-22 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,582.21,693.77,0.31,0.15,eia.gov
2022-01-23 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,569.63,678.90,2.39,0.59,eia.gov
2022-01-24 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,587.99,694.79,3.62,1.08,eia.gov
2022-01-25 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,528.88,635.40,6.63,0.44,eia.gov
2022-01-26 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,547.22,654.31,5.50,0.14,eia.gov
2022-01-27 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,577.55,686.33,2.82,0.19,eia.gov
2022-01-28 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,577.13,686.76,2.57,0.07,eia.gov
2022-01-29 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,583.11,697.05,0.88,0.19,eia.gov
2022-01-30 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,584.33,693.46,2.28,0.47,eia.gov
2022-01-31 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,600.85,710.88,1.06,0.16,eia.gov
2022-02-01 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,602.37,713.72,1.66,0.11,eia.gov
2022-02-02 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,586.74,697.70,2.85,0.12,eia.gov
2022-02-03 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,597.33,708.87,1.86,0.06,eia.gov
2022-02-04 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,599.01,710.85,1.75,0.07,eia.gov
