Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,566.26,625.16,8.56,1.81,eia.gov
2022-01-02 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,592.84,641.74,7.85,1.60,eia.gov
2022-01-03 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,601.00,650.29,7.24,1.74,eia.gov
2022-01-04 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,642.30,677.49,6.12,1.21,eia.gov
2022-01-05 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,578.91,636.48,7.91,1.17,eia.gov
2022-01-06 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,649.41,664.17,10.03,2.14,eia.gov
2022-01-07 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,482.28,591.33,6.56,1.10,eia.gov
2022-01-08 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,641.05,682.23,4.84,1.46,eia.gov
2022-01-09 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,610.78,665.26,5.33,1.52,eia.gov
2022-01-10 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,622.62,675.76,4.22,0.79,eia.gov
2022-01-11 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,620.75,664.97,6.12,1.85,eia.gov
2022-01-12 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,599.77,652.56,6.22,1.59,eia.gov
2022-01-13 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,612.46,655.88,7.17,1.82,eia.gov
2022-01-14 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,578.91,634.52,8.58,3.41,eia.gov
2022-01-15 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,611.08,658.21,6.86,2.15,eia.gov
2022-01-16 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,565.17,637.83,6.02,0.89,eia.gov
2022-01-17 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,633.06,673.60,6.41,2.07,eia.gov
2022-01-18 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,632.42,668.44,6.85,2.24,eia.gov
2022-01-19 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,614.93,653.05,7.46,2.08,eia.gov
2022-01-20 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,603.13,656.11,6.88,1.73,eia.gov
2022-01-21 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,,,,,Data is not complete enough to be published.
2022-01-22 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,614.67,647.23,8.81,0.93,eia.gov
2022-01-23 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,602.03,642.09,9.32,1.19,eia.gov
2022-01-24 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,607.62,649.29,8.79,2.67,eia.gov
2022-01-25 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,638.97,676.88,6.43,0.64,eia.gov
2022-01-26 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,669.42,704.11,4.72,0.35,eia.gov
2022-01-27 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,675.51,704.05,5.08,1.01,eia.gov
2022-01-28 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,805.00,766.48,6.83,0.87,eia.gov
2022-01-29 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,660.82,679.32,8.58,2.42,eia.gov
2022-01-30 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,377.55,461.86,21.65,4.07,eia.gov
2022-01-31 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,430.83,538.35,11.90,2.88,eia.gov
2022-02-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,684.07,662.97,14.10,3.68,eia.gov
2022-02-02 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,604.87,654.18,7.67,1.79,eia.gov
2022-02-03 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,556.66,622.98,9.38,2.57,eia.gov
2022-02-04 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,592.70,642.95,8.44,1.82,eia.gov
2022-02-05 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,574.78,640.56,7.61,1.02,eia.gov
2022-02-06 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,573.43,648.29,6.49,0.96,eia.gov
2022-02-07 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,647.07,687.09,5.89,0.72,eia.gov
2022-02-08 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,693.99,691.86,10.25,0.87,eia.gov
2022-02-09 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,604.77,654.14,8.75,2.08,eia.gov
2022-02-10 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,606.04,651.23,9.07,2.35,eia.gov
2022-02-11 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,609.73,655.68,8.54,2.17,eia.gov
2022-02-12 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,585.95,646.17,8.26,1.75,eia.gov
2022-02-13 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,568.10,635.93,8.69,2.14,eia.gov
2022-02-14 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,630.79,672.14,7.68,2.56,eia.gov
2022-02-15 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,651.93,683.04,7.00,1.37,eia.gov
2022-02-16 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,668.92,677.12,10.22,2.62,eia.gov
2022-02-17 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,668.61,668.15,11.35,2.46,eia.gov
2022-02-18 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,674.34,680.30,8.99,1.57,eia.gov
2022-02-19 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,614.43,648.76,9.37,2.32,eia.gov
2022-02-20 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,425.18,528.72,13.60,3.01,eia.gov
2022-02-21 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,529.79,597.63,11.47,3.06,eia.gov
2022-02-22 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,555.17,613.98,10.21,2.68,eia.gov
2022-02-23 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,586.44,639.64,8.63,2.10,eia.gov
2022-02-24 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,622.57,668.49,7.56,2.20,eia.gov
2022-02-25 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,631.42,668.04,8.08,2.48,eia.gov
2022-02-26 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,602.18,652.81,8.16,3.17,eia.gov
2022-02-27 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,602.54,651.19,8.11,2.87,eia.gov
2022-02-28 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,599.97,650.92,6.62,1.05,eia.gov
2022-03-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,551.06,609.70,10.59,2.61,eia.gov
2022-03-02 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,526.67,590.53,12.16,3.49,eia.gov
2022-03-03 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,493.85,566.01,13.23,3.35,eia.gov
2022-03-04 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,488.04,564.54,12.97,3.37,eia.gov
2022-03-05 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,524.93,589.16,11.68,3.08,eia.gov
2022-03-06 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,527.59,586.77,12.40,3.59,eia.gov
2022-03-07 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,546.67,601.21,10.79,2.32,eia.gov
2022-03-08 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,582.53,632.06,8.42,1.75,eia.gov
2022-03-09 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,585.04,633.17,8.17,1.68,eia.gov
2022-03-10 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,346.07,427.79,24.25,3.20,eia.gov
2022-03-11 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,561.40,620.36,7.95,1.54,eia.gov
2022-03-12 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,529.89,598.78,9.57,3.99,eia.gov
2022-03-13 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,643.54,684.65,4.97,3.51,eia.gov
2022-03-14 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,624.65,665.49,6.40,2.18,eia.gov
2022-03-15 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,613.02,662.77,5.75,1.11,eia.gov
2022-03-16 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,563.18,623.65,7.87,2.23,eia.gov
2022-03-17 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,602.57,615.80,13.22,3.77,eia.gov
2022-03-18 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,570.66,628.86,7.62,2.51,eia.gov
2022-03-19 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,540.88,609.32,8.34,2.77,eia.gov
2022-03-20 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,526.10,599.48,8.99,3.18,eia.gov
2022-03-21 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,505.52,586.42,9.51,3.58,eia.gov
2022-03-22 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,551.68,613.76,8.59,3.04,eia.gov
2022-03-23 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,449.63,555.43,9.15,2.10,eia.gov
2022-03-24 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,570.74,633.66,6.01,1.00,eia.gov
2022-03-25 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,521.11,599.34,9.28,3.63,eia.gov
2022-03-26 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,508.45,586.55,11.33,4.48,eia.gov
2022-03-27 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,353.77,442.62,25.56,7.42,eia.gov
2022-03-28 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,506.76,587.48,10.17,3.73,eia.gov
2022-03-29 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,584.41,638.27,7.77,2.85,eia.gov
2022-03-30 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,596.06,647.02,7.03,2.52,eia.gov
2022-03-31 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,597.96,648.99,6.07,1.39,eia.gov
2022-04-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,548.29,616.54,7.42,2.40,eia.gov
2022-04-02 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,600.54,622.94,10.63,1.78,eia.gov
2022-04-03 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,594.46,611.99,13.44,3.43,eia.gov
2022-04-04 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,628.55,645.35,10.44,2.99,eia.gov
2022-04-05 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,620.10,644.77,9.30,2.58,eia.gov
2022-04-06 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,624.15,653.13,7.65,1.96,eia.gov
2022-04-07 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,617.68,649.65,7.52,1.77,eia.gov
2022-04-08 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,,,,,Data is not complete enough to be published.
2022-04-09 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,581.48,598.65,15.73,5.25,eia.gov
2022-04-10 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,313.43,391.11,31.18,9.43,eia.gov
2022-04-11 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,615.40,630.74,13.35,4.69,eia.gov
2022-04-12 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,601.17,622.70,12.93,4.07,eia.gov
2022-04-13 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,588.97,619.69,12.09,3.29,eia.gov
2022-04-14 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,622.16,650.18,9.43,2.25,eia.gov
2022-04-15 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,609.62,642.42,9.91,2.42,eia.gov
2022-04-16 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,588.55,620.03,12.67,3.30,eia.gov
2022-04-17 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,583.44,618.08,12.31,3.02,eia.gov
2022-04-18 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,534.06,592.49,11.60,2.91,eia.gov
2022-04-19 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,488.15,558.43,14.56,4.56,eia.gov
2022-04-20 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,479.43,557.65,14.02,3.60,eia.gov
2022-04-21 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,480.60,561.42,13.58,3.51,eia.gov
2022-04-22 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,481.66,558.64,13.95,3.70,eia.gov
2022-04-23 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,427.05,478.75,25.29,6.65,eia.gov
2022-04-24 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,484.20,559.98,13.83,3.59,eia.gov
2022-04-25 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,550.29,608.08,10.44,3.02,eia.gov
2022-04-26 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,539.45,596.06,11.78,3.24,eia.gov
2022-04-27 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,556.00,608.39,10.88,2.67,eia.gov
2022-04-28 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,525.93,588.12,11.70,3.23,eia.gov
2022-04-29 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,529.91,590.25,11.60,2.79,eia.gov
2022-04-30 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,551.01,605.16,11.00,2.76,eia.gov
2022-05-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,541.45,599.04,11.15,2.76,eia.gov
2022-05-02 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,566.21,620.45,9.43,2.41,eia.gov
2022-05-03 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,355.44,437.92,23.41,3.21,eia.gov
2022-05-04 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,583.67,634.13,8.36,2.13,eia.gov
2022-05-05 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,594.33,643.55,7.53,2.02,Electricity Maps Estimation; eia.gov
2022-05-06 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,596.04,645.11,7.13,1.88,eia.gov
2022-05-07 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,548.57,606.84,9.71,2.42,eia.gov
2022-05-08 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,540.72,559.87,19.16,5.46,eia.gov
2022-05-09 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,509.90,573.30,13.05,4.91,eia.gov
2022-05-10 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,546.45,602.33,11.21,3.47,eia.gov
2022-05-11 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,550.57,602.70,11.85,3.55,eia.gov
2022-05-12 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,540.81,597.19,11.77,3.08,eia.gov
2022-05-13 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,570.26,621.42,9.54,2.01,eia.gov
2022-05-14 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,430.99,532.69,13.09,2.71,eia.gov
2022-05-15 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,560.33,612.88,10.05,2.22,eia.gov
2022-05-16 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,572.56,623.76,9.23,2.57,eia.gov
2022-05-17 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,568.85,624.27,8.61,2.29,eia.gov
2022-05-18 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,585.72,634.50,7.99,1.88,eia.gov
2022-05-19 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,596.32,643.95,7.18,1.93,eia.gov
2022-05-20 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,630.07,631.01,12.65,2.64,eia.gov
2022-05-21 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,589.63,636.33,7.96,1.52,eia.gov
2022-05-22 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,572.11,623.19,8.79,2.23,eia.gov
2022-05-23 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,588.80,636.63,7.73,1.99,eia.gov
2022-05-24 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,588.35,635.04,8.14,2.20,eia.gov
2022-05-25 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,438.05,541.27,11.24,2.29,eia.gov
2022-05-26 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,565.08,619.45,8.67,2.17,eia.gov
2022-05-27 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,578.42,625.18,8.70,1.89,eia.gov
2022-05-28 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,561.40,615.19,9.20,2.29,eia.gov
2022-05-29 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,573.20,620.63,9.91,2.82,eia.gov
2022-05-30 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,584.94,631.20,9.03,2.22,eia.gov
2022-05-31 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,594.50,640.89,7.73,1.67,eia.gov
2022-06-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,585.82,637.91,6.49,1.50,eia.gov
2022-06-02 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,615.40,617.84,13.68,3.14,eia.gov
2022-06-03 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,576.19,626.11,8.75,1.54,eia.gov
2022-06-04 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,589.79,634.62,8.96,1.63,eia.gov
