Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,724.87,830.79,0.07,0.04,eia.gov
2021-01-02 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,709.32,815.80,0.11,0.07,eia.gov
2021-01-03 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,701.12,807.88,0.11,0.04,eia.gov
2021-01-04 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,722.33,828.39,0.08,0.06,eia.gov
2021-01-05 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,742.45,848.12,0.05,0.05,eia.gov
2021-01-06 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,747.13,852.66,0.02,0.02,eia.gov
2021-01-07 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,738.80,844.67,0.02,0.02,eia.gov
2021-01-08 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,722.02,828.56,0.03,0.03,eia.gov
2021-01-09 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,752.08,857.41,0.04,0.04,eia.gov
2021-01-10 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,716.93,823.66,0.06,0.05,eia.gov
2021-01-11 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,739.20,844.96,0.15,0.13,eia.gov
2021-01-12 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,720.54,827.16,0.02,0.02,eia.gov
2021-01-13 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,742.73,848.46,0.04,0.03,eia.gov
2021-01-14 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,747.26,852.54,0.20,0.19,eia.gov
2021-01-15 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,750.66,856.06,0.02,0.01,eia.gov
2021-01-16 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,742.54,848.16,0.03,0.02,eia.gov
2021-01-17 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,737.80,843.48,0.03,0.01,eia.gov
2021-01-18 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,644.10,737.23,14.87,14.85,eia.gov; Electricity Maps Estimation
2021-01-19 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,549.92,637.56,23.18,23.14,eia.gov; Electricity Maps Estimation
2021-01-20 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,702.37,803.18,5.41,5.35,eia.gov; Electricity Maps Estimation
2021-01-21 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,708.80,814.97,0.54,0.52,eia.gov
2021-01-22 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,639.76,749.24,0.10,0.07,eia.gov
2021-01-23 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,637.82,747.00,0.10,0.05,eia.gov
2021-01-24 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,645.19,753.46,0.20,0.10,eia.gov
2021-01-25 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,626.96,735.69,0.32,0.21,eia.gov
2021-01-26 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,648.51,756.04,0.55,0.42,eia.gov
2021-01-27 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,651.09,759.93,0.16,0.11,eia.gov
2021-01-28 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,648.39,756.84,0.25,0.12,eia.gov
2021-01-29 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,636.29,744.96,0.21,0.09,eia.gov
2021-01-30 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,623.26,732.88,0.13,0.06,eia.gov
2021-01-31 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,640.66,749.97,0.09,0.05,eia.gov
2021-02-01 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,624.46,734.82,0.02,0.01,eia.gov
2021-02-02 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,671.58,780.10,0.03,0.03,eia.gov
2021-02-03 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,706.24,813.26,0.04,0.04,eia.gov
2021-02-04 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,717.69,823.87,0.07,0.04,eia.gov
2021-02-05 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,745.81,851.28,0.06,0.05,eia.gov
2021-02-06 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,734.14,840.20,0.01,0.01,eia.gov
2021-02-07 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,742.92,848.64,0.00,0.00,eia.gov
2021-02-08 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,715.88,822.69,0.00,0.00,eia.gov
2021-02-09 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,657.14,766.16,0.14,0.14,eia.gov
2021-02-10 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,652.05,761.33,0.04,0.04,eia.gov
2021-02-11 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,655.04,764.15,0.06,0.06,eia.gov
2021-02-12 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,662.89,771.79,0.03,0.03,eia.gov
2021-02-13 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,661.38,770.34,0.03,0.03,eia.gov
2021-02-14 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,667.15,775.87,0.02,0.01,eia.gov
2021-02-15 00:00:00,USA,Seminole Electric Cooperative,US-FLA-SEC,673.00,781.45,0.01,0.00,eia.gov
