Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,City of Tallahassee,US-FLA-TAL,356.29,469.64,5.57,1.49,eia.gov
2021-01-02 00:00:00,USA,City of Tallahassee,US-FLA-TAL,358.09,472.47,4.67,1.14,eia.gov
2021-01-03 00:00:00,USA,City of Tallahassee,US-FLA-TAL,346.30,457.02,8.43,4.97,eia.gov
2021-01-04 00:00:00,USA,City of Tallahassee,US-FLA-TAL,345.16,455.94,8.53,5.82,eia.gov
2021-01-05 00:00:00,USA,City of Tallahassee,US-FLA-TAL,347.01,459.88,6.79,5.17,eia.gov
2021-01-06 00:00:00,USA,City of Tallahassee,US-FLA-TAL,350.53,464.86,5.41,4.20,eia.gov
2021-01-07 00:00:00,USA,City of Tallahassee,US-FLA-TAL,361.88,480.45,1.29,0.83,eia.gov
2021-01-08 00:00:00,USA,City of Tallahassee,US-FLA-TAL,360.41,478.19,2.01,1.42,eia.gov
2021-01-09 00:00:00,USA,City of Tallahassee,US-FLA-TAL,364.74,480.79,3.05,1.19,eia.gov
2021-01-10 00:00:00,USA,City of Tallahassee,US-FLA-TAL,364.11,476.70,5.80,2.32,eia.gov
2021-01-11 00:00:00,USA,City of Tallahassee,US-FLA-TAL,367.37,481.22,4.58,1.56,eia.gov
2021-01-12 00:00:00,USA,City of Tallahassee,US-FLA-TAL,367.83,482.99,3.52,1.08,eia.gov
2021-01-13 00:00:00,USA,City of Tallahassee,US-FLA-TAL,366.21,481.03,3.90,1.52,eia.gov
2021-01-14 00:00:00,USA,City of Tallahassee,US-FLA-TAL,356.25,467.55,7.38,4.58,eia.gov
2021-01-15 00:00:00,USA,City of Tallahassee,US-FLA-TAL,356.16,471.64,4.11,2.98,eia.gov
2021-01-16 00:00:00,USA,City of Tallahassee,US-FLA-TAL,352.39,463.38,7.89,5.10,eia.gov
2021-01-17 00:00:00,USA,City of Tallahassee,US-FLA-TAL,357.43,469.43,6.72,3.82,eia.gov
2021-01-18 00:00:00,USA,City of Tallahassee,US-FLA-TAL,351.05,463.35,6.97,4.92,eia.gov
2021-01-19 00:00:00,USA,City of Tallahassee,US-FLA-TAL,352.96,465.44,6.70,4.75,eia.gov
2021-01-20 00:00:00,USA,City of Tallahassee,US-FLA-TAL,350.02,462.53,6.86,4.90,eia.gov
2021-01-21 00:00:00,USA,City of Tallahassee,US-FLA-TAL,354.27,471.49,2.91,2.80,eia.gov
2021-01-22 00:00:00,USA,City of Tallahassee,US-FLA-TAL,363.24,480.92,1.85,0.59,eia.gov
2021-01-23 00:00:00,USA,City of Tallahassee,US-FLA-TAL,355.39,467.99,6.32,2.65,eia.gov
2021-01-24 00:00:00,USA,City of Tallahassee,US-FLA-TAL,357.23,470.32,5.78,2.02,eia.gov
2021-01-25 00:00:00,USA,City of Tallahassee,US-FLA-TAL,350.70,462.02,7.64,3.67,eia.gov
2021-01-26 00:00:00,USA,City of Tallahassee,US-FLA-TAL,358.83,472.28,5.35,1.35,eia.gov
2021-01-27 00:00:00,USA,City of Tallahassee,US-FLA-TAL,356.02,468.95,5.97,2.18,eia.gov
2021-01-28 00:00:00,USA,City of Tallahassee,US-FLA-TAL,345.34,454.24,9.96,6.30,eia.gov
2021-01-29 00:00:00,USA,City of Tallahassee,US-FLA-TAL,350.96,458.79,10.42,5.92,eia.gov
2021-01-30 00:00:00,USA,City of Tallahassee,US-FLA-TAL,353.27,461.83,9.68,5.18,eia.gov
2021-01-31 00:00:00,USA,City of Tallahassee,US-FLA-TAL,360.25,471.89,6.71,2.49,eia.gov
2021-02-01 00:00:00,USA,City of Tallahassee,US-FLA-TAL,365.78,478.26,5.72,1.88,eia.gov
2021-02-02 00:00:00,USA,City of Tallahassee,US-FLA-TAL,357.12,465.39,9.67,5.39,eia.gov
2021-02-03 00:00:00,USA,City of Tallahassee,US-FLA-TAL,358.12,465.38,10.39,5.60,eia.gov
2021-02-04 00:00:00,USA,City of Tallahassee,US-FLA-TAL,363.27,471.16,9.54,4.72,eia.gov
2021-02-05 00:00:00,USA,City of Tallahassee,US-FLA-TAL,367.22,477.75,7.11,2.42,eia.gov
2021-02-06 00:00:00,USA,City of Tallahassee,US-FLA-TAL,368.85,481.02,5.74,1.45,eia.gov
2021-02-07 00:00:00,USA,City of Tallahassee,US-FLA-TAL,365.71,477.47,6.28,2.14,eia.gov
2021-02-08 00:00:00,USA,City of Tallahassee,US-FLA-TAL,361.52,471.29,8.22,4.77,eia.gov
2021-02-09 00:00:00,USA,City of Tallahassee,US-FLA-TAL,377.17,488.31,5.98,1.54,eia.gov
2021-02-10 00:00:00,USA,City of Tallahassee,US-FLA-TAL,371.60,483.63,5.69,2.03,eia.gov
2021-02-11 00:00:00,USA,City of Tallahassee,US-FLA-TAL,365.70,476.87,6.78,3.46,eia.gov
2021-02-12 00:00:00,USA,City of Tallahassee,US-FLA-TAL,366.96,478.55,6.37,3.21,eia.gov
2021-02-13 00:00:00,USA,City of Tallahassee,US-FLA-TAL,371.43,486.88,3.06,1.00,eia.gov
2021-02-14 00:00:00,USA,City of Tallahassee,US-FLA-TAL,375.53,488.87,4.43,1.60,eia.gov
2021-02-15 00:00:00,USA,City of Tallahassee,US-FLA-TAL,378.74,491.65,4.56,1.60,eia.gov
2021-02-16 00:00:00,USA,City of Tallahassee,US-FLA-TAL,367.92,476.53,8.80,5.68,eia.gov
2021-02-17 00:00:00,USA,City of Tallahassee,US-FLA-TAL,378.64,486.13,8.94,5.08,eia.gov
2021-02-18 00:00:00,USA,City of Tallahassee,US-FLA-TAL,391.56,501.94,5.65,1.65,eia.gov
2021-02-19 00:00:00,USA,City of Tallahassee,US-FLA-TAL,383.02,493.89,5.88,2.49,eia.gov
2021-02-20 00:00:00,USA,City of Tallahassee,US-FLA-TAL,375.54,481.35,10.38,6.13,eia.gov
2021-02-21 00:00:00,USA,City of Tallahassee,US-FLA-TAL,384.68,489.27,10.68,5.54,eia.gov
2021-02-22 00:00:00,USA,City of Tallahassee,US-FLA-TAL,390.84,497.35,8.66,3.39,eia.gov
2021-02-23 00:00:00,USA,City of Tallahassee,US-FLA-TAL,366.25,472.00,11.03,6.86,eia.gov
2021-02-24 00:00:00,USA,City of Tallahassee,US-FLA-TAL,357.84,464.81,10.62,6.40,eia.gov
2021-02-25 00:00:00,USA,City of Tallahassee,US-FLA-TAL,356.82,466.02,8.92,5.25,eia.gov
