Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,467.83,581.89,4.02,3.72,eia.gov; Electricity Maps Estimation
2021-01-02 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,471.14,585.74,3.23,2.93,eia.gov; Electricity Maps Estimation
2021-01-03 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,477.35,593.50,1.92,1.45,eia.gov
2021-01-04 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,462.43,573.97,6.87,6.55,eia.gov
2021-01-05 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,455.55,568.04,6.22,6.05,eia.gov
2021-01-06 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,472.53,587.60,2.87,2.71,eia.gov; Electricity Maps Estimation
2021-01-07 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,481.29,597.02,2.71,2.63,eia.gov; Electricity Maps Estimation
2021-01-08 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,478.61,592.97,4.28,4.12,eia.gov; Electricity Maps Estimation
2021-01-09 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,494.64,607.57,4.71,4.57,eia.gov; Electricity Maps Estimation
2021-01-10 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,503.51,615.93,4.93,4.58,eia.gov
2021-01-11 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,501.88,616.08,3.19,2.76,eia.gov; Electricity Maps Estimation
2021-01-12 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,513.57,628.74,1.90,1.59,eia.gov; Electricity Maps Estimation
2021-01-13 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,502.23,618.25,1.27,0.90,eia.gov
2021-01-14 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,487.50,600.49,4.66,4.39,eia.gov
2021-01-15 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,476.94,589.62,5.11,4.81,eia.gov
2021-01-16 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,492.90,604.46,5.69,5.32,eia.gov
2021-01-17 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,503.00,618.83,1.46,1.09,eia.gov
2021-01-18 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,486.79,598.82,6.05,5.76,eia.gov; Electricity Maps Estimation
2021-01-19 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,496.36,607.63,6.41,6.13,eia.gov
2021-01-20 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,498.11,609.42,5.99,5.59,eia.gov; Electricity Maps Estimation
2021-01-21 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,515.31,627.92,4.12,3.88,eia.gov; Electricity Maps Estimation
2021-01-22 00:00:00,USA,Tampa Electric Company,US-FLA-TEC,487.00,597.64,6.98,6.79,eia.gov; Electricity Maps Estimation
