Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,322.05,383.38,47.55,7.11,pjm.com
2022-01-02 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,339.41,402.91,45.01,6.67,pjm.com
2022-01-03 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,374.11,446.70,37.19,3.87,pjm.com
2022-01-04 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,370.31,440.73,38.51,7.95,pjm.com
2022-01-05 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,367.05,433.70,41.28,9.52,pjm.com
2022-01-06 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,378.31,447.07,39.11,7.34,pjm.com
2022-01-07 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,410.94,482.16,35.85,5.79,pjm.com
2022-01-08 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,406.20,473.92,38.62,7.48,pjm.com
2022-01-09 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,388.40,452.77,41.97,8.28,pjm.com
2022-01-10 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,409.02,476.63,38.48,6.73,pjm.com
2022-01-11 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,431.95,501.55,36.09,6.31,pjm.com
2022-01-12 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,414.48,482.26,38.25,7.47,pjm.com
2022-01-13 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,408.71,479.33,36.25,3.68,pjm.com
2022-01-14 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,406.02,474.81,37.72,3.91,pjm.com
2022-01-15 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,400.44,467.67,39.18,6.86,pjm.com
2022-01-16 00:00:00,USA,"PJM Interconnection, LLC",US-MIDA-PJM,431.52,502.24,35.78,4.24,pjm.com
