Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,570.89,615.14,30.24,27.16,eia.gov
2022-01-02 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,634.60,693.75,16.14,15.01,eia.gov
2022-01-03 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,655.80,715.89,13.15,12.61,eia.gov
2022-01-04 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,574.02,618.11,29.65,28.88,eia.gov
2022-01-05 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,585.23,631.94,27.23,26.66,eia.gov
2022-01-06 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,585.76,642.27,21.52,21.09,eia.gov
2022-01-07 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,632.40,695.21,14.25,13.52,eia.gov
2022-01-08 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,606.72,659.04,21.94,21.10,eia.gov
2022-01-09 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,548.81,604.33,25.55,24.56,eia.gov
2022-01-10 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,559.59,626.40,18.80,18.33,eia.gov
2022-01-11 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,599.37,652.67,22.38,21.86,eia.gov
2022-01-12 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,668.58,723.52,15.00,14.66,eia.gov
2022-01-13 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,644.96,701.14,16.10,15.82,eia.gov
2022-01-14 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,672.18,728.04,13.90,13.47,eia.gov
2022-01-15 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,602.21,657.15,20.63,19.98,eia.gov
2022-01-16 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,679.69,741.34,9.86,8.91,eia.gov
2022-01-17 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,658.81,716.33,14.04,13.32,eia.gov
2022-01-18 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,630.97,683.51,19.47,18.78,eia.gov
2022-01-19 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,602.24,653.71,22.55,21.88,eia.gov
2022-01-20 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,609.00,669.05,17.69,17.04,eia.gov
2022-01-21 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,625.01,686.63,15.21,14.49,eia.gov
2022-01-22 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,652.78,714.80,11.92,11.36,eia.gov
2022-01-23 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,667.83,722.01,15.14,14.63,eia.gov
2022-01-24 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,606.01,658.83,21.80,20.93,eia.gov
2022-01-25 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,653.23,712.39,14.00,13.44,eia.gov
2022-01-26 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,636.01,698.47,13.73,13.37,eia.gov
2022-01-27 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,624.55,677.08,20.46,19.76,eia.gov
2022-01-28 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,658.58,717.14,13.78,13.12,eia.gov
2022-01-29 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,658.05,716.68,13.59,13.07,eia.gov
2022-01-30 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,700.79,755.11,12.14,11.87,eia.gov
2022-01-31 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,654.93,710.47,15.59,15.07,eia.gov
2022-02-01 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,572.74,621.35,26.95,25.84,eia.gov
2022-02-02 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,571.13,615.91,29.41,28.39,eia.gov
2022-02-03 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,578.90,634.05,23.50,22.04,eia.gov
2022-02-04 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,618.41,675.21,19.02,17.67,eia.gov
2022-02-05 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,615.51,667.37,21.62,20.40,eia.gov
2022-02-06 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,618.02,665.38,23.60,22.45,eia.gov
2022-02-07 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,688.70,748.27,10.18,9.95,eia.gov
2022-02-08 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,602.91,658.22,20.44,19.82,eia.gov
2022-02-09 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,592.82,650.20,20.35,19.32,eia.gov
2022-02-10 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,640.25,697.49,16.40,15.61,eia.gov
2022-02-11 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,584.16,619.10,33.71,32.04,eia.gov
2022-02-12 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,594.01,651.35,20.45,19.44,eia.gov
2022-02-13 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,615.66,680.38,13.82,13.52,eia.gov
2022-02-14 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,630.75,692.71,14.19,13.68,eia.gov
2022-02-15 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,542.06,592.37,28.71,27.99,eia.gov
2022-02-16 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,575.05,614.56,31.68,30.68,eia.gov
2022-02-17 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,592.07,639.29,25.73,24.81,Electricity Maps Estimation; eia.gov
2022-02-18 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,594.08,654.50,18.57,17.66,eia.gov
2022-02-19 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,587.07,644.34,21.16,19.97,eia.gov
2022-02-20 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,534.08,581.70,31.25,29.97,eia.gov
2022-02-21 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,552.97,601.73,28.81,27.36,eia.gov
2022-02-22 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,611.14,654.00,26.81,25.79,Electricity Maps Estimation; eia.gov
2022-02-23 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,619.11,677.72,17.49,16.95,eia.gov
2022-02-24 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,647.26,709.68,12.94,12.63,eia.gov
2022-02-25 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,641.42,703.39,13.56,13.20,eia.gov
2022-02-26 00:00:00,USA,"Associated Electric Cooperative, Inc.",US-MIDW-AECI,685.23,747.98,8.57,7.94,eia.gov
