Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,815.21,913.66,5.34,1.67,eia.gov; Electricity Maps Estimation
2021-01-02 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,799.94,898.11,6.25,1.81,eia.gov
2021-01-03 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,816.25,914.99,5.43,1.63,eia.gov
2021-01-04 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,831.64,931.13,4.38,1.54,eia.gov
2021-01-05 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,820.69,919.41,5.29,1.64,eia.gov
2021-01-06 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,820.79,919.07,5.38,2.04,eia.gov
2021-01-07 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,826.39,924.65,5.05,1.92,eia.gov
2021-01-08 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,822.13,920.02,5.14,1.51,eia.gov
2021-01-09 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,819.71,917.59,5.17,1.39,eia.gov
2021-01-10 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,851.93,950.08,4.04,1.37,eia.gov
2021-01-11 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,841.70,939.65,4.73,2.31,eia.gov
2021-01-12 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,824.03,921.33,5.62,2.95,eia.gov
2021-01-13 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,817.81,914.36,6.09,3.32,eia.gov
2021-01-14 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,815.76,912.60,6.17,3.39,eia.gov
2021-01-15 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,809.32,906.84,6.43,3.01,eia.gov
2021-01-16 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,813.11,910.26,6.36,2.72,eia.gov
2021-01-17 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,824.09,921.95,5.42,2.70,eia.gov
2021-01-18 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,822.64,920.10,5.76,2.31,eia.gov
2021-01-19 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,820.77,918.61,5.62,2.59,eia.gov
2021-01-20 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,815.77,912.80,6.35,2.99,eia.gov
2021-01-21 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,816.16,912.82,6.54,3.73,eia.gov
2021-01-22 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,838.16,937.86,3.90,2.19,eia.gov
2021-01-23 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,816.91,914.25,6.18,2.64,eia.gov; Electricity Maps Estimation
2021-01-24 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,804.23,900.35,6.88,2.95,eia.gov; Electricity Maps Estimation
2021-01-25 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,793.99,889.82,7.38,3.48,eia.gov
2021-01-26 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,805.43,902.79,6.46,2.93,eia.gov
2021-01-27 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,803.00,900.90,6.45,2.47,eia.gov
2021-01-28 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,803.36,901.97,5.53,2.22,eia.gov
2021-01-29 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,802.91,900.40,5.87,2.55,eia.gov
2021-01-30 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,803.62,898.44,7.43,3.78,eia.gov
2021-01-31 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,818.06,915.17,5.70,2.95,eia.gov
2021-02-01 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,842.85,941.65,3.87,1.94,eia.gov
2021-02-02 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,858.10,958.39,2.59,1.17,eia.gov
2021-02-03 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,859.33,960.06,2.40,1.29,eia.gov
2021-02-04 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,857.15,952.91,5.68,3.27,eia.gov
2021-02-05 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,878.86,975.20,5.37,2.51,eia.gov
2021-02-06 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,847.76,944.44,5.88,2.93,eia.gov
2021-02-07 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,848.20,946.61,4.62,2.51,eia.gov
2021-02-08 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,854.55,953.88,3.81,1.99,eia.gov
2021-02-09 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,853.02,951.86,4.13,1.70,eia.gov
2021-02-10 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,836.74,933.78,6.21,2.13,eia.gov
2021-02-11 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,842.89,939.60,6.29,2.63,eia.gov
2021-02-12 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,870.22,968.34,4.32,2.36,eia.gov
2021-02-13 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,895.57,995.89,2.07,1.56,eia.gov
2021-02-14 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,894.28,994.03,2.26,1.77,eia.gov
2021-02-15 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,873.20,972.26,3.52,1.68,eia.gov
2021-02-16 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,843.25,940.24,5.63,1.70,eia.gov
2021-02-17 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,843.27,942.99,3.76,1.27,eia.gov
2021-02-18 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,885.35,984.98,2.72,0.98,eia.gov
2021-02-19 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,903.66,1004.73,1.19,0.87,eia.gov
2021-02-20 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,856.93,955.72,3.97,1.47,eia.gov
2021-02-21 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,859.38,955.00,5.33,3.07,eia.gov
2021-02-22 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,847.55,943.66,5.92,3.26,eia.gov
2021-02-23 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,837.76,933.73,6.62,3.52,eia.gov
2021-02-24 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,804.72,901.42,7.24,3.50,eia.gov
2021-02-25 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,789.33,884.43,9.22,3.23,eia.gov
2021-02-26 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,805.80,902.49,7.33,2.50,eia.gov
2021-02-27 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,809.99,908.24,5.95,2.08,eia.gov
2021-02-28 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,809.34,907.39,5.86,2.73,eia.gov
2021-03-01 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,811.28,909.61,5.79,2.21,eia.gov
2021-03-02 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,810.09,909.84,4.87,2.09,eia.gov
2021-03-03 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,788.43,889.55,4.25,1.88,eia.gov
2021-03-04 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,773.99,873.73,5.72,2.05,eia.gov; Electricity Maps Estimation
2021-03-05 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,782.87,882.81,5.39,2.19,eia.gov; Electricity Maps Estimation
2021-03-06 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,768.05,869.24,4.67,1.79,eia.gov; Electricity Maps Estimation
2021-03-07 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,768.57,869.69,4.70,2.28,eia.gov; Electricity Maps Estimation
2021-03-08 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,774.09,875.35,4.17,2.20,eia.gov; Electricity Maps Estimation
2021-03-09 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,736.21,835.95,6.68,2.55,eia.gov
2021-03-10 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,741.49,842.27,5.72,2.56,eia.gov
2021-03-11 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,767.87,867.74,5.80,2.10,eia.gov
2021-03-12 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,750.53,848.10,8.11,2.46,eia.gov
2021-03-13 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,749.30,847.92,7.45,2.87,eia.gov
2021-03-14 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,754.40,852.51,7.74,3.12,eia.gov
2021-03-15 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,761.52,859.96,7.25,3.14,eia.gov
2021-03-16 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,746.75,844.18,8.42,3.23,eia.gov
2021-03-17 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,761.22,860.39,6.40,3.18,eia.gov
2021-03-18 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,765.52,865.10,6.02,3.42,eia.gov
2021-03-19 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,751.72,850.66,6.91,3.21,eia.gov
2021-03-20 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,773.44,873.13,5.66,2.38,eia.gov
2021-03-21 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,765.36,864.91,6.17,2.84,eia.gov
2021-03-22 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,764.29,864.52,5.72,2.44,eia.gov
2021-03-23 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,762.74,862.53,6.03,2.56,eia.gov
2021-03-24 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,776.20,876.48,5.45,2.54,eia.gov
2021-03-25 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,756.72,855.02,7.55,3.09,eia.gov
2021-03-26 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,753.91,852.58,7.32,3.36,eia.gov
2021-03-27 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,738.18,835.49,8.51,3.74,eia.gov
2021-03-28 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,734.49,832.01,8.51,4.53,eia.gov
2021-03-29 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,746.03,843.41,8.49,3.80,eia.gov
2021-03-30 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,748.00,845.22,8.55,4.08,eia.gov
2021-03-31 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,757.20,856.22,6.89,2.89,eia.gov
2021-04-01 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,769.70,868.55,6.65,2.54,eia.gov
2021-04-02 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,753.21,851.90,7.08,2.77,eia.gov
2021-04-03 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,723.98,822.57,7.92,3.28,eia.gov
2021-04-04 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,732.59,830.38,8.56,3.04,eia.gov
2021-04-05 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,729.58,826.33,9.43,3.55,eia.gov
2021-04-06 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,745.59,843.65,8.05,3.42,eia.gov
2021-04-07 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,747.28,845.49,7.88,3.38,eia.gov
