Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,432.55,486.11,43.73,22.31,eia.gov
2022-01-02 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,487.21,549.43,34.49,13.84,eia.gov
2022-01-03 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,488.13,553.76,32.07,15.29,eia.gov
2022-01-04 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,438.87,499.25,38.64,22.99,eia.gov
2022-01-05 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,412.74,468.69,43.34,27.58,eia.gov
2022-01-06 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,449.34,510.48,37.54,21.67,eia.gov
2022-01-07 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,513.57,585.94,25.91,10.64,eia.gov
2022-01-08 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,459.21,519.21,37.55,23.21,eia.gov
2022-01-09 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,455.42,512.11,40.11,23.13,eia.gov
2022-01-10 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,519.65,588.45,27.89,12.01,eia.gov
2022-01-11 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,466.45,529.65,34.98,20.71,eia.gov
2022-01-12 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,476.06,538.29,34.97,18.10,eia.gov
2022-01-13 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,507.50,573.56,30.45,12.45,eia.gov
2022-01-14 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,511.12,575.37,31.36,13.80,eia.gov
2022-01-15 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,485.87,547.86,34.53,18.71,eia.gov
2022-01-16 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,504.44,571.78,29.63,15.08,eia.gov
2022-01-17 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,504.91,572.33,29.54,14.73,eia.gov
2022-01-18 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,469.99,532.22,35.36,20.64,eia.gov
2022-01-19 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,437.62,491.76,42.94,27.85,eia.gov
2022-01-20 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,520.91,588.09,28.86,13.25,eia.gov
2022-01-21 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,507.25,576.57,28.23,14.63,eia.gov
2022-01-22 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,469.90,533.98,34.17,19.50,eia.gov
2022-01-23 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,495.10,561.98,30.68,14.82,eia.gov
2022-01-24 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,489.85,553.52,33.14,18.64,eia.gov
2022-01-25 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,519.46,587.68,28.20,13.36,eia.gov
2022-01-26 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,508.18,575.50,29.56,15.85,eia.gov
2022-01-27 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,474.72,535.45,36.09,22.77,eia.gov
2022-01-28 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,534.93,602.20,27.80,12.96,eia.gov
2022-01-29 00:00:00,USA,"Midcontinent Independent Transmission System Operator, Inc.",US-MIDW-MISO,522.45,587.16,30.40,15.34,eia.gov
