Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,188.78,269.36,52.31,33.11,iso-ne.com
2021-01-02 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,188.07,268.76,52.45,32.95,iso-ne.com
2021-01-03 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,197.10,279.25,50.18,31.10,iso-ne.com
2021-01-04 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,214.11,300.06,45.61,27.84,iso-ne.com
2021-01-05 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,208.09,292.46,47.11,29.68,iso-ne.com
2021-01-06 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,187.61,266.41,52.37,31.47,iso-ne.com
2021-01-07 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,168.66,242.02,57.12,32.64,iso-ne.com
2021-01-08 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,177.81,253.20,54.93,30.37,iso-ne.com
2021-01-09 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,181.00,255.96,56.08,30.09,iso-ne.com
2021-01-10 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,169.45,240.56,60.48,32.46,iso-ne.com
2021-01-11 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,200.76,278.81,51.74,26.99,iso-ne.com
2021-01-12 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,201.08,278.87,51.96,26.46,iso-ne.com
2021-01-13 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,199.20,277.93,52.06,25.47,iso-ne.com
2021-01-14 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,197.50,275.10,53.21,26.96,iso-ne.com
2021-01-15 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,186.03,262.60,55.10,27.72,iso-ne.com
2021-01-16 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,158.18,227.49,62.46,33.70,iso-ne.com
2021-01-17 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,151.27,219.44,64.20,34.55,iso-ne.com
2021-01-18 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,164.18,234.90,60.78,32.67,iso-ne.com
2021-01-19 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,179.90,253.72,56.59,30.08,Electricity Maps Estimation; iso-ne.com
2021-01-20 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,195.76,273.43,52.73,27.06,iso-ne.com
2021-01-21 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,207.59,287.76,49.76,26.11,iso-ne.com
2021-01-22 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,215.05,296.56,48.10,23.66,iso-ne.com
2021-01-23 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,178.31,252.58,57.04,30.61,iso-ne.com
2021-01-24 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,182.37,256.12,56.91,31.44,iso-ne.com
2021-01-25 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,194.70,270.94,53.70,29.14,iso-ne.com
2021-01-26 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,208.86,289.31,49.56,25.27,iso-ne.com
2021-01-27 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,216.87,299.50,48.06,23.69,iso-ne.com
2021-01-28 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,222.79,304.09,49.20,25.01,iso-ne.com
2021-01-29 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,239.47,323.20,48.80,27.42,iso-ne.com
2021-01-30 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,241.02,324.68,47.34,26.12,iso-ne.com
2021-01-31 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,246.97,332.01,45.07,23.14,iso-ne.com
2021-02-01 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,243.74,327.12,45.99,23.14,iso-ne.com
2021-02-02 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,220.97,297.44,52.45,27.91,iso-ne.com
2021-02-03 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,219.45,298.75,52.06,26.39,iso-ne.com
2021-02-04 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,217.62,300.06,50.38,24.34,iso-ne.com
2021-02-05 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,206.28,287.45,50.44,24.86,iso-ne.com
2021-02-06 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,177.04,251.47,57.67,29.38,iso-ne.com
2021-02-07 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,191.41,268.91,53.91,27.23,iso-ne.com
2021-02-08 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,214.52,292.91,51.61,27.04,iso-ne.com
2021-02-09 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,247.48,332.86,46.86,23.20,iso-ne.com
2021-02-10 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,239.51,323.68,47.49,24.24,iso-ne.com
2021-02-11 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,225.73,306.24,50.46,26.29,iso-ne.com
2021-02-12 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,241.72,326.42,47.78,25.01,iso-ne.com
2021-02-13 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,233.75,314.80,50.28,25.70,iso-ne.com
2021-02-14 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,234.33,315.75,49.67,23.94,iso-ne.com
2021-02-15 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,220.84,301.67,49.95,24.71,iso-ne.com
2021-02-16 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,218.02,299.35,49.56,24.56,iso-ne.com
2021-02-17 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,211.01,291.47,51.11,27.03,iso-ne.com
2021-02-18 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,229.25,314.33,45.75,23.95,iso-ne.com
2021-02-19 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,233.70,321.00,43.95,21.71,iso-ne.com
2021-02-20 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,218.79,300.58,49.04,23.78,iso-ne.com
2021-02-21 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,202.49,280.70,52.83,26.87,iso-ne.com
2021-02-22 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,220.24,302.48,47.77,24.22,iso-ne.com
2021-02-23 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,206.45,288.62,50.41,25.08,Electricity Maps Estimation; iso-ne.com
2021-02-24 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,183.30,261.98,54.92,27.88,iso-ne.com
2021-02-25 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,164.01,237.46,59.47,32.20,iso-ne.com
2021-02-26 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,171.02,246.39,58.42,31.93,iso-ne.com
2021-02-27 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,176.04,251.88,55.25,29.18,iso-ne.com
2021-02-28 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,165.27,239.46,58.10,30.14,iso-ne.com
2021-03-01 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,179.00,256.15,54.49,28.58,iso-ne.com
2021-03-02 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,192.18,271.22,51.65,27.97,iso-ne.com
2021-03-03 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,192.30,272.13,51.67,28.01,iso-ne.com
2021-03-04 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,185.31,262.12,54.44,29.27,iso-ne.com
2021-03-05 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,202.72,280.36,53.08,28.83,iso-ne.com
2021-03-06 00:00:00,USA,Iso New England Inc.,US-NE-ISNE,187.89,262.56,56.51,29.95,iso-ne.com
