Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Avista Corporation,US-NW-AVA,172.39,218.18,68.99,66.40,eia.gov
2021-01-02 00:00:00,USA,Avista Corporation,US-NW-AVA,155.26,195.27,72.78,70.37,eia.gov
2021-01-03 00:00:00,USA,Avista Corporation,US-NW-AVA,144.67,183.24,74.55,71.89,eia.gov
2021-01-04 00:00:00,USA,Avista Corporation,US-NW-AVA,146.17,189.66,72.81,70.42,eia.gov
2021-01-05 00:00:00,USA,Avista Corporation,US-NW-AVA,146.34,188.61,73.01,70.66,eia.gov
2021-01-06 00:00:00,USA,Avista Corporation,US-NW-AVA,165.99,210.73,70.16,68.09,eia.gov
2021-01-07 00:00:00,USA,Avista Corporation,US-NW-AVA,123.58,170.76,74.51,72.12,eia.gov
2021-01-08 00:00:00,USA,Avista Corporation,US-NW-AVA,122.88,167.95,75.28,72.47,eia.gov
2021-01-09 00:00:00,USA,Avista Corporation,US-NW-AVA,126.37,175.09,73.49,70.52,eia.gov
2021-01-10 00:00:00,USA,Avista Corporation,US-NW-AVA,154.94,202.63,70.86,67.84,eia.gov
2021-01-11 00:00:00,USA,Avista Corporation,US-NW-AVA,156.13,202.95,71.16,68.81,eia.gov
2021-01-12 00:00:00,USA,Avista Corporation,US-NW-AVA,143.45,186.08,73.53,71.67,eia.gov
2021-01-13 00:00:00,USA,Avista Corporation,US-NW-AVA,94.95,128.06,83.91,80.77,eia.gov
2021-01-14 00:00:00,USA,Avista Corporation,US-NW-AVA,133.19,177.41,74.49,72.14,eia.gov
2021-01-15 00:00:00,USA,Avista Corporation,US-NW-AVA,116.63,159.49,77.12,74.81,eia.gov
2021-01-16 00:00:00,USA,Avista Corporation,US-NW-AVA,112.08,146.96,82.84,80.00,eia.gov
2021-01-17 00:00:00,USA,Avista Corporation,US-NW-AVA,100.10,130.18,86.40,82.70,eia.gov
2021-01-18 00:00:00,USA,Avista Corporation,US-NW-AVA,132.41,172.45,77.89,74.64,eia.gov
2021-01-19 00:00:00,USA,Avista Corporation,US-NW-AVA,140.72,186.74,73.31,70.73,eia.gov
2021-01-20 00:00:00,USA,Avista Corporation,US-NW-AVA,160.05,205.65,71.27,68.79,eia.gov
2021-01-21 00:00:00,USA,Avista Corporation,US-NW-AVA,132.36,178.86,73.97,70.87,eia.gov
2021-01-22 00:00:00,USA,Avista Corporation,US-NW-AVA,117.89,164.58,75.27,72.06,eia.gov
2021-01-23 00:00:00,USA,Avista Corporation,US-NW-AVA,123.68,170.94,74.40,71.45,eia.gov
2021-01-24 00:00:00,USA,Avista Corporation,US-NW-AVA,122.61,169.67,74.59,71.34,eia.gov
2021-01-25 00:00:00,USA,Avista Corporation,US-NW-AVA,116.94,164.07,75.15,71.86,eia.gov
2021-01-26 00:00:00,USA,Avista Corporation,US-NW-AVA,113.17,159.98,75.71,72.59,eia.gov
2021-01-27 00:00:00,USA,Avista Corporation,US-NW-AVA,124.36,169.58,74.07,71.76,eia.gov
2021-01-28 00:00:00,USA,Avista Corporation,US-NW-AVA,123.49,169.56,74.43,71.97,eia.gov
2021-01-29 00:00:00,USA,Avista Corporation,US-NW-AVA,120.87,167.53,74.98,72.10,eia.gov
2021-01-30 00:00:00,USA,Avista Corporation,US-NW-AVA,147.64,193.48,72.05,68.79,eia.gov
2021-01-31 00:00:00,USA,Avista Corporation,US-NW-AVA,166.12,207.32,70.29,67.91,eia.gov
2021-02-01 00:00:00,USA,Avista Corporation,US-NW-AVA,164.70,208.32,68.88,67.14,eia.gov
2021-02-02 00:00:00,USA,Avista Corporation,US-NW-AVA,148.75,192.08,72.11,69.84,eia.gov
2021-02-03 00:00:00,USA,Avista Corporation,US-NW-AVA,142.13,188.98,72.24,69.89,eia.gov
2021-02-04 00:00:00,USA,Avista Corporation,US-NW-AVA,143.61,184.84,73.03,70.85,eia.gov
2021-02-05 00:00:00,USA,Avista Corporation,US-NW-AVA,126.27,165.30,75.15,72.89,eia.gov
2021-02-06 00:00:00,USA,Avista Corporation,US-NW-AVA,155.12,193.23,71.02,68.71,eia.gov
2021-02-07 00:00:00,USA,Avista Corporation,US-NW-AVA,161.60,202.39,69.84,66.71,eia.gov
2021-02-08 00:00:00,USA,Avista Corporation,US-NW-AVA,146.46,189.19,71.27,68.01,eia.gov
2021-02-09 00:00:00,USA,Avista Corporation,US-NW-AVA,122.03,169.38,73.91,70.20,eia.gov
2021-02-10 00:00:00,USA,Avista Corporation,US-NW-AVA,129.52,177.42,72.68,69.03,eia.gov
2021-02-11 00:00:00,USA,Avista Corporation,US-NW-AVA,132.78,179.12,72.46,68.96,eia.gov
2021-02-12 00:00:00,USA,Avista Corporation,US-NW-AVA,111.89,156.39,75.88,72.67,eia.gov
2021-02-13 00:00:00,USA,Avista Corporation,US-NW-AVA,117.81,162.55,74.98,71.67,eia.gov
2021-02-14 00:00:00,USA,Avista Corporation,US-NW-AVA,112.84,160.90,75.19,71.63,eia.gov
2021-02-15 00:00:00,USA,Avista Corporation,US-NW-AVA,125.35,175.75,72.16,69.60,eia.gov
2021-02-16 00:00:00,USA,Avista Corporation,US-NW-AVA,127.92,175.21,72.22,69.10,eia.gov
2021-02-17 00:00:00,USA,Avista Corporation,US-NW-AVA,131.41,176.06,72.45,69.13,eia.gov
2021-02-18 00:00:00,USA,Avista Corporation,US-NW-AVA,119.09,168.29,73.47,71.09,eia.gov
2021-02-19 00:00:00,USA,Avista Corporation,US-NW-AVA,127.49,175.21,73.33,71.20,eia.gov
2021-02-20 00:00:00,USA,Avista Corporation,US-NW-AVA,135.89,181.51,73.17,70.82,eia.gov
2021-02-21 00:00:00,USA,Avista Corporation,US-NW-AVA,169.35,209.75,70.52,68.02,eia.gov
2021-02-22 00:00:00,USA,Avista Corporation,US-NW-AVA,172.24,215.26,70.16,67.91,eia.gov
2021-02-23 00:00:00,USA,Avista Corporation,US-NW-AVA,165.20,206.24,71.09,68.73,eia.gov
2021-02-24 00:00:00,USA,Avista Corporation,US-NW-AVA,153.39,197.59,71.16,68.35,eia.gov
2021-02-25 00:00:00,USA,Avista Corporation,US-NW-AVA,155.49,197.36,72.16,69.48,eia.gov
2021-02-26 00:00:00,USA,Avista Corporation,US-NW-AVA,159.93,200.01,72.13,69.02,eia.gov
2021-02-27 00:00:00,USA,Avista Corporation,US-NW-AVA,145.08,187.60,72.04,68.61,eia.gov
2021-02-28 00:00:00,USA,Avista Corporation,US-NW-AVA,173.12,213.81,69.17,65.63,eia.gov
2021-03-01 00:00:00,USA,Avista Corporation,US-NW-AVA,180.82,227.35,68.02,66.00,eia.gov
