Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,49.32,78.91,91.27,84.56,eia.gov
2022-01-02 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,46.98,76.30,92.39,85.84,eia.gov
2022-01-03 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,49.47,79.42,91.38,84.96,eia.gov
2022-01-04 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,54.22,83.56,90.74,84.24,eia.gov
2022-01-05 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,45.40,75.81,91.03,84.19,eia.gov
2022-01-06 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,39.47,70.54,91.42,84.49,eia.gov
2022-01-07 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,42.80,70.47,92.38,85.84,eia.gov
2022-01-08 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,51.68,78.89,91.73,84.90,eia.gov
2022-01-09 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,54.59,84.89,90.67,83.68,eia.gov
2022-01-10 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,55.88,86.52,90.31,83.51,eia.gov
2022-01-11 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,63.37,93.68,89.27,82.23,eia.gov
2022-01-12 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,62.07,91.62,89.65,82.67,eia.gov
2022-01-13 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,56.95,86.46,90.71,84.06,eia.gov
2022-01-14 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,51.47,80.42,91.44,84.78,eia.gov
2022-01-15 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,48.54,76.83,92.53,85.87,eia.gov
2022-01-16 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,48.13,76.15,92.88,86.05,eia.gov
2022-01-17 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,44.50,72.59,93.38,87.00,eia.gov
2022-01-18 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,41.87,68.27,93.63,87.16,eia.gov
2022-01-19 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,36.54,65.37,93.37,86.33,eia.gov
2022-01-20 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,37.38,64.49,93.76,87.12,eia.gov
2022-01-21 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,41.66,67.54,93.56,86.91,eia.gov
2022-01-22 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,46.67,74.34,92.96,85.97,eia.gov
2022-01-23 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,52.83,81.43,91.83,85.14,eia.gov
2022-01-24 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,47.41,76.80,91.98,85.31,eia.gov
2022-01-25 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,46.36,76.25,91.53,84.78,eia.gov
2022-01-26 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,60.78,91.00,89.62,82.85,eia.gov
2022-01-27 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,62.12,92.58,89.48,82.86,eia.gov
2022-01-28 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,58.21,88.06,90.25,83.67,eia.gov
2022-01-29 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,55.14,84.87,91.09,84.50,eia.gov
2022-01-30 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,52.42,80.78,92.11,85.12,eia.gov
2022-01-31 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,42.55,67.42,93.65,87.51,eia.gov
2022-02-01 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,41.88,68.44,92.88,86.55,eia.gov
2022-02-02 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,42.90,72.62,91.76,84.87,eia.gov
2022-02-03 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,46.34,75.28,91.04,83.78,eia.gov
2022-02-04 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,44.01,71.51,92.58,85.45,eia.gov
2022-02-05 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,45.94,71.28,93.05,88.63,eia.gov
2022-02-06 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,57.11,84.64,91.54,84.55,eia.gov
2022-02-07 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,52.85,78.85,91.79,84.68,eia.gov
2022-02-08 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,41.16,69.56,91.77,83.83,eia.gov
2022-02-09 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,39.68,68.04,91.98,84.15,eia.gov
