Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,24.00,100.00,100.00,eia.gov
2022-01-02 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,24.00,100.00,100.00,eia.gov
2022-01-03 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.97,100.00,100.00,eia.gov
2022-01-04 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.95,100.00,100.00,eia.gov
2022-01-05 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.99,100.00,100.00,eia.gov
2022-01-06 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.99,100.00,100.00,eia.gov
2022-01-07 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.95,100.00,100.00,eia.gov
2022-01-08 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.94,100.00,100.00,eia.gov
2022-01-09 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,24.00,100.00,100.00,eia.gov
2022-01-10 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,24.00,100.00,100.00,eia.gov
2022-01-11 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.05,24.04,99.99,99.99,eia.gov
2022-01-12 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.95,100.00,100.00,eia.gov
2022-01-13 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.99,100.00,100.00,eia.gov
2022-01-14 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,23.99,100.00,100.00,eia.gov
2022-01-15 00:00:00,USA,PUD No. 1 of Chelan County,US-NW-CHPD,0.00,24.00,100.00,100.00,eia.gov
