Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.76,27.99,99.35,99.27,eia.gov
2021-01-02 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,17.05,42.58,97.04,96.24,eia.gov
2021-01-03 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,22.99,49.04,95.88,94.40,eia.gov
2021-01-04 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,4.96,29.59,99.05,98.80,eia.gov
2021-01-05 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,14.05,39.70,97.30,96.59,eia.gov
2021-01-06 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,5.30,29.88,99.07,98.81,eia.gov
2021-01-07 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.07,24.07,99.99,99.98,eia.gov
2021-01-08 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,2.14,26.42,99.59,99.38,eia.gov
2021-01-09 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.17,24.20,99.96,99.94,eia.gov
2021-01-10 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.00,24.00,100.00,100.00,eia.gov
2021-01-11 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.00,24.00,100.00,100.00,eia.gov
2021-01-12 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,4.00,28.42,99.28,99.09,eia.gov
2021-01-13 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,9.00,33.79,98.27,97.38,eia.gov
2021-01-14 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,1.74,25.97,99.65,99.41,eia.gov
2021-01-15 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,1.57,25.68,99.75,99.57,eia.gov
2021-01-16 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,2.30,26.47,99.63,99.40,eia.gov
2021-01-17 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,7.04,31.42,98.86,98.14,eia.gov
2021-01-18 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,2.03,26.20,99.66,99.47,eia.gov
2021-01-19 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.45,27.89,99.36,99.09,eia.gov
2021-01-20 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.25,27.74,99.36,99.16,eia.gov
2021-01-21 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,1.26,25.51,99.72,99.63,eia.gov
2021-01-22 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.40,28.07,99.24,99.04,eia.gov
2021-01-23 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.07,24.09,99.98,99.98,eia.gov
2021-01-24 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.08,24.10,99.98,99.98,eia.gov
2021-01-25 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.01,24.01,100.00,100.00,eia.gov
2021-01-26 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.36,24.43,99.92,99.90,eia.gov
2021-01-27 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,1.95,26.31,99.56,99.41,eia.gov
2021-01-28 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.00,24.00,100.00,100.00,eia.gov
2021-01-29 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.00,24.00,100.00,100.00,eia.gov
2021-01-30 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.99,25.11,99.82,99.79,eia.gov
2021-01-31 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,4.87,29.37,99.13,99.05,eia.gov
2021-02-01 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.96,28.42,99.26,99.20,eia.gov
2021-02-02 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,16.34,42.10,97.04,96.26,eia.gov
2021-02-03 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,2.96,27.30,99.46,99.27,eia.gov
2021-02-04 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,14.97,40.38,97.24,96.26,eia.gov
2021-02-05 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,12.14,37.41,97.55,96.61,eia.gov
2021-02-06 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,17.27,42.79,96.65,95.56,eia.gov
2021-02-07 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,20.12,45.87,96.21,94.80,eia.gov
2021-02-08 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,6.96,31.89,98.52,97.90,eia.gov
2021-02-09 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.86,25.03,99.80,99.75,eia.gov
2021-02-10 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.26,24.31,99.94,99.93,eia.gov
2021-02-11 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,7.76,33.09,98.28,97.90,eia.gov
2021-02-12 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,10.92,37.13,97.42,96.83,eia.gov
2021-02-13 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,7.91,33.47,98.14,97.58,eia.gov
2021-02-14 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.22,24.27,99.95,99.93,eia.gov
2021-02-15 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.02,24.03,100.00,99.99,eia.gov
2021-02-16 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.33,27.82,99.25,98.76,eia.gov
2021-02-17 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,2.48,26.82,99.43,99.04,eia.gov
2021-02-18 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,0.17,24.21,99.96,99.95,eia.gov
2021-02-19 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.42,28.14,99.18,98.93,eia.gov
2021-02-20 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,6.93,31.97,98.51,98.07,eia.gov
2021-02-21 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,22.79,48.95,95.94,94.83,eia.gov
2021-02-22 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,23.05,49.03,96.03,94.75,eia.gov
2021-02-23 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,29.53,56.05,94.83,93.22,eia.gov
2021-02-24 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,8.03,32.94,98.48,98.02,eia.gov
2021-02-25 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,16.27,42.04,96.97,96.16,eia.gov
2021-02-26 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,20.64,46.25,96.42,95.06,eia.gov
2021-02-27 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,22.95,49.85,95.50,94.26,eia.gov
2021-02-28 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,43.92,72.86,91.59,89.26,eia.gov
2021-03-01 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,6.79,31.60,98.80,98.69,eia.gov
2021-03-02 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,22.99,50.12,95.60,94.59,eia.gov
2021-03-03 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,1.66,25.93,99.66,99.58,eia.gov
2021-03-04 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,1.80,26.06,99.67,99.62,eia.gov
2021-03-05 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,20.94,46.78,96.32,95.78,eia.gov
2021-03-06 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,31.59,58.69,94.28,92.53,eia.gov
2021-03-07 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,30.03,57.52,94.37,93.28,eia.gov
2021-03-08 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,13.12,39.14,97.33,96.80,eia.gov
2021-03-09 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,4.13,28.69,99.24,99.05,eia.gov
2021-03-10 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,1.49,25.70,99.73,99.70,eia.gov
2021-03-11 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.92,28.57,99.19,99.05,eia.gov
2021-03-12 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,15.13,41.69,96.78,96.20,eia.gov
2021-03-13 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,3.12,27.60,99.40,99.32,eia.gov
2021-03-14 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,6.89,31.59,98.84,98.53,eia.gov
2021-03-15 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,28.07,55.68,94.52,93.50,eia.gov
2021-03-16 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,13.57,39.30,97.45,97.12,eia.gov
2021-03-17 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,1.70,25.98,99.67,99.64,eia.gov
2021-03-18 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,5.20,30.05,98.95,98.85,eia.gov
2021-03-19 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,30.41,58.54,94.12,93.30,eia.gov
2021-03-20 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,37.97,65.68,93.20,91.89,eia.gov
2021-03-21 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,51.15,79.22,90.53,87.65,eia.gov
2021-03-22 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,43.87,71.24,92.35,90.58,eia.gov
2021-03-23 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,19.21,45.18,96.58,95.67,eia.gov
2021-03-24 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,46.85,74.54,91.65,89.71,eia.gov
2021-03-25 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,29.97,56.77,94.56,93.42,eia.gov
2021-03-26 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,28.69,56.52,94.14,93.11,eia.gov
2021-03-27 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,40.32,69.26,92.19,91.02,eia.gov
2021-03-28 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,46.91,75.96,91.46,89.74,eia.gov
2021-03-29 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,48.74,77.01,91.56,89.66,eia.gov
2021-03-30 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,18.39,45.10,96.37,95.74,eia.gov
2021-03-31 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,15.21,41.61,96.98,96.71,eia.gov
2021-04-01 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,18.75,45.11,96.57,96.29,eia.gov
2021-04-02 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,29.04,57.23,94.20,93.23,eia.gov
2021-04-03 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,13.62,39.47,97.48,97.09,eia.gov
2021-04-04 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,45.98,76.17,90.89,89.18,eia.gov
2021-04-05 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,24.62,51.95,95.18,94.59,eia.gov
2021-04-06 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,29.57,57.05,94.51,94.10,eia.gov
2021-04-07 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,35.95,64.47,92.85,91.68,eia.gov
2021-04-08 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,47.05,78.63,90.00,88.31,eia.gov
2021-04-09 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,34.89,65.24,92.37,91.28,eia.gov
2021-04-10 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,51.05,82.80,89.44,87.78,eia.gov
2021-04-11 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,26.06,54.12,94.69,94.16,eia.gov
2021-04-12 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,18.33,45.15,96.15,95.59,eia.gov
2021-04-13 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,39.18,70.37,90.89,88.93,eia.gov
2021-04-14 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,33.02,62.63,92.36,90.85,eia.gov
2021-04-15 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,27.69,57.45,93.38,92.08,eia.gov
2021-04-16 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,15.53,41.94,96.70,96.27,eia.gov
2021-04-17 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,6.57,31.57,98.63,98.53,eia.gov
2021-04-18 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,22.78,50.71,95.12,93.94,eia.gov
2021-04-19 00:00:00,USA,"PUD No. 2 of Grant County, Washington",US-NW-GCPD,26.97,55.95,94.01,92.97,eia.gov
