Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,469.23,500.71,17.48,17.45,eia.gov
2021-01-02 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,468.73,508.12,14.94,14.91,eia.gov
2021-01-03 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,444.82,487.25,17.79,17.76,eia.gov
2021-01-04 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,469.38,492.00,20.39,20.36,eia.gov
2021-01-05 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,410.04,447.75,24.96,24.95,eia.gov
2021-01-06 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,425.12,451.85,26.14,26.13,eia.gov
2021-01-07 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,580.10,596.20,4.65,4.63,eia.gov
2021-01-08 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,523.56,550.98,10.03,10.00,eia.gov
2021-01-09 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,557.26,583.81,4.90,4.87,eia.gov
2021-01-10 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,549.74,586.18,2.84,2.81,eia.gov
2021-01-11 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,559.68,584.14,5.20,5.17,eia.gov
2021-01-12 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,542.72,562.17,9.58,9.57,eia.gov
2021-01-13 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,476.02,507.26,16.49,16.46,eia.gov
2021-01-14 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,495.21,508.50,19.31,19.29,eia.gov; Electricity Maps Estimation
2021-01-15 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,523.81,550.67,10.21,10.18,eia.gov
2021-01-16 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,485.32,515.32,15.40,15.38,eia.gov
2021-01-17 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,594.93,588.93,9.71,9.66,eia.gov; Electricity Maps Estimation
2021-01-18 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,431.17,453.91,26.52,26.50,eia.gov
2021-01-19 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,509.72,518.83,18.29,18.26,eia.gov
2021-01-20 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,511.57,526.04,16.25,16.23,eia.gov
2021-01-21 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,472.17,496.63,19.31,19.29,eia.gov
2021-01-22 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,551.50,576.83,6.18,6.17,eia.gov
2021-01-23 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,499.73,517.32,17.11,17.09,eia.gov
2021-01-24 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,511.48,530.62,14.70,14.67,eia.gov
2021-01-25 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,491.33,506.23,19.33,19.31,eia.gov
2021-01-26 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,525.76,540.45,13.88,13.86,eia.gov
2021-01-27 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,512.74,526.57,16.30,16.28,eia.gov
2021-01-28 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,452.75,474.63,23.29,23.27,eia.gov
2021-01-29 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,470.12,489.18,21.39,21.38,eia.gov
2021-01-30 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,439.25,467.65,23.35,23.32,eia.gov
2021-01-31 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,486.37,517.00,14.99,14.97,eia.gov
2021-02-01 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,522.13,539.09,13.68,13.65,eia.gov
2021-02-02 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,461.27,487.21,20.59,20.57,eia.gov
2021-02-03 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,474.13,493.04,20.84,20.82,eia.gov
2021-02-04 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,424.18,456.96,24.35,24.32,eia.gov
2021-02-05 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,460.29,498.77,16.63,16.61,eia.gov
2021-02-06 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,438.60,471.89,21.86,21.82,eia.gov
2021-02-07 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,449.74,471.79,23.76,23.75,eia.gov
2021-02-08 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,496.53,510.08,19.02,19.00,eia.gov
2021-02-09 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,519.75,540.19,12.93,12.92,eia.gov
2021-02-10 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,540.51,566.74,7.66,7.66,eia.gov
2021-02-11 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,555.23,584.66,4.25,4.25,eia.gov
2021-02-12 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,551.98,571.02,8.23,8.22,eia.gov; Electricity Maps Estimation
2021-02-13 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,603.97,612.13,3.41,3.41,eia.gov
2021-02-14 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,414.07,467.51,19.27,19.27,eia.gov
2021-02-15 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,361.88,473.57,8.34,8.34,eia.gov
2021-02-16 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,305.43,401.45,22.64,22.64,eia.gov
2021-02-17 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,363.32,475.61,7.97,7.97,eia.gov
2021-02-18 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,352.92,462.22,10.61,10.61,eia.gov
2021-02-19 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,263.35,347.77,33.29,33.29,eia.gov
2021-02-20 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,264.50,349.34,33.00,33.00,eia.gov
2021-02-21 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,132.96,178.96,67.41,67.33,eia.gov; Electricity Maps Estimation
2021-02-22 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,610.88,531.72,31.84,31.73,eia.gov; Electricity Maps Estimation
2021-02-23 00:00:00,USA,"Gridforce Energy Management, LLC",US-NW-GRID,546.37,544.04,16.36,16.32,eia.gov
