Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Idaho Power Company,US-NW-IPCO,391.48,438.61,48.70,48.08,eia.gov
2022-01-02 00:00:00,USA,Idaho Power Company,US-NW-IPCO,325.87,373.56,56.16,55.97,eia.gov
2022-01-03 00:00:00,USA,Idaho Power Company,US-NW-IPCO,312.50,358.64,57.90,57.72,eia.gov
2022-01-04 00:00:00,USA,Idaho Power Company,US-NW-IPCO,333.27,381.32,55.28,55.05,eia.gov
2022-01-05 00:00:00,USA,Idaho Power Company,US-NW-IPCO,364.09,411.61,50.96,50.56,eia.gov
2022-01-06 00:00:00,USA,Idaho Power Company,US-NW-IPCO,378.13,427.10,49.06,48.63,eia.gov
2022-01-07 00:00:00,USA,Idaho Power Company,US-NW-IPCO,272.88,318.26,60.95,60.46,eia.gov
2022-01-08 00:00:00,USA,Idaho Power Company,US-NW-IPCO,278.27,320.47,61.46,61.06,eia.gov
2022-01-09 00:00:00,USA,Idaho Power Company,US-NW-IPCO,292.69,340.13,58.41,58.08,eia.gov
2022-01-10 00:00:00,USA,Idaho Power Company,US-NW-IPCO,255.49,299.61,63.49,63.21,eia.gov
2022-01-11 00:00:00,USA,Idaho Power Company,US-NW-IPCO,285.38,332.74,59.66,59.20,eia.gov
2022-01-12 00:00:00,USA,Idaho Power Company,US-NW-IPCO,242.75,286.80,65.28,65.04,eia.gov
2022-01-13 00:00:00,USA,Idaho Power Company,US-NW-IPCO,248.40,291.81,64.46,64.07,eia.gov
2022-01-14 00:00:00,USA,Idaho Power Company,US-NW-IPCO,269.27,313.70,61.61,60.91,eia.gov
2022-01-15 00:00:00,USA,Idaho Power Company,US-NW-IPCO,324.21,371.12,55.86,55.45,eia.gov
2022-01-16 00:00:00,USA,Idaho Power Company,US-NW-IPCO,359.87,408.14,52.76,52.32,eia.gov
2022-01-17 00:00:00,USA,Idaho Power Company,US-NW-IPCO,352.42,402.72,53.03,52.64,eia.gov
2022-01-18 00:00:00,USA,Idaho Power Company,US-NW-IPCO,343.79,394.16,53.65,52.98,eia.gov
2022-01-19 00:00:00,USA,Idaho Power Company,US-NW-IPCO,388.33,438.37,48.02,47.35,eia.gov
2022-01-20 00:00:00,USA,Idaho Power Company,US-NW-IPCO,280.93,322.12,60.31,59.46,eia.gov
2022-01-21 00:00:00,USA,Idaho Power Company,US-NW-IPCO,316.15,361.85,56.59,55.94,eia.gov
2022-01-22 00:00:00,USA,Idaho Power Company,US-NW-IPCO,355.23,404.39,51.27,50.69,eia.gov
2022-01-23 00:00:00,USA,Idaho Power Company,US-NW-IPCO,346.44,398.20,52.15,51.38,eia.gov
2022-01-24 00:00:00,USA,Idaho Power Company,US-NW-IPCO,370.52,421.52,50.21,49.69,eia.gov
2022-01-25 00:00:00,USA,Idaho Power Company,US-NW-IPCO,372.24,421.40,48.98,48.42,eia.gov
2022-01-26 00:00:00,USA,Idaho Power Company,US-NW-IPCO,355.03,407.30,51.22,50.85,eia.gov
2022-01-27 00:00:00,USA,Idaho Power Company,US-NW-IPCO,374.52,424.71,49.61,49.15,eia.gov
2022-01-28 00:00:00,USA,Idaho Power Company,US-NW-IPCO,319.94,370.20,55.65,55.40,eia.gov
2022-01-29 00:00:00,USA,Idaho Power Company,US-NW-IPCO,305.46,354.24,57.53,57.23,eia.gov
2022-01-30 00:00:00,USA,Idaho Power Company,US-NW-IPCO,334.42,384.40,53.96,53.56,eia.gov
2022-01-31 00:00:00,USA,Idaho Power Company,US-NW-IPCO,284.81,331.09,60.63,60.42,eia.gov
2022-02-01 00:00:00,USA,Idaho Power Company,US-NW-IPCO,332.53,378.21,55.22,54.76,eia.gov
2022-02-02 00:00:00,USA,Idaho Power Company,US-NW-IPCO,358.85,407.45,50.35,49.80,eia.gov
2022-02-03 00:00:00,USA,Idaho Power Company,US-NW-IPCO,343.39,391.13,52.40,51.81,eia.gov
2022-02-04 00:00:00,USA,Idaho Power Company,US-NW-IPCO,270.67,316.65,60.56,59.97,eia.gov
2022-02-05 00:00:00,USA,Idaho Power Company,US-NW-IPCO,252.12,296.86,62.99,62.38,eia.gov
2022-02-06 00:00:00,USA,Idaho Power Company,US-NW-IPCO,321.83,370.40,54.70,54.21,eia.gov
2022-02-07 00:00:00,USA,Idaho Power Company,US-NW-IPCO,285.97,333.89,59.16,58.75,eia.gov
2022-02-08 00:00:00,USA,Idaho Power Company,US-NW-IPCO,305.68,355.04,56.67,56.15,eia.gov
2022-02-09 00:00:00,USA,Idaho Power Company,US-NW-IPCO,338.34,389.11,53.17,52.77,eia.gov
2022-02-10 00:00:00,USA,Idaho Power Company,US-NW-IPCO,324.67,375.29,54.42,53.99,eia.gov
2022-02-11 00:00:00,USA,Idaho Power Company,US-NW-IPCO,352.18,401.79,51.79,51.56,eia.gov
2022-02-12 00:00:00,USA,Idaho Power Company,US-NW-IPCO,332.61,383.36,52.91,52.53,eia.gov
2022-02-13 00:00:00,USA,Idaho Power Company,US-NW-IPCO,305.59,354.77,56.26,55.76,eia.gov
2022-02-14 00:00:00,USA,Idaho Power Company,US-NW-IPCO,320.29,365.32,55.83,55.41,eia.gov
2022-02-15 00:00:00,USA,Idaho Power Company,US-NW-IPCO,255.22,299.86,63.05,62.71,eia.gov
2022-02-16 00:00:00,USA,Idaho Power Company,US-NW-IPCO,271.12,314.30,61.47,60.92,eia.gov
2022-02-17 00:00:00,USA,Idaho Power Company,US-NW-IPCO,261.71,305.98,61.07,60.55,eia.gov
2022-02-18 00:00:00,USA,Idaho Power Company,US-NW-IPCO,298.06,347.44,57.75,57.45,eia.gov
2022-02-19 00:00:00,USA,Idaho Power Company,US-NW-IPCO,303.38,352.26,57.51,57.13,eia.gov
2022-02-20 00:00:00,USA,Idaho Power Company,US-NW-IPCO,298.59,344.96,59.28,58.89,eia.gov
2022-02-21 00:00:00,USA,Idaho Power Company,US-NW-IPCO,334.67,381.17,55.26,54.63,eia.gov
2022-02-22 00:00:00,USA,Idaho Power Company,US-NW-IPCO,365.33,413.16,51.34,50.77,eia.gov
2022-02-23 00:00:00,USA,Idaho Power Company,US-NW-IPCO,370.21,423.54,47.85,47.51,eia.gov
