Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Nevada Power Company,US-NW-NEVP,411.35,500.51,23.44,21.04,eia.gov
2022-01-02 00:00:00,USA,Nevada Power Company,US-NW-NEVP,411.95,502.70,22.92,21.01,eia.gov
2022-01-03 00:00:00,USA,Nevada Power Company,US-NW-NEVP,407.38,496.74,23.73,21.78,eia.gov
2022-01-04 00:00:00,USA,Nevada Power Company,US-NW-NEVP,406.31,495.44,24.06,22.45,eia.gov
2022-01-05 00:00:00,USA,Nevada Power Company,US-NW-NEVP,416.85,504.97,23.26,20.07,eia.gov
2022-01-06 00:00:00,USA,Nevada Power Company,US-NW-NEVP,408.85,499.94,21.92,19.41,eia.gov
2022-01-07 00:00:00,USA,Nevada Power Company,US-NW-NEVP,391.35,479.26,25.65,23.35,eia.gov
2022-01-08 00:00:00,USA,Nevada Power Company,US-NW-NEVP,404.13,491.28,24.76,22.04,eia.gov; Electricity Maps Estimation
2022-01-09 00:00:00,USA,Nevada Power Company,US-NW-NEVP,397.81,486.40,25.27,22.79,eia.gov
2022-01-10 00:00:00,USA,Nevada Power Company,US-NW-NEVP,376.72,450.84,36.52,31.55,eia.gov
2022-01-11 00:00:00,USA,Nevada Power Company,US-NW-NEVP,402.05,491.98,24.05,21.66,eia.gov
2022-01-12 00:00:00,USA,Nevada Power Company,US-NW-NEVP,387.33,472.86,28.11,25.76,eia.gov
2022-01-13 00:00:00,USA,Nevada Power Company,US-NW-NEVP,390.16,477.93,24.95,22.37,eia.gov
2022-01-14 00:00:00,USA,Nevada Power Company,US-NW-NEVP,393.07,480.63,25.88,23.49,eia.gov
2022-01-15 00:00:00,USA,Nevada Power Company,US-NW-NEVP,412.16,502.98,22.20,20.03,eia.gov
2022-01-16 00:00:00,USA,Nevada Power Company,US-NW-NEVP,409.92,498.22,24.40,21.83,eia.gov
2022-01-17 00:00:00,USA,Nevada Power Company,US-NW-NEVP,397.13,484.12,26.41,23.37,eia.gov
2022-01-18 00:00:00,USA,Nevada Power Company,US-NW-NEVP,403.17,491.46,24.96,22.21,eia.gov
2022-01-19 00:00:00,USA,Nevada Power Company,US-NW-NEVP,409.09,497.99,24.02,21.62,eia.gov
2022-01-20 00:00:00,USA,Nevada Power Company,US-NW-NEVP,373.66,457.22,30.46,27.94,eia.gov
2022-01-21 00:00:00,USA,Nevada Power Company,US-NW-NEVP,346.55,433.90,26.79,24.36,eia.gov
2022-01-22 00:00:00,USA,Nevada Power Company,US-NW-NEVP,383.46,468.99,27.85,25.72,eia.gov
2022-01-23 00:00:00,USA,Nevada Power Company,US-NW-NEVP,421.81,480.30,44.99,38.16,eia.gov
2022-01-24 00:00:00,USA,Nevada Power Company,US-NW-NEVP,438.25,498.85,42.34,36.07,eia.gov
2022-01-25 00:00:00,USA,Nevada Power Company,US-NW-NEVP,385.65,474.71,25.55,24.24,eia.gov
2022-01-26 00:00:00,USA,Nevada Power Company,US-NW-NEVP,388.75,477.37,25.95,24.63,eia.gov
2022-01-27 00:00:00,USA,Nevada Power Company,US-NW-NEVP,387.51,465.57,33.17,31.39,eia.gov; Electricity Maps Estimation
2022-01-28 00:00:00,USA,Nevada Power Company,US-NW-NEVP,384.53,472.56,26.77,25.57,eia.gov
2022-01-29 00:00:00,USA,Nevada Power Company,US-NW-NEVP,401.79,491.83,24.26,23.17,eia.gov
2022-01-30 00:00:00,USA,Nevada Power Company,US-NW-NEVP,388.24,476.94,26.38,25.18,eia.gov
2022-01-31 00:00:00,USA,Nevada Power Company,US-NW-NEVP,391.59,478.39,26.74,25.51,eia.gov
