Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Northwestern Energy,US-NW-NWMT,675.96,696.95,32.14,32.10,eia.gov
2022-01-02 00:00:00,USA,Northwestern Energy,US-NW-NWMT,649.37,670.07,34.76,34.75,eia.gov
2022-01-03 00:00:00,USA,Northwestern Energy,US-NW-NWMT,700.71,722.70,29.32,29.30,eia.gov
2022-01-04 00:00:00,USA,Northwestern Energy,US-NW-NWMT,633.72,652.70,36.91,36.82,eia.gov
2022-01-05 00:00:00,USA,Northwestern Energy,US-NW-NWMT,731.52,752.29,26.95,26.84,eia.gov
2022-01-06 00:00:00,USA,Northwestern Energy,US-NW-NWMT,753.44,774.17,24.87,24.78,eia.gov
2022-01-07 00:00:00,USA,Northwestern Energy,US-NW-NWMT,678.25,697.37,32.56,32.54,eia.gov
2022-01-08 00:00:00,USA,Northwestern Energy,US-NW-NWMT,638.69,655.94,37.09,37.00,eia.gov
2022-01-09 00:00:00,USA,Northwestern Energy,US-NW-NWMT,613.50,630.40,39.62,39.56,eia.gov
2022-01-10 00:00:00,USA,Northwestern Energy,US-NW-NWMT,635.29,652.84,37.28,37.28,eia.gov
2022-01-11 00:00:00,USA,Northwestern Energy,US-NW-NWMT,618.78,636.27,38.89,38.76,eia.gov
2022-01-12 00:00:00,USA,Northwestern Energy,US-NW-NWMT,610.03,626.99,39.95,39.89,eia.gov
2022-01-13 00:00:00,USA,Northwestern Energy,US-NW-NWMT,613.56,630.15,39.73,39.71,eia.gov
2022-01-14 00:00:00,USA,Northwestern Energy,US-NW-NWMT,682.62,700.25,32.79,32.75,eia.gov
2022-01-15 00:00:00,USA,Northwestern Energy,US-NW-NWMT,620.20,637.10,38.97,38.97,eia.gov
2022-01-16 00:00:00,USA,Northwestern Energy,US-NW-NWMT,629.65,646.39,38.12,38.11,eia.gov
2022-01-17 00:00:00,USA,Northwestern Energy,US-NW-NWMT,582.23,598.38,42.82,42.82,eia.gov
2022-01-18 00:00:00,USA,Northwestern Energy,US-NW-NWMT,626.14,643.11,38.42,38.35,eia.gov
2022-01-19 00:00:00,USA,Northwestern Energy,US-NW-NWMT,746.39,764.97,26.35,26.20,eia.gov
2022-01-20 00:00:00,USA,Northwestern Energy,US-NW-NWMT,638.35,655.77,37.02,36.99,eia.gov
2022-01-21 00:00:00,USA,Northwestern Energy,US-NW-NWMT,641.41,658.87,36.72,36.64,eia.gov
2022-01-22 00:00:00,USA,Northwestern Energy,US-NW-NWMT,600.75,617.61,40.81,40.80,eia.gov
2022-01-23 00:00:00,USA,Northwestern Energy,US-NW-NWMT,580.96,597.64,42.75,42.75,eia.gov
2022-01-24 00:00:00,USA,Northwestern Energy,US-NW-NWMT,674.22,692.20,33.42,33.38,eia.gov
2022-01-25 00:00:00,USA,Northwestern Energy,US-NW-NWMT,683.58,701.83,32.41,32.39,eia.gov
2022-01-26 00:00:00,USA,Northwestern Energy,US-NW-NWMT,631.67,650.13,37.21,37.12,eia.gov
2022-01-27 00:00:00,USA,Northwestern Energy,US-NW-NWMT,654.14,672.67,35.00,34.86,eia.gov
2022-01-28 00:00:00,USA,Northwestern Energy,US-NW-NWMT,591.84,608.91,41.52,41.51,eia.gov
2022-01-29 00:00:00,USA,Northwestern Energy,US-NW-NWMT,595.10,611.59,41.43,41.43,eia.gov
2022-01-30 00:00:00,USA,Northwestern Energy,US-NW-NWMT,602.73,619.19,40.71,40.70,eia.gov
2022-01-31 00:00:00,USA,Northwestern Energy,US-NW-NWMT,617.88,634.22,39.33,39.33,eia.gov
2022-02-01 00:00:00,USA,Northwestern Energy,US-NW-NWMT,698.75,716.41,31.14,31.06,eia.gov
