Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Pacificorp East,US-NW-PACE,617.28,667.05,26.59,25.47,eia.gov
2022-01-02 00:00:00,USA,Pacificorp East,US-NW-PACE,524.42,577.66,36.76,36.43,eia.gov
2022-01-03 00:00:00,USA,Pacificorp East,US-NW-PACE,543.75,597.19,34.88,34.62,eia.gov
2022-01-04 00:00:00,USA,Pacificorp East,US-NW-PACE,529.90,581.96,36.67,36.24,eia.gov
2022-01-05 00:00:00,USA,Pacificorp East,US-NW-PACE,592.08,641.51,29.32,28.45,eia.gov
2022-01-06 00:00:00,USA,Pacificorp East,US-NW-PACE,624.89,675.03,25.35,24.52,eia.gov
2022-01-07 00:00:00,USA,Pacificorp East,US-NW-PACE,496.58,545.77,39.43,38.77,eia.gov
2022-01-08 00:00:00,USA,Pacificorp East,US-NW-PACE,508.95,554.86,38.12,37.39,eia.gov
2022-01-09 00:00:00,USA,Pacificorp East,US-NW-PACE,497.06,547.36,38.59,37.98,eia.gov
2022-01-10 00:00:00,USA,Pacificorp East,US-NW-PACE,538.03,590.83,34.80,34.46,eia.gov
2022-01-11 00:00:00,USA,Pacificorp East,US-NW-PACE,515.03,567.69,37.39,36.85,eia.gov
2022-01-12 00:00:00,USA,Pacificorp East,US-NW-PACE,504.36,555.97,39.26,39.12,eia.gov
2022-01-13 00:00:00,USA,Pacificorp East,US-NW-PACE,514.42,565.88,37.77,37.52,eia.gov
2022-01-14 00:00:00,USA,Pacificorp East,US-NW-PACE,512.22,560.48,37.68,36.65,eia.gov
2022-01-15 00:00:00,USA,Pacificorp East,US-NW-PACE,569.05,617.88,33.05,32.49,eia.gov
2022-01-16 00:00:00,USA,Pacificorp East,US-NW-PACE,554.36,602.39,35.53,34.90,eia.gov
2022-01-17 00:00:00,USA,Pacificorp East,US-NW-PACE,559.60,609.71,35.33,34.85,eia.gov
2022-01-18 00:00:00,USA,Pacificorp East,US-NW-PACE,555.90,607.89,34.45,33.61,eia.gov
2022-01-19 00:00:00,USA,Pacificorp East,US-NW-PACE,662.64,712.85,22.15,21.24,eia.gov
2022-01-20 00:00:00,USA,Pacificorp East,US-NW-PACE,571.29,621.65,31.54,31.03,eia.gov
2022-01-21 00:00:00,USA,Pacificorp East,US-NW-PACE,566.40,617.46,32.19,31.60,eia.gov
2022-01-22 00:00:00,USA,Pacificorp East,US-NW-PACE,609.88,659.25,27.38,26.52,eia.gov
2022-01-23 00:00:00,USA,Pacificorp East,US-NW-PACE,521.34,572.28,37.10,36.30,eia.gov
2022-01-24 00:00:00,USA,Pacificorp East,US-NW-PACE,569.43,620.23,32.51,31.96,eia.gov
2022-01-25 00:00:00,USA,Pacificorp East,US-NW-PACE,655.43,706.89,21.43,20.66,eia.gov
2022-01-26 00:00:00,USA,Pacificorp East,US-NW-PACE,552.51,605.33,33.57,33.16,eia.gov
2022-01-27 00:00:00,USA,Pacificorp East,US-NW-PACE,607.17,659.24,27.59,27.08,eia.gov
2022-01-28 00:00:00,USA,Pacificorp East,US-NW-PACE,516.40,570.08,37.46,37.31,eia.gov
2022-01-29 00:00:00,USA,Pacificorp East,US-NW-PACE,526.85,580.03,37.00,36.86,eia.gov
2022-01-30 00:00:00,USA,Pacificorp East,US-NW-PACE,539.09,591.36,34.95,34.56,eia.gov
2022-01-31 00:00:00,USA,Pacificorp East,US-NW-PACE,521.88,574.29,37.87,37.76,eia.gov
2022-02-01 00:00:00,USA,Pacificorp East,US-NW-PACE,616.63,667.41,27.20,26.83,eia.gov
2022-02-02 00:00:00,USA,Pacificorp East,US-NW-PACE,661.15,712.64,22.22,21.57,eia.gov
2022-02-03 00:00:00,USA,Pacificorp East,US-NW-PACE,606.64,656.46,28.73,28.29,eia.gov
2022-02-04 00:00:00,USA,Pacificorp East,US-NW-PACE,502.16,553.98,38.77,38.54,eia.gov
2022-02-05 00:00:00,USA,Pacificorp East,US-NW-PACE,452.60,501.77,44.43,44.19,eia.gov
2022-02-06 00:00:00,USA,Pacificorp East,US-NW-PACE,534.62,582.89,35.51,34.92,eia.gov
2022-02-07 00:00:00,USA,Pacificorp East,US-NW-PACE,479.80,530.40,41.42,41.06,eia.gov
2022-02-08 00:00:00,USA,Pacificorp East,US-NW-PACE,480.47,529.45,41.33,40.87,eia.gov
2022-02-09 00:00:00,USA,Pacificorp East,US-NW-PACE,525.95,576.02,36.87,36.57,eia.gov
2022-02-10 00:00:00,USA,Pacificorp East,US-NW-PACE,500.89,550.22,39.39,39.04,eia.gov
2022-02-11 00:00:00,USA,Pacificorp East,US-NW-PACE,542.85,593.27,34.58,34.30,eia.gov
2022-02-12 00:00:00,USA,Pacificorp East,US-NW-PACE,517.17,567.08,36.78,36.26,eia.gov
2022-02-13 00:00:00,USA,Pacificorp East,US-NW-PACE,460.60,508.47,43.08,42.25,eia.gov
2022-02-14 00:00:00,USA,Pacificorp East,US-NW-PACE,510.34,554.06,38.88,38.16,eia.gov
2022-02-15 00:00:00,USA,Pacificorp East,US-NW-PACE,504.98,555.18,38.77,38.32,eia.gov
2022-02-16 00:00:00,USA,Pacificorp East,US-NW-PACE,614.81,663.99,26.83,25.92,eia.gov
2022-02-17 00:00:00,USA,Pacificorp East,US-NW-PACE,516.94,562.72,36.72,36.24,eia.gov
2022-02-18 00:00:00,USA,Pacificorp East,US-NW-PACE,481.81,530.89,42.65,42.50,eia.gov
2022-02-19 00:00:00,USA,Pacificorp East,US-NW-PACE,482.67,530.52,42.87,42.49,eia.gov
2022-02-20 00:00:00,USA,Pacificorp East,US-NW-PACE,453.92,499.53,46.63,46.08,eia.gov
2022-02-21 00:00:00,USA,Pacificorp East,US-NW-PACE,545.33,593.38,36.13,35.08,eia.gov
2022-02-22 00:00:00,USA,Pacificorp East,US-NW-PACE,645.17,697.36,24.46,23.39,eia.gov
2022-02-23 00:00:00,USA,Pacificorp East,US-NW-PACE,619.83,673.22,26.31,25.63,eia.gov
2022-02-24 00:00:00,USA,Pacificorp East,US-NW-PACE,575.31,626.79,30.76,29.72,eia.gov
2022-02-25 00:00:00,USA,Pacificorp East,US-NW-PACE,598.26,650.50,28.27,27.43,eia.gov
2022-02-26 00:00:00,USA,Pacificorp East,US-NW-PACE,479.60,531.10,41.05,40.70,eia.gov
2022-02-27 00:00:00,USA,Pacificorp East,US-NW-PACE,441.39,491.13,44.94,44.29,eia.gov
2022-02-28 00:00:00,USA,Pacificorp East,US-NW-PACE,427.05,475.71,46.35,45.80,eia.gov
2022-03-01 00:00:00,USA,Pacificorp East,US-NW-PACE,447.97,497.96,44.68,44.46,eia.gov
2022-03-02 00:00:00,USA,Pacificorp East,US-NW-PACE,489.20,537.01,41.13,40.84,eia.gov
2022-03-03 00:00:00,USA,Pacificorp East,US-NW-PACE,562.88,608.75,33.71,33.08,eia.gov
