Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Pacificorp West,US-NW-PACW,310.35,296.70,61.69,58.27,eia.gov
2021-01-02 00:00:00,USA,Pacificorp West,US-NW-PACW,223.91,222.13,71.70,68.69,eia.gov
2021-01-03 00:00:00,USA,Pacificorp West,US-NW-PACW,173.24,178.26,78.06,74.93,eia.gov
2021-01-04 00:00:00,USA,Pacificorp West,US-NW-PACW,244.74,256.33,64.51,62.17,eia.gov
2021-01-05 00:00:00,USA,Pacificorp West,US-NW-PACW,202.20,218.44,70.15,67.41,eia.gov
2021-01-06 00:00:00,USA,Pacificorp West,US-NW-PACW,257.17,258.13,66.52,63.82,eia.gov
2021-01-07 00:00:00,USA,Pacificorp West,US-NW-PACW,321.23,313.02,58.36,55.47,eia.gov
2021-01-08 00:00:00,USA,Pacificorp West,US-NW-PACW,314.26,303.96,59.91,56.73,eia.gov
2021-01-09 00:00:00,USA,Pacificorp West,US-NW-PACW,384.41,359.80,52.84,50.11,eia.gov
2021-01-10 00:00:00,USA,Pacificorp West,US-NW-PACW,355.40,338.58,55.69,52.73,eia.gov
2021-01-11 00:00:00,USA,Pacificorp West,US-NW-PACW,273.65,278.64,61.93,58.68,eia.gov
2021-01-12 00:00:00,USA,Pacificorp West,US-NW-PACW,229.15,232.65,69.80,67.06,eia.gov
2021-01-13 00:00:00,USA,Pacificorp West,US-NW-PACW,135.03,148.93,80.86,77.40,eia.gov
2021-01-14 00:00:00,USA,Pacificorp West,US-NW-PACW,255.26,266.62,63.94,61.45,eia.gov
2021-01-15 00:00:00,USA,Pacificorp West,US-NW-PACW,228.93,236.06,69.59,66.38,eia.gov
2021-01-16 00:00:00,USA,Pacificorp West,US-NW-PACW,282.03,285.12,62.62,60.10,eia.gov
2021-01-17 00:00:00,USA,Pacificorp West,US-NW-PACW,247.02,248.12,68.13,65.33,eia.gov
2021-01-18 00:00:00,USA,Pacificorp West,US-NW-PACW,283.60,284.55,62.39,59.59,eia.gov
2021-01-19 00:00:00,USA,Pacificorp West,US-NW-PACW,402.07,379.63,50.13,47.73,eia.gov
2021-01-20 00:00:00,USA,Pacificorp West,US-NW-PACW,293.07,298.27,59.97,57.14,eia.gov
2021-01-21 00:00:00,USA,Pacificorp West,US-NW-PACW,322.05,324.14,55.61,52.76,eia.gov
2021-01-22 00:00:00,USA,Pacificorp West,US-NW-PACW,396.31,378.62,49.74,47.21,eia.gov
2021-01-23 00:00:00,USA,Pacificorp West,US-NW-PACW,432.67,410.50,45.64,43.51,eia.gov
2021-01-24 00:00:00,USA,Pacificorp West,US-NW-PACW,364.57,344.30,55.58,52.36,eia.gov
2021-01-25 00:00:00,USA,Pacificorp West,US-NW-PACW,407.78,387.38,48.78,46.14,eia.gov
2021-01-26 00:00:00,USA,Pacificorp West,US-NW-PACW,403.91,383.43,49.35,46.70,eia.gov
2021-01-27 00:00:00,USA,Pacificorp West,US-NW-PACW,295.49,294.46,60.52,58.09,eia.gov
2021-01-28 00:00:00,USA,Pacificorp West,US-NW-PACW,284.08,291.75,60.50,57.97,eia.gov
2021-01-29 00:00:00,USA,Pacificorp West,US-NW-PACW,346.25,344.35,54.25,51.59,eia.gov
2021-01-30 00:00:00,USA,Pacificorp West,US-NW-PACW,369.48,363.21,51.38,49.11,eia.gov
2021-01-31 00:00:00,USA,Pacificorp West,US-NW-PACW,298.17,292.67,61.67,59.07,eia.gov
2021-02-01 00:00:00,USA,Pacificorp West,US-NW-PACW,324.47,312.68,58.26,55.77,eia.gov
2021-02-02 00:00:00,USA,Pacificorp West,US-NW-PACW,278.06,282.23,61.78,59.05,eia.gov
2021-02-03 00:00:00,USA,Pacificorp West,US-NW-PACW,300.66,305.33,59.09,56.21,eia.gov
2021-02-04 00:00:00,USA,Pacificorp West,US-NW-PACW,245.12,243.61,68.84,65.97,eia.gov
2021-02-05 00:00:00,USA,Pacificorp West,US-NW-PACW,228.43,224.69,71.45,68.58,eia.gov
2021-02-06 00:00:00,USA,Pacificorp West,US-NW-PACW,338.81,315.03,60.40,58.05,eia.gov
2021-02-07 00:00:00,USA,Pacificorp West,US-NW-PACW,296.01,282.94,64.54,62.10,eia.gov
2021-02-08 00:00:00,USA,Pacificorp West,US-NW-PACW,351.04,333.67,56.95,54.63,eia.gov
2021-02-09 00:00:00,USA,Pacificorp West,US-NW-PACW,382.16,374.76,49.86,47.14,eia.gov
2021-02-10 00:00:00,USA,Pacificorp West,US-NW-PACW,392.25,381.57,49.03,46.46,eia.gov
2021-02-11 00:00:00,USA,Pacificorp West,US-NW-PACW,357.20,347.31,54.11,51.30,eia.gov
2021-02-12 00:00:00,USA,Pacificorp West,US-NW-PACW,396.09,371.87,51.66,49.00,eia.gov
