Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Portland General Electric Company,US-NW-PGE,132.50,179.35,72.91,68.01,eia.gov
2022-01-02 00:00:00,USA,Portland General Electric Company,US-NW-PGE,133.28,181.26,72.94,68.18,eia.gov
2022-01-03 00:00:00,USA,Portland General Electric Company,US-NW-PGE,136.03,184.10,72.13,67.59,eia.gov
2022-01-04 00:00:00,USA,Portland General Electric Company,US-NW-PGE,139.86,187.29,71.68,67.04,eia.gov
2022-01-05 00:00:00,USA,Portland General Electric Company,US-NW-PGE,128.65,175.01,73.19,68.27,eia.gov
2022-01-06 00:00:00,USA,Portland General Electric Company,US-NW-PGE,129.96,177.31,72.46,67.67,eia.gov
2022-01-07 00:00:00,USA,Portland General Electric Company,US-NW-PGE,111.84,153.90,77.23,72.52,eia.gov
2022-01-08 00:00:00,USA,Portland General Electric Company,US-NW-PGE,111.51,151.43,78.36,73.34,eia.gov
2022-01-09 00:00:00,USA,Portland General Electric Company,US-NW-PGE,130.21,176.13,73.83,68.88,eia.gov
2022-01-10 00:00:00,USA,Portland General Electric Company,US-NW-PGE,128.45,174.32,74.09,69.16,eia.gov
2022-01-11 00:00:00,USA,Portland General Electric Company,US-NW-PGE,122.58,165.94,75.82,70.52,eia.gov
2022-01-12 00:00:00,USA,Portland General Electric Company,US-NW-PGE,111.52,152.85,78.19,72.87,eia.gov
2022-01-13 00:00:00,USA,Portland General Electric Company,US-NW-PGE,110.31,152.19,78.38,73.33,eia.gov
2022-01-14 00:00:00,USA,Portland General Electric Company,US-NW-PGE,103.14,142.53,80.02,74.90,eia.gov
2022-01-15 00:00:00,USA,Portland General Electric Company,US-NW-PGE,113.81,154.32,78.30,73.40,eia.gov
2022-01-16 00:00:00,USA,Portland General Electric Company,US-NW-PGE,112.03,152.22,78.86,73.75,eia.gov
2022-01-17 00:00:00,USA,Portland General Electric Company,US-NW-PGE,109.44,150.81,78.82,74.05,eia.gov
2022-01-18 00:00:00,USA,Portland General Electric Company,US-NW-PGE,88.15,124.52,83.18,78.01,eia.gov
2022-01-19 00:00:00,USA,Portland General Electric Company,US-NW-PGE,101.75,143.04,79.25,73.97,eia.gov
2022-01-20 00:00:00,USA,Portland General Electric Company,US-NW-PGE,98.59,138.39,80.20,75.24,eia.gov
2022-01-21 00:00:00,USA,Portland General Electric Company,US-NW-PGE,90.09,126.29,82.71,77.60,eia.gov
2022-01-22 00:00:00,USA,Portland General Electric Company,US-NW-PGE,123.72,166.13,75.99,71.11,eia.gov
2022-01-23 00:00:00,USA,Portland General Electric Company,US-NW-PGE,120.17,163.06,76.60,71.71,eia.gov
2022-01-24 00:00:00,USA,Portland General Electric Company,US-NW-PGE,127.79,174.08,74.00,69.21,eia.gov
2022-01-25 00:00:00,USA,Portland General Electric Company,US-NW-PGE,125.37,172.20,73.95,69.05,eia.gov
2022-01-26 00:00:00,USA,Portland General Electric Company,US-NW-PGE,134.48,181.89,72.70,67.74,eia.gov
2022-01-27 00:00:00,USA,Portland General Electric Company,US-NW-PGE,136.38,184.14,72.42,67.56,eia.gov
2022-01-28 00:00:00,USA,Portland General Electric Company,US-NW-PGE,133.96,181.40,72.83,68.00,eia.gov
2022-01-29 00:00:00,USA,Portland General Electric Company,US-NW-PGE,129.00,175.26,74.18,69.30,eia.gov
2022-01-30 00:00:00,USA,Portland General Electric Company,US-NW-PGE,117.22,158.97,77.58,72.30,eia.gov
2022-01-31 00:00:00,USA,Portland General Electric Company,US-NW-PGE,100.53,138.21,80.65,75.92,eia.gov
2022-02-01 00:00:00,USA,Portland General Electric Company,US-NW-PGE,109.84,149.88,78.16,73.31,eia.gov
2022-02-02 00:00:00,USA,Portland General Electric Company,US-NW-PGE,133.74,180.95,72.25,67.27,eia.gov
2022-02-03 00:00:00,USA,Portland General Electric Company,US-NW-PGE,132.03,177.96,72.60,67.24,eia.gov
2022-02-04 00:00:00,USA,Portland General Electric Company,US-NW-PGE,147.68,197.89,69.40,64.51,eia.gov
2022-02-05 00:00:00,USA,Portland General Electric Company,US-NW-PGE,109.44,149.17,78.60,75.11,eia.gov
2022-02-06 00:00:00,USA,Portland General Electric Company,US-NW-PGE,133.91,177.94,74.17,69.32,eia.gov
2022-02-07 00:00:00,USA,Portland General Electric Company,US-NW-PGE,129.00,172.36,74.70,69.35,eia.gov
2022-02-08 00:00:00,USA,Portland General Electric Company,US-NW-PGE,117.23,161.34,75.28,69.52,eia.gov
2022-02-09 00:00:00,USA,Portland General Electric Company,US-NW-PGE,107.86,150.08,77.30,71.43,eia.gov
2022-02-10 00:00:00,USA,Portland General Electric Company,US-NW-PGE,102.67,144.69,78.31,72.63,eia.gov
2022-02-11 00:00:00,USA,Portland General Electric Company,US-NW-PGE,113.04,157.49,76.14,70.53,eia.gov
2022-02-12 00:00:00,USA,Portland General Electric Company,US-NW-PGE,113.73,157.57,76.47,70.76,eia.gov
2022-02-13 00:00:00,USA,Portland General Electric Company,US-NW-PGE,116.47,159.26,76.86,71.07,eia.gov
2022-02-14 00:00:00,USA,Portland General Electric Company,US-NW-PGE,122.76,165.95,75.24,69.72,eia.gov
2022-02-15 00:00:00,USA,Portland General Electric Company,US-NW-PGE,92.36,129.08,81.91,76.44,eia.gov
2022-02-16 00:00:00,USA,Portland General Electric Company,US-NW-PGE,99.46,137.11,80.29,75.00,eia.gov
2022-02-17 00:00:00,USA,Portland General Electric Company,US-NW-PGE,96.56,133.81,81.12,76.08,eia.gov
2022-02-18 00:00:00,USA,Portland General Electric Company,US-NW-PGE,106.67,145.64,79.76,74.51,eia.gov
2022-02-19 00:00:00,USA,Portland General Electric Company,US-NW-PGE,101.07,138.12,80.98,75.76,eia.gov
2022-02-20 00:00:00,USA,Portland General Electric Company,US-NW-PGE,104.35,141.77,80.26,75.23,eia.gov
2022-02-21 00:00:00,USA,Portland General Electric Company,US-NW-PGE,111.51,151.91,78.02,72.58,eia.gov
2022-02-22 00:00:00,USA,Portland General Electric Company,US-NW-PGE,107.47,149.64,77.25,73.11,eia.gov
2022-02-23 00:00:00,USA,Portland General Electric Company,US-NW-PGE,139.24,191.24,69.63,65.49,eia.gov
2022-02-24 00:00:00,USA,Portland General Electric Company,US-NW-PGE,159.35,213.13,66.28,61.13,eia.gov
2022-02-25 00:00:00,USA,Portland General Electric Company,US-NW-PGE,157.76,208.96,67.74,62.52,eia.gov
2022-02-26 00:00:00,USA,Portland General Electric Company,US-NW-PGE,142.59,190.01,71.75,66.40,eia.gov
2022-02-27 00:00:00,USA,Portland General Electric Company,US-NW-PGE,138.54,184.91,72.79,66.77,eia.gov
2022-02-28 00:00:00,USA,Portland General Electric Company,US-NW-PGE,118.95,161.14,76.46,70.96,eia.gov
2022-03-01 00:00:00,USA,Portland General Electric Company,US-NW-PGE,108.91,146.49,79.54,73.88,eia.gov
2022-03-02 00:00:00,USA,Portland General Electric Company,US-NW-PGE,135.19,177.44,74.27,68.75,eia.gov
2022-03-03 00:00:00,USA,Portland General Electric Company,US-NW-PGE,112.33,148.71,78.97,73.98,eia.gov
2022-03-04 00:00:00,USA,Portland General Electric Company,US-NW-PGE,78.25,106.32,86.90,81.21,eia.gov
2022-03-05 00:00:00,USA,Portland General Electric Company,US-NW-PGE,94.77,125.27,83.88,77.90,eia.gov
2022-03-06 00:00:00,USA,Portland General Electric Company,US-NW-PGE,83.34,110.53,86.59,80.03,eia.gov
2022-03-07 00:00:00,USA,Portland General Electric Company,US-NW-PGE,75.62,101.71,87.98,81.81,eia.gov
2022-03-08 00:00:00,USA,Portland General Electric Company,US-NW-PGE,84.48,114.84,85.28,79.48,eia.gov
2022-03-09 00:00:00,USA,Portland General Electric Company,US-NW-PGE,132.89,172.59,74.68,69.06,eia.gov
2022-03-10 00:00:00,USA,Portland General Electric Company,US-NW-PGE,132.69,172.96,74.68,69.34,eia.gov
2022-03-11 00:00:00,USA,Portland General Electric Company,US-NW-PGE,118.02,157.53,77.48,72.06,eia.gov
2022-03-12 00:00:00,USA,Portland General Electric Company,US-NW-PGE,115.59,154.43,78.65,73.36,eia.gov
2022-03-13 00:00:00,USA,Portland General Electric Company,US-NW-PGE,108.89,144.62,80.14,74.55,eia.gov
2022-03-14 00:00:00,USA,Portland General Electric Company,US-NW-PGE,117.90,153.94,79.07,73.52,eia.gov
2022-03-15 00:00:00,USA,Portland General Electric Company,US-NW-PGE,127.25,168.10,75.88,70.94,eia.gov
2022-03-16 00:00:00,USA,Portland General Electric Company,US-NW-PGE,119.27,154.47,78.54,73.20,eia.gov
2022-03-17 00:00:00,USA,Portland General Electric Company,US-NW-PGE,139.22,178.49,74.36,69.18,eia.gov
2022-03-18 00:00:00,USA,Portland General Electric Company,US-NW-PGE,135.58,175.03,75.18,69.52,eia.gov
2022-03-19 00:00:00,USA,Portland General Electric Company,US-NW-PGE,149.91,196.69,70.62,65.07,eia.gov
2022-03-20 00:00:00,USA,Portland General Electric Company,US-NW-PGE,107.27,143.27,80.42,73.91,eia.gov
2022-03-21 00:00:00,USA,Portland General Electric Company,US-NW-PGE,130.16,172.38,75.39,69.90,eia.gov
2022-03-22 00:00:00,USA,Portland General Electric Company,US-NW-PGE,138.26,178.15,75.02,69.27,eia.gov
2022-03-23 00:00:00,USA,Portland General Electric Company,US-NW-PGE,154.17,196.13,71.81,66.25,eia.gov
2022-03-24 00:00:00,USA,Portland General Electric Company,US-NW-PGE,140.24,180.73,74.20,68.33,eia.gov
2022-03-25 00:00:00,USA,Portland General Electric Company,US-NW-PGE,135.12,179.21,73.89,68.11,eia.gov
2022-03-26 00:00:00,USA,Portland General Electric Company,US-NW-PGE,130.07,171.39,75.74,69.38,eia.gov
2022-03-27 00:00:00,USA,Portland General Electric Company,US-NW-PGE,136.81,175.70,76.07,68.42,eia.gov
2022-03-28 00:00:00,USA,Portland General Electric Company,US-NW-PGE,124.50,164.93,77.26,70.87,eia.gov
2022-03-29 00:00:00,USA,Portland General Electric Company,US-NW-PGE,105.75,142.09,80.93,74.82,eia.gov
2022-03-30 00:00:00,USA,Portland General Electric Company,US-NW-PGE,84.95,118.59,84.41,78.80,eia.gov
2022-03-31 00:00:00,USA,Portland General Electric Company,US-NW-PGE,97.82,134.09,81.72,76.09,eia.gov
2022-04-01 00:00:00,USA,Portland General Electric Company,US-NW-PGE,97.83,135.96,80.99,74.87,eia.gov
