Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,543.07,589.03,36.21,36.06,eia.gov
2022-01-02 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,577.53,627.59,31.24,31.13,eia.gov
2022-01-03 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,586.23,639.60,28.73,28.66,eia.gov
2022-01-04 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,468.31,513.16,43.02,43.01,eia.gov
2022-01-05 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,487.95,536.13,39.49,39.48,eia.gov
2022-01-06 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,581.41,644.47,23.47,23.47,eia.gov
2022-01-07 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,501.50,553.16,36.59,36.59,eia.gov
2022-01-08 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,449.88,497.53,42.99,42.98,eia.gov
2022-01-09 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,525.03,575.40,35.32,35.28,eia.gov
2022-01-10 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,582.35,642.62,25.21,25.14,eia.gov
2022-01-11 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,460.86,507.99,42.48,42.35,eia.gov
2022-01-12 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,487.19,535.25,39.75,39.66,eia.gov
2022-01-13 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,491.82,540.81,38.90,38.86,eia.gov
2022-01-14 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,413.03,454.51,49.52,49.46,eia.gov
2022-01-15 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,482.71,528.34,41.62,41.45,eia.gov
2022-01-16 00:00:00,USA,Public Service Company of Colorado,US-NW-PSCO,463.72,505.93,45.08,45.00,eia.gov
