Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,91.11,132.18,79.93,74.57,eia.gov
2022-01-02 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,81.16,119.84,82.87,77.76,eia.gov
2022-01-03 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,71.40,107.30,85.31,80.04,eia.gov
2022-01-04 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,82.28,119.53,82.80,77.71,eia.gov
2022-01-05 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,96.36,140.03,77.53,72.40,eia.gov
2022-01-06 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,87.21,129.96,79.06,73.65,eia.gov
2022-01-07 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,60.13,92.00,87.60,82.20,eia.gov
2022-01-08 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,70.11,102.50,86.41,80.71,eia.gov
2022-01-09 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,89.26,128.75,81.12,75.14,eia.gov
2022-01-10 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,99.21,141.50,78.41,73.10,eia.gov
2022-01-11 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,97.96,137.96,79.51,73.96,eia.gov
2022-01-12 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,77.73,111.96,84.88,79.18,eia.gov
2022-01-13 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,69.90,103.43,86.75,81.25,eia.gov
2022-01-14 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,73.79,108.75,85.54,79.51,eia.gov
2022-01-15 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,59.37,91.09,89.33,83.56,eia.gov
2022-01-16 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,50.38,79.01,92.39,85.82,eia.gov
2022-01-17 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,54.69,85.79,90.35,84.85,eia.gov
2022-01-18 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,50.06,78.92,90.94,85.64,eia.gov
2022-01-19 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,49.19,81.34,89.97,84.00,eia.gov
2022-01-20 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,46.87,76.59,90.88,85.53,eia.gov
2022-01-21 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,52.67,82.17,90.42,84.66,eia.gov
2022-01-22 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,54.78,85.16,90.26,84.47,eia.gov
2022-01-23 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,60.50,91.78,89.30,83.60,eia.gov
2022-01-24 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,59.26,92.21,88.49,82.85,eia.gov
2022-01-25 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,65.44,100.66,86.27,80.73,eia.gov
2022-01-26 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,94.86,135.22,79.89,74.66,eia.gov
2022-01-27 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,97.29,138.02,79.56,74.32,eia.gov
2022-01-28 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,87.56,125.89,82.03,76.63,eia.gov
2022-01-29 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,57.54,87.96,90.52,84.25,eia.gov
2022-01-30 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,60.81,92.11,89.32,83.44,eia.gov
2022-01-31 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,49.94,77.16,91.21,86.17,eia.gov
2022-02-01 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,54.39,84.17,89.35,84.15,eia.gov
2022-02-02 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,70.83,107.75,84.45,78.74,eia.gov
2022-02-03 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,91.03,131.61,79.28,73.54,eia.gov
2022-02-04 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,95.43,136.62,78.81,73.35,eia.gov
2022-02-05 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,57.91,86.61,89.42,85.58,eia.gov
2022-02-06 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,66.03,96.84,88.64,82.95,eia.gov
2022-02-07 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,62.44,91.25,89.14,83.06,eia.gov
2022-02-08 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,64.26,98.14,85.69,79.43,eia.gov
2022-02-09 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,72.57,109.05,83.29,77.41,eia.gov
2022-02-10 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,56.31,89.75,87.24,81.67,eia.gov
2022-02-11 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,37.31,66.55,92.51,85.89,eia.gov
2022-02-12 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,53.80,86.60,88.91,82.43,eia.gov
2022-02-13 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,62.34,95.21,88.13,81.62,eia.gov
2022-02-14 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,55.57,86.88,88.96,82.82,eia.gov
2022-02-15 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,52.08,81.54,90.14,84.33,eia.gov
2022-02-16 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,47.12,76.02,90.68,85.22,eia.gov
2022-02-17 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,42.40,69.74,92.09,86.97,eia.gov
2022-02-18 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,52.04,79.54,91.33,85.77,eia.gov
2022-02-19 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,48.15,74.88,91.71,86.66,eia.gov
2022-02-20 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,51.74,78.56,91.28,85.49,eia.gov
2022-02-21 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,57.25,86.45,89.44,83.70,eia.gov
2022-02-22 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,60.79,94.31,86.26,82.08,eia.gov
2022-02-23 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,89.19,133.19,78.46,73.91,eia.gov
2022-02-24 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,,,,,Data is not complete enough to be published.
2022-02-25 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,115.92,162.35,74.20,68.64,eia.gov
2022-02-26 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,91.52,128.87,82.14,76.25,eia.gov
2022-02-27 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,78.17,111.97,85.79,79.11,eia.gov
2022-02-28 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,66.99,98.79,87.40,81.43,eia.gov
2022-03-01 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,66.90,96.67,88.09,81.93,eia.gov
2022-03-02 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,64.83,96.00,88.47,81.78,eia.gov
2022-03-03 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,52.92,83.07,89.75,84.10,eia.gov
2022-03-04 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,50.00,79.20,90.68,84.79,eia.gov
2022-03-05 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,53.53,83.57,90.08,83.93,eia.gov
2022-03-06 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,45.24,72.96,92.46,85.41,eia.gov
2022-03-07 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,41.31,67.37,93.29,87.03,eia.gov
2022-03-08 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,53.85,82.54,90.20,84.34,eia.gov
2022-03-09 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,56.29,87.71,88.81,82.46,eia.gov
2022-03-10 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,72.33,106.73,85.36,79.60,eia.gov
2022-03-11 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,57.60,88.99,88.89,83.00,eia.gov
2022-03-12 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,56.84,85.81,90.43,84.77,eia.gov
2022-03-13 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,45.67,71.04,93.41,86.70,eia.gov
2022-03-14 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,58.16,85.81,90.49,84.70,eia.gov
2022-03-15 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,56.58,84.72,90.23,84.96,eia.gov
2022-03-16 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,53.94,80.24,91.02,85.35,eia.gov
2022-03-17 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,67.37,99.75,87.37,81.51,eia.gov
2022-03-18 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,80.56,114.25,84.87,78.78,eia.gov
2022-03-19 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,72.30,103.72,86.98,80.38,eia.gov
2022-03-20 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,63.02,90.17,89.37,82.69,eia.gov
2022-03-21 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,56.41,84.27,90.85,84.61,eia.gov
2022-03-22 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,53.78,80.38,92.53,85.19,eia.gov
2022-03-23 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,74.65,105.64,87.48,80.50,eia.gov
2022-03-24 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,78.20,109.17,86.38,79.40,eia.gov
2022-03-25 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,67.49,100.13,87.70,80.67,eia.gov
2022-03-26 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,73.06,106.16,86.80,79.45,eia.gov
2022-03-27 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,93.40,127.38,84.28,75.44,eia.gov
2022-03-28 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,64.28,92.58,90.53,82.81,eia.gov
2022-03-29 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,60.32,89.18,89.93,82.83,eia.gov
2022-03-30 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,44.28,69.71,92.52,87.13,eia.gov
2022-03-31 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,45.02,70.99,92.50,86.84,eia.gov
2022-04-01 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,48.63,78.60,90.78,84.29,eia.gov
2022-04-02 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,32.19,59.81,92.71,86.56,eia.gov
2022-04-03 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,42.49,72.22,91.29,84.26,eia.gov
2022-04-04 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,32.54,59.00,93.07,87.20,eia.gov
2022-04-05 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,35.70,61.29,92.87,87.03,eia.gov
2022-04-06 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,72.41,108.72,84.36,78.08,eia.gov
2022-04-07 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,81.95,123.18,80.85,74.46,eia.gov
