Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,17.55,42.91,97.33,95.09,eia.gov
2021-01-02 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,11.36,35.93,98.31,96.55,eia.gov
2021-01-03 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,15.18,39.73,97.73,95.29,eia.gov
2021-01-04 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,17.81,43.11,97.27,94.65,eia.gov
2021-01-05 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,20.42,45.75,96.76,94.01,eia.gov
2021-01-06 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,20.85,46.22,96.90,94.47,eia.gov
2021-01-07 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,15.60,41.35,97.32,94.97,eia.gov
2021-01-08 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,14.59,40.14,97.51,95.21,eia.gov
2021-01-09 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,11.81,37.31,97.88,95.76,eia.gov
2021-01-10 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,14.15,39.55,97.71,95.75,eia.gov
2021-01-11 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,16.15,41.59,97.45,95.45,eia.gov
2021-01-12 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,13.91,38.82,97.92,96.12,eia.gov
2021-01-13 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,8.46,32.65,98.67,96.79,eia.gov
2021-01-14 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,10.81,35.31,98.47,96.41,eia.gov
2021-01-15 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,12.16,36.68,98.37,96.47,eia.gov
2021-01-16 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,14.86,39.44,98.08,96.15,eia.gov
2021-01-17 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,11.57,35.96,98.46,96.67,eia.gov
2021-01-18 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,18.44,43.66,97.26,94.98,eia.gov
2021-01-19 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,21.66,47.68,96.59,94.08,eia.gov
2021-01-20 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,25.42,51.35,96.17,93.51,eia.gov
2021-01-21 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,20.03,46.19,96.65,93.85,eia.gov
2021-01-22 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,15.85,41.85,97.17,94.53,eia.gov
2021-01-23 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,19.92,46.22,96.60,93.71,eia.gov
2021-01-24 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,16.47,42.41,97.11,94.46,eia.gov
2021-01-25 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,17.55,43.82,96.76,93.80,eia.gov
2021-01-26 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,15.49,41.85,96.93,93.93,eia.gov
2021-01-27 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,14.21,40.19,97.18,94.38,eia.gov
2021-01-28 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,17.75,43.84,96.79,93.88,eia.gov
2021-01-29 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,19.14,45.18,96.66,93.63,eia.gov
2021-01-30 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,25.27,51.58,95.84,92.37,eia.gov
2021-01-31 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,26.40,52.29,95.84,92.54,eia.gov
2021-02-01 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,24.34,50.35,95.92,92.55,eia.gov
2021-02-02 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,25.76,51.47,95.90,92.67,eia.gov
2021-02-03 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,27.04,53.04,95.66,92.18,eia.gov
2021-02-04 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,22.64,47.63,96.38,92.75,eia.gov
2021-02-05 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,16.05,40.77,97.03,92.94,eia.gov
2021-02-06 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,19.95,44.81,96.34,91.45,eia.gov
2021-02-07 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,24.89,49.77,95.83,90.78,eia.gov
2021-02-08 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,17.21,42.78,96.61,92.44,eia.gov
2021-02-09 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,22.17,49.16,95.54,91.80,eia.gov
2021-02-10 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,24.69,51.67,95.22,91.72,eia.gov
2021-02-11 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,26.30,53.23,94.93,91.21,eia.gov
2021-02-12 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,18.49,45.44,96.03,92.69,eia.gov
2021-02-13 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,14.85,40.81,96.97,93.35,eia.gov
2021-02-14 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,6.60,31.80,98.70,95.65,eia.gov
2021-02-15 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,7.08,32.68,98.43,95.57,eia.gov
2021-02-16 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,6.71,31.79,98.51,95.95,eia.gov
2021-02-17 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,11.59,37.65,97.27,94.75,eia.gov
2021-02-18 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,13.14,40.20,96.87,94.42,eia.gov
2021-02-19 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,12.94,39.74,96.97,94.42,eia.gov
2021-02-20 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,17.54,44.75,96.12,93.45,eia.gov
2021-02-21 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,30.33,56.35,95.04,90.65,eia.gov
2021-02-22 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,33.41,58.63,95.09,90.57,eia.gov
2021-02-23 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,29.50,54.35,95.55,91.12,eia.gov
2021-02-24 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,24.55,50.74,95.73,91.60,eia.gov
2021-02-25 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,32.85,59.20,94.66,90.18,eia.gov
2021-02-26 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,34.15,59.03,94.89,90.07,eia.gov
2021-02-27 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,33.50,60.03,94.25,89.05,eia.gov
2021-02-28 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,35.26,61.84,93.96,88.73,eia.gov
2021-03-01 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,41.35,69.16,93.37,88.52,eia.gov
2021-03-02 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,42.61,69.67,93.39,88.62,eia.gov
2021-03-03 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,40.32,68.01,93.58,89.15,eia.gov
2021-03-04 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,34.72,62.54,94.12,89.46,eia.gov
2021-03-05 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,41.05,68.47,93.25,88.15,eia.gov
2021-03-06 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,39.61,66.48,93.46,88.27,eia.gov
2021-03-07 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,56.90,85.69,90.68,84.61,eia.gov
2021-03-08 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,45.93,74.65,92.04,87.02,eia.gov
2021-03-09 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,43.36,70.44,93.37,88.26,eia.gov
2021-03-10 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,52.40,80.64,91.74,86.48,eia.gov
2021-03-11 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,50.40,78.95,91.30,86.04,eia.gov
2021-03-12 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,61.45,90.84,89.90,84.37,eia.gov
2021-03-13 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,67.48,98.30,88.68,82.26,eia.gov
2021-03-14 00:00:00,USA,"City of Tacoma, Department of Public Utilities, Light Division",US-NW-TPWR,69.77,99.28,89.08,82.81,eia.gov
