Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,770.95,790.88,28.00,27.99,eia.gov
2022-01-02 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,786.80,806.64,26.32,26.23,eia.gov
2022-01-03 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,790.22,809.55,26.13,26.02,eia.gov
2022-01-04 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,721.87,740.94,32.54,32.38,eia.gov
2022-01-05 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,750.46,770.02,29.78,29.70,eia.gov
2022-01-06 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,798.33,819.20,25.12,25.09,eia.gov
2022-01-07 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,716.76,737.40,32.63,32.59,eia.gov
2022-01-08 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,692.49,712.86,35.01,34.83,eia.gov
2022-01-09 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,738.64,759.58,30.37,30.14,eia.gov
2022-01-10 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,785.81,804.71,26.63,26.50,eia.gov
2022-01-11 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,710.77,729.25,33.69,33.57,eia.gov
2022-01-12 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,722.90,741.89,32.25,32.01,eia.gov
2022-01-13 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,744.62,763.96,30.16,30.08,eia.gov
2022-01-14 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,673.87,693.53,36.80,36.76,eia.gov
2022-01-15 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,724.92,745.11,32.03,31.95,eia.gov
2022-01-16 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,682.00,701.82,36.07,36.05,eia.gov
2022-01-17 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,726.92,747.70,31.42,31.27,eia.gov
2022-01-18 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,708.83,730.47,32.89,32.67,eia.gov
2022-01-19 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,737.53,759.64,30.41,30.19,eia.gov
2022-01-20 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,822.09,846.13,21.43,21.24,eia.gov
2022-01-21 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,711.37,732.84,32.80,32.77,eia.gov
2022-01-22 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,750.95,772.10,29.25,29.18,eia.gov
2022-01-23 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,673.45,692.81,36.78,36.57,eia.gov
2022-01-24 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,683.59,704.05,35.60,35.48,eia.gov
2022-01-25 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,803.07,824.26,24.28,24.26,eia.gov
2022-01-26 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,739.97,760.74,30.22,30.18,eia.gov
2022-01-27 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,724.12,745.46,31.53,31.40,eia.gov
2022-01-28 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,698.76,717.34,34.65,34.55,eia.gov
2022-01-29 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,717.37,735.77,32.97,32.87,eia.gov
2022-01-30 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,804.25,824.13,24.48,24.39,eia.gov
2022-01-31 00:00:00,USA,Western Area Power Administration - Rocky Mountain Region,US-NW-WACM,815.53,834.77,23.80,23.78,eia.gov
