Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,338.24,360.72,65.46,64.25,eia.gov
2022-01-02 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,388.61,410.63,60.97,60.96,eia.gov
2022-01-03 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,342.90,368.97,63.89,62.98,eia.gov
2022-01-04 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,190.61,217.24,77.13,73.11,eia.gov
2022-01-05 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,234.59,262.72,72.09,68.16,eia.gov
2022-01-06 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,365.07,390.94,60.68,58.24,eia.gov
2022-01-07 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,393.66,418.13,59.03,57.71,eia.gov
2022-01-08 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,221.74,247.92,73.88,69.14,eia.gov
2022-01-09 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,251.64,275.06,72.38,68.53,eia.gov
2022-01-10 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,382.34,403.37,62.11,61.90,eia.gov
2022-01-11 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,218.83,246.97,73.74,69.50,eia.gov
2022-01-12 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,167.86,194.84,80.49,77.83,eia.gov
2022-01-13 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,258.07,283.92,72.47,70.72,eia.gov
2022-01-14 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,273.70,297.94,71.30,69.35,eia.gov
2022-01-15 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,208.80,231.90,78.32,77.28,eia.gov
2022-01-16 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,215.23,240.26,77.05,76.10,eia.gov
2022-01-17 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,314.44,340.99,65.94,63.89,eia.gov
2022-01-18 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,265.94,295.99,68.64,64.37,eia.gov
2022-01-19 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,247.62,276.77,70.02,65.23,eia.gov
2022-01-20 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,328.58,353.97,65.00,63.21,eia.gov
2022-01-21 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,258.51,291.42,68.08,65.09,eia.gov
2022-01-22 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,278.21,302.01,71.10,70.18,eia.gov
2022-01-23 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,222.85,248.93,75.92,74.63,eia.gov
2022-01-24 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,227.24,255.98,73.02,68.99,eia.gov
2022-01-25 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,370.92,394.88,61.80,60.26,eia.gov
2022-01-26 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,356.07,391.75,57.06,53.63,eia.gov
2022-01-27 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,294.89,327.69,64.55,60.51,eia.gov
2022-01-28 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,285.56,309.56,70.03,68.62,eia.gov
2022-01-29 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,215.05,240.47,76.65,75.03,eia.gov
2022-01-30 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,218.27,243.66,76.43,74.69,eia.gov
2022-01-31 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,204.82,228.78,78.64,77.51,eia.gov
2022-02-01 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,192.41,218.57,77.14,72.87,eia.gov
2022-02-02 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,293.91,317.93,69.09,67.38,eia.gov
2022-02-03 00:00:00,USA,Western Area Power Administration UGP West,US-NW-WAUW,384.59,409.38,59.37,57.73,eia.gov
