Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,163.68,220.03,62.25,32.60,nyiso.com
2021-01-02 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,158.03,212.98,63.49,33.75,nyiso.com
2021-01-03 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,169.08,227.20,60.61,31.49,nyiso.com
2021-01-04 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,180.21,241.14,57.96,30.17,nyiso.com
2021-01-05 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,186.54,248.48,56.86,29.36,nyiso.com
2021-01-06 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,182.90,243.75,57.87,30.05,nyiso.com
2021-01-07 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,178.70,238.19,59.03,31.04,Electricity Maps Estimation; nyiso.com
2021-01-08 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,184.26,245.47,57.46,30.08,nyiso.com
2021-01-09 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,175.67,234.05,59.99,31.46,nyiso.com
2021-01-10 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,177.62,235.86,59.89,29.60,nyiso.com
2021-01-11 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,187.47,248.29,57.46,29.36,nyiso.com
2021-01-12 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,185.68,246.53,57.53,30.11,nyiso.com
2021-01-13 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,181.02,240.88,58.54,30.83,nyiso.com
2021-01-14 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,182.22,242.79,57.98,30.38,nyiso.com
2021-01-15 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,172.57,230.89,60.07,32.07,nyiso.com
2021-01-16 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,165.92,222.84,61.57,32.82,nyiso.com
2021-01-17 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,159.82,213.80,63.68,33.63,nyiso.com
2021-01-18 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,167.78,224.35,61.84,33.09,nyiso.com
2021-01-19 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,176.25,233.73,60.52,31.90,nyiso.com
2021-01-20 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,178.84,236.98,59.93,31.77,nyiso.com
2021-01-21 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,177.10,234.77,60.06,32.08,nyiso.com
2021-01-22 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,167.38,222.92,62.22,33.12,nyiso.com
2021-01-23 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,164.46,219.22,63.00,33.58,nyiso.com
