Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,315.94,391.96,36.46,7.84,eia.gov
2021-01-02 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,318.05,393.88,36.45,7.79,eia.gov
2021-01-03 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,331.83,408.49,35.17,8.78,eia.gov
2021-01-04 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,346.86,427.83,31.13,8.67,eia.gov
2021-01-05 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,354.44,434.80,31.04,8.38,eia.gov
2021-01-06 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,361.88,444.15,29.19,7.59,eia.gov
2021-01-07 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,373.34,457.28,27.21,6.22,eia.gov
2021-01-08 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,381.14,465.47,26.38,5.77,eia.gov
2021-01-09 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,395.79,480.88,24.92,5.11,eia.gov
2021-01-10 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,392.76,477.25,25.63,5.55,eia.gov
2021-01-11 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,406.12,490.93,24.41,4.48,eia.gov
2021-01-12 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,406.15,490.80,24.54,4.61,eia.gov
2021-01-13 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,404.12,488.83,24.65,5.18,eia.gov
2021-01-14 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,400.08,482.77,26.44,6.30,eia.gov
2021-01-15 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,396.57,477.08,28.19,5.78,eia.gov
2021-01-16 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,394.00,475.81,27.48,5.83,eia.gov
2021-01-17 00:00:00,USA,"Southern Company Services, Inc. - Trans",US-SE-SOCO,394.81,477.80,26.49,5.42,eia.gov
