Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,336.89,403.50,37.24,5.22,eia.gov
2021-01-02 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,350.44,415.85,36.71,5.99,eia.gov
2021-01-03 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,344.89,408.47,38.18,6.48,eia.gov
2021-01-04 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,369.33,431.16,36.98,6.41,eia.gov
2021-01-05 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,385.09,442.71,38.27,7.72,eia.gov
2021-01-06 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,391.77,449.90,37.38,7.19,eia.gov
2021-01-07 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,379.28,439.34,36.62,4.31,eia.gov
2021-01-08 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,374.15,435.56,36.21,4.04,eia.gov
2021-01-09 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,354.79,415.03,38.62,4.71,eia.gov
2021-01-10 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,350.44,409.95,39.59,4.53,eia.gov
2021-01-11 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,364.05,420.67,39.91,4.92,eia.gov
2021-01-12 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,395.53,448.88,39.35,5.76,eia.gov
2021-01-13 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,391.21,446.69,38.45,5.68,eia.gov
2021-01-14 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,405.14,456.53,39.95,7.05,eia.gov
2021-01-15 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,382.59,432.44,42.58,6.77,eia.gov
2021-01-16 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,391.08,436.61,44.53,6.88,eia.gov
2021-01-17 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,377.11,421.97,46.05,6.63,eia.gov
2021-01-18 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,383.47,432.94,43.17,7.09,eia.gov
2021-01-19 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,385.39,437.52,41.15,5.56,eia.gov
2021-01-20 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,357.47,415.20,40.02,4.92,eia.gov
2021-01-21 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,349.72,403.62,43.10,4.79,eia.gov
2021-01-22 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,350.43,405.61,41.76,4.93,eia.gov
2021-01-23 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,350.71,405.89,42.43,7.21,eia.gov
2021-01-24 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,353.72,407.63,42.36,4.03,eia.gov
2021-01-25 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,389.64,446.85,37.38,5.17,eia.gov
2021-01-26 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,376.66,433.97,37.97,4.37,eia.gov
2021-01-27 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,356.51,418.45,37.75,6.42,eia.gov
2021-01-28 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,363.19,418.79,40.77,5.70,eia.gov
2021-01-29 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,370.09,422.18,42.47,6.64,eia.gov
2021-01-30 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,393.78,443.24,42.35,8.21,eia.gov
2021-01-31 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,389.16,439.67,41.67,5.86,eia.gov
2021-02-01 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,405.73,459.06,38.18,3.60,eia.gov
2021-02-02 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,381.76,431.74,43.12,5.89,eia.gov
2021-02-03 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,376.16,423.62,45.47,8.66,eia.gov
2021-02-04 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,388.04,433.04,46.53,10.47,eia.gov
2021-02-05 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,381.51,430.66,44.14,8.35,eia.gov
