Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,El Paso Electric Company,US-SW-EPE,646.17,730.58,12.96,11.27,eia.gov
2021-01-02 00:00:00,USA,El Paso Electric Company,US-SW-EPE,606.02,687.45,17.58,16.42,eia.gov
2021-01-03 00:00:00,USA,El Paso Electric Company,US-SW-EPE,586.85,667.11,19.92,19.55,eia.gov
2021-01-04 00:00:00,USA,El Paso Electric Company,US-SW-EPE,599.34,680.31,18.74,17.54,eia.gov
2021-01-05 00:00:00,USA,El Paso Electric Company,US-SW-EPE,598.80,678.31,19.50,18.47,eia.gov
2021-01-06 00:00:00,USA,El Paso Electric Company,US-SW-EPE,589.93,669.94,20.06,19.45,eia.gov
2021-01-07 00:00:00,USA,El Paso Electric Company,US-SW-EPE,600.59,687.56,14.52,12.94,eia.gov
2021-01-08 00:00:00,USA,El Paso Electric Company,US-SW-EPE,602.57,692.43,12.88,11.11,eia.gov
2021-01-09 00:00:00,USA,El Paso Electric Company,US-SW-EPE,635.96,724.40,11.56,9.75,eia.gov
2021-01-10 00:00:00,USA,El Paso Electric Company,US-SW-EPE,633.79,724.54,10.51,8.40,eia.gov
2021-01-11 00:00:00,USA,El Paso Electric Company,US-SW-EPE,636.34,725.92,10.92,8.57,eia.gov
2021-01-12 00:00:00,USA,El Paso Electric Company,US-SW-EPE,631.27,719.76,12.13,11.29,eia.gov
2021-01-13 00:00:00,USA,El Paso Electric Company,US-SW-EPE,586.87,671.70,17.60,17.17,eia.gov
2021-01-14 00:00:00,USA,El Paso Electric Company,US-SW-EPE,585.56,668.16,18.93,18.23,eia.gov
2021-01-15 00:00:00,USA,El Paso Electric Company,US-SW-EPE,599.12,679.18,19.39,18.34,eia.gov
2021-01-16 00:00:00,USA,El Paso Electric Company,US-SW-EPE,600.14,683.29,17.53,16.96,eia.gov
2021-01-17 00:00:00,USA,El Paso Electric Company,US-SW-EPE,603.68,685.87,17.90,16.87,eia.gov
2021-01-18 00:00:00,USA,El Paso Electric Company,US-SW-EPE,605.25,683.60,20.09,19.42,eia.gov
2021-01-19 00:00:00,USA,El Paso Electric Company,US-SW-EPE,617.06,697.89,17.45,16.42,eia.gov
2021-01-20 00:00:00,USA,El Paso Electric Company,US-SW-EPE,644.23,726.67,14.15,12.14,eia.gov
2021-01-21 00:00:00,USA,El Paso Electric Company,US-SW-EPE,623.50,701.03,18.76,16.75,eia.gov
2021-01-22 00:00:00,USA,El Paso Electric Company,US-SW-EPE,613.65,696.96,16.29,13.98,eia.gov
2021-01-23 00:00:00,USA,El Paso Electric Company,US-SW-EPE,562.37,643.90,21.28,20.63,eia.gov
2021-01-24 00:00:00,USA,El Paso Electric Company,US-SW-EPE,605.95,691.62,15.65,14.77,eia.gov
2021-01-25 00:00:00,USA,El Paso Electric Company,US-SW-EPE,568.20,653.81,18.36,17.99,eia.gov
2021-01-26 00:00:00,USA,El Paso Electric Company,US-SW-EPE,599.27,683.49,16.44,14.79,eia.gov
2021-01-27 00:00:00,USA,El Paso Electric Company,US-SW-EPE,568.03,651.55,19.00,17.75,eia.gov
2021-01-28 00:00:00,USA,El Paso Electric Company,US-SW-EPE,643.77,730.84,11.75,10.86,eia.gov
2021-01-29 00:00:00,USA,El Paso Electric Company,US-SW-EPE,632.39,717.68,13.79,13.21,eia.gov
2021-01-30 00:00:00,USA,El Paso Electric Company,US-SW-EPE,546.78,628.50,22.39,22.18,eia.gov
2021-01-31 00:00:00,USA,El Paso Electric Company,US-SW-EPE,610.85,697.04,15.42,15.13,eia.gov
2021-02-01 00:00:00,USA,El Paso Electric Company,US-SW-EPE,645.17,730.92,12.63,11.00,eia.gov
2021-02-02 00:00:00,USA,El Paso Electric Company,US-SW-EPE,598.35,681.09,17.79,16.53,eia.gov
2021-02-03 00:00:00,USA,El Paso Electric Company,US-SW-EPE,595.13,677.51,18.35,17.52,eia.gov
2021-02-04 00:00:00,USA,El Paso Electric Company,US-SW-EPE,568.14,642.92,24.77,23.80,eia.gov
2021-02-05 00:00:00,USA,El Paso Electric Company,US-SW-EPE,583.62,659.25,23.03,22.06,eia.gov
2021-02-06 00:00:00,USA,El Paso Electric Company,US-SW-EPE,570.29,645.19,24.48,23.85,eia.gov
2021-02-07 00:00:00,USA,El Paso Electric Company,US-SW-EPE,570.63,647.80,23.33,23.13,eia.gov
2021-02-08 00:00:00,USA,El Paso Electric Company,US-SW-EPE,511.31,592.13,24.56,23.95,eia.gov
2021-02-09 00:00:00,USA,El Paso Electric Company,US-SW-EPE,516.06,597.82,23.72,22.60,eia.gov
2021-02-10 00:00:00,USA,El Paso Electric Company,US-SW-EPE,546.41,630.51,19.85,17.62,eia.gov
2021-02-11 00:00:00,USA,El Paso Electric Company,US-SW-EPE,549.66,636.56,17.91,15.36,eia.gov
2021-02-12 00:00:00,USA,El Paso Electric Company,US-SW-EPE,587.86,678.44,13.13,10.21,eia.gov
