Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,726.30,789.96,17.64,15.63,eia.gov
2021-01-02 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,669.17,727.42,24.61,23.06,eia.gov
2021-01-03 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,628.90,681.86,31.34,31.32,eia.gov
2021-01-04 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,673.25,727.73,27.42,26.23,eia.gov
2021-01-05 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,655.69,708.36,29.53,28.87,eia.gov
2021-01-06 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,638.98,690.55,31.75,31.66,eia.gov
2021-01-07 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,664.44,725.94,22.36,19.47,eia.gov
2021-01-08 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,677.78,741.56,20.28,16.45,eia.gov
2021-01-09 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,736.58,798.36,17.79,14.47,eia.gov
2021-01-10 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,753.49,816.05,16.25,12.07,eia.gov
2021-01-11 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,766.41,829.77,14.66,10.71,eia.gov
2021-01-12 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,744.51,802.62,19.84,18.89,eia.gov
2021-01-13 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,642.64,694.61,31.12,31.09,eia.gov
2021-01-14 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,624.76,673.02,34.68,34.66,eia.gov
2021-01-15 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,664.66,715.03,30.66,30.13,eia.gov
2021-01-16 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,666.58,717.63,29.88,29.46,eia.gov
2021-01-17 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,686.05,737.81,28.13,26.77,eia.gov
2021-01-18 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,672.07,721.22,31.06,31.06,eia.gov
2021-01-19 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,659.35,708.03,31.94,31.61,eia.gov
2021-01-20 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,730.72,786.13,21.99,19.75,eia.gov
2021-01-21 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,662.39,712.83,30.85,30.35,eia.gov
2021-01-22 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,721.61,774.35,24.90,22.38,eia.gov
2021-01-23 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,621.72,669.84,34.93,34.71,eia.gov
2021-01-24 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,691.93,745.26,26.72,25.59,eia.gov
2021-01-25 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,609.11,658.25,34.60,34.10,eia.gov
2021-01-26 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,658.05,711.70,28.15,26.69,eia.gov
2021-01-27 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,593.73,649.21,31.60,30.53,eia.gov
2021-01-28 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,748.40,808.60,18.28,17.95,eia.gov
2021-01-29 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,704.42,759.32,24.99,24.87,eia.gov
2021-01-30 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,565.17,610.46,40.72,40.72,eia.gov
2021-01-31 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,702.53,755.35,26.78,26.29,eia.gov
2021-02-01 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,762.91,818.89,19.77,16.93,eia.gov
2021-02-02 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,626.76,674.23,35.16,35.04,eia.gov
2021-02-03 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,668.20,717.50,30.79,30.16,eia.gov
2021-02-04 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,597.92,643.59,38.43,38.19,eia.gov
2021-02-05 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,623.25,671.60,34.86,34.44,eia.gov
2021-02-06 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,620.03,667.15,35.97,35.77,eia.gov
2021-02-07 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,622.49,669.98,35.58,35.53,eia.gov
2021-02-08 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,514.48,567.91,37.94,36.49,eia.gov
2021-02-09 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,518.80,571.90,37.85,36.10,eia.gov
2021-02-10 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,560.29,615.30,33.23,29.30,eia.gov
2021-02-11 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,586.92,644.52,28.97,24.03,eia.gov
2021-02-12 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,625.67,688.64,23.54,17.26,eia.gov
2021-02-13 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,600.81,665.68,23.87,17.39,eia.gov
2021-02-14 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,612.78,674.62,24.54,14.33,eia.gov
2021-02-15 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,680.83,742.52,19.75,11.27,eia.gov
2021-02-16 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,697.10,742.47,30.83,25.18,eia.gov
2021-02-17 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,736.70,781.29,28.79,19.49,eia.gov
2021-02-18 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,751.86,796.37,27.85,18.81,eia.gov
2021-02-19 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,674.92,713.66,37.29,35.08,eia.gov
2021-02-20 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,638.87,673.46,42.83,41.83,eia.gov
2021-02-21 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,565.72,595.04,51.59,51.39,eia.gov
2021-02-22 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,615.63,648.12,45.84,44.45,eia.gov
2021-02-23 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,651.78,692.12,37.81,36.71,eia.gov
2021-02-24 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,630.17,678.54,34.53,33.09,eia.gov
2021-02-25 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,573.62,628.11,33.92,31.69,eia.gov
2021-02-26 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,576.83,629.10,34.45,31.70,eia.gov
2021-02-27 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,536.71,588.72,38.03,37.49,eia.gov
2021-02-28 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,556.83,610.50,35.69,35.50,eia.gov
2021-03-01 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,574.18,636.53,27.80,23.96,eia.gov
2021-03-02 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,570.65,633.17,28.05,25.86,eia.gov
2021-03-03 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,522.91,581.74,34.15,31.58,eia.gov
2021-03-04 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,522.41,575.91,37.57,35.77,eia.gov
2021-03-05 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,513.49,562.64,41.54,41.42,eia.gov
2021-03-06 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,619.46,678.74,25.99,21.71,eia.gov
2021-03-07 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,593.05,648.99,31.81,31.48,eia.gov
2021-03-08 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,544.10,599.10,35.34,33.68,eia.gov
2021-03-09 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,538.45,590.54,37.60,37.02,eia.gov
2021-03-10 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,497.27,549.70,40.36,40.00,eia.gov
2021-03-11 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,547.13,605.44,32.54,29.24,eia.gov
2021-03-12 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,578.34,637.29,30.37,27.63,eia.gov
2021-03-13 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,562.36,617.15,33.87,32.53,eia.gov
2021-03-14 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,508.05,558.32,40.79,40.52,eia.gov
2021-03-15 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,527.46,580.06,37.04,33.59,eia.gov
2021-03-16 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,570.75,625.53,32.30,28.43,eia.gov
2021-03-17 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,519.24,570.33,39.30,38.63,eia.gov
2021-03-18 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,611.11,669.60,27.26,21.22,eia.gov
2021-03-19 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,600.42,658.42,28.56,25.05,eia.gov
2021-03-20 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,454.80,503.61,45.10,45.05,eia.gov
2021-03-21 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,405.29,453.56,48.97,47.41,eia.gov
2021-03-22 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,394.98,455.03,41.62,38.67,eia.gov
2021-03-23 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,416.06,473.18,41.07,35.83,eia.gov
2021-03-24 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,367.07,421.79,46.31,43.80,eia.gov
2021-03-25 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,443.78,505.35,35.94,31.85,eia.gov
2021-03-26 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,438.20,501.58,35.14,30.00,eia.gov
2021-03-27 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,435.96,499.64,35.38,29.40,eia.gov
2021-03-28 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,458.90,522.33,33.44,28.92,eia.gov
2021-03-29 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,369.22,404.35,59.76,59.74,eia.gov
2021-03-30 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,372.63,401.58,63.72,62.91,eia.gov
2021-03-31 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,530.48,578.60,40.70,34.98,eia.gov
2021-04-01 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,601.58,651.39,34.15,32.16,eia.gov
2021-04-02 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,607.41,654.38,35.63,35.16,eia.gov
2021-04-03 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,646.88,696.27,30.16,25.23,eia.gov
2021-04-04 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,709.22,754.72,30.25,25.47,eia.gov
2021-04-05 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,700.09,735.74,38.28,37.64,eia.gov
2021-04-06 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,611.53,644.88,45.63,45.61,eia.gov
2021-04-07 00:00:00,USA,Public Service Company of New Mexico,US-SW-PNM,604.62,635.58,48.20,48.09,eia.gov
