Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Salt River Project,US-SW-SRP,186.86,233.41,64.20,4.42,eia.gov
2022-01-02 00:00:00,USA,Salt River Project,US-SW-SRP,190.73,239.01,62.79,2.61,eia.gov
2022-01-03 00:00:00,USA,Salt River Project,US-SW-SRP,185.35,236.53,61.08,1.95,eia.gov
2022-01-04 00:00:00,USA,Salt River Project,US-SW-SRP,185.05,230.85,64.87,3.36,eia.gov
2022-01-05 00:00:00,USA,Salt River Project,US-SW-SRP,181.65,230.87,62.73,2.08,eia.gov
2022-01-06 00:00:00,USA,Salt River Project,US-SW-SRP,187.14,237.58,61.49,1.84,eia.gov
2022-01-07 00:00:00,USA,Salt River Project,US-SW-SRP,181.62,227.90,64.77,3.33,eia.gov
2022-01-08 00:00:00,USA,Salt River Project,US-SW-SRP,178.63,218.34,69.39,5.27,eia.gov
2022-01-09 00:00:00,USA,Salt River Project,US-SW-SRP,166.20,209.94,67.54,2.56,eia.gov
2022-01-10 00:00:00,USA,Salt River Project,US-SW-SRP,157.86,204.47,66.07,1.90,eia.gov
2022-01-11 00:00:00,USA,Salt River Project,US-SW-SRP,154.48,198.62,67.97,1.98,eia.gov
2022-01-12 00:00:00,USA,Salt River Project,US-SW-SRP,161.44,203.45,69.01,2.61,eia.gov
2022-01-13 00:00:00,USA,Salt River Project,US-SW-SRP,178.40,226.48,63.69,2.10,eia.gov
2022-01-14 00:00:00,USA,Salt River Project,US-SW-SRP,186.08,232.21,64.49,3.08,eia.gov
2022-01-15 00:00:00,USA,Salt River Project,US-SW-SRP,176.54,222.15,65.54,2.96,eia.gov
2022-01-16 00:00:00,USA,Salt River Project,US-SW-SRP,173.14,214.46,68.87,2.59,eia.gov
2022-01-17 00:00:00,USA,Salt River Project,US-SW-SRP,171.11,213.03,68.51,2.30,eia.gov
2022-01-18 00:00:00,USA,Salt River Project,US-SW-SRP,172.87,212.55,69.91,3.47,Electricity Maps Estimation; eia.gov
2022-01-19 00:00:00,USA,Salt River Project,US-SW-SRP,169.46,210.11,69.42,2.86,eia.gov
2022-01-20 00:00:00,USA,Salt River Project,US-SW-SRP,152.46,193.70,70.16,2.46,eia.gov
2022-01-21 00:00:00,USA,Salt River Project,US-SW-SRP,165.66,205.91,69.97,3.66,eia.gov
2022-01-22 00:00:00,USA,Salt River Project,US-SW-SRP,155.48,197.95,69.10,2.77,eia.gov
2022-01-23 00:00:00,USA,Salt River Project,US-SW-SRP,148.31,190.95,69.55,2.01,eia.gov
2022-01-24 00:00:00,USA,Salt River Project,US-SW-SRP,172.38,218.39,65.59,2.81,eia.gov
2022-01-25 00:00:00,USA,Salt River Project,US-SW-SRP,239.27,301.10,50.31,3.63,Electricity Maps Estimation; eia.gov
2022-01-26 00:00:00,USA,Salt River Project,US-SW-SRP,246.78,307.71,50.45,4.33,eia.gov
2022-01-27 00:00:00,USA,Salt River Project,US-SW-SRP,250.89,313.54,48.95,3.40,eia.gov
2022-01-28 00:00:00,USA,Salt River Project,US-SW-SRP,228.32,290.24,50.93,4.44,eia.gov
2022-01-29 00:00:00,USA,Salt River Project,US-SW-SRP,225.17,287.44,50.93,3.56,eia.gov
2022-01-30 00:00:00,USA,Salt River Project,US-SW-SRP,213.55,271.80,54.57,3.03,Electricity Maps Estimation; eia.gov
2022-01-31 00:00:00,USA,Salt River Project,US-SW-SRP,243.88,302.04,52.80,3.62,eia.gov
2022-02-01 00:00:00,USA,Salt River Project,US-SW-SRP,252.74,313.42,50.42,3.59,eia.gov
2022-02-02 00:00:00,USA,Salt River Project,US-SW-SRP,245.33,305.97,50.97,4.26,eia.gov
2022-02-03 00:00:00,USA,Salt River Project,US-SW-SRP,298.89,358.83,48.48,4.55,eia.gov
