Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,708.78,772.17,19.85,12.12,eia.gov; Electricity Maps Estimation
2021-01-02 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,717.96,782.23,18.61,13.44,eia.gov; Electricity Maps Estimation
2021-01-03 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,682.56,741.35,24.07,18.74,eia.gov; Electricity Maps Estimation
2021-01-04 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,660.01,721.14,24.18,18.10,eia.gov
2021-01-05 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,679.63,736.92,25.01,19.94,eia.gov; Electricity Maps Estimation
2021-01-06 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,680.69,738.04,25.04,20.64,eia.gov; Electricity Maps Estimation
2021-01-07 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,765.96,833.06,13.51,8.95,eia.gov
2021-01-08 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,733.42,794.26,19.53,14.55,eia.gov; Electricity Maps Estimation
2021-01-09 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,768.43,833.05,14.81,9.84,eia.gov; Electricity Maps Estimation
2021-01-10 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,727.69,792.46,17.80,11.77,eia.gov
2021-01-11 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,728.56,796.85,15.61,9.30,eia.gov
2021-01-12 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,726.82,792.53,16.74,10.88,eia.gov
2021-01-13 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,678.04,749.31,17.02,11.40,eia.gov
2021-01-14 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,674.40,742.45,19.05,13.05,eia.gov
2021-01-15 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,673.99,742.14,19.23,12.75,eia.gov
2021-01-16 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,679.59,746.92,19.24,12.95,eia.gov
2021-01-17 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,672.27,739.04,20.21,12.97,eia.gov
2021-01-18 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,693.75,758.92,19.58,13.65,eia.gov; Electricity Maps Estimation
2021-01-19 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,698.67,762.99,19.51,13.25,eia.gov
2021-01-20 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,676.53,743.68,19.31,12.34,eia.gov
2021-01-21 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,678.64,745.23,19.69,11.61,eia.gov
2021-01-22 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,553.33,629.76,22.90,12.04,eia.gov
2021-01-23 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,525.36,599.96,25.88,17.71,eia.gov
2021-01-24 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,588.70,666.02,19.85,11.82,eia.gov
2021-01-25 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,646.02,713.45,21.32,16.31,eia.gov
2021-01-26 00:00:00,USA,Tucson Electric Power Company,US-SW-TEPC,635.18,705.26,20.29,13.07,eia.gov
