Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,356.25,410.91,44.37,30.67,eia.gov
2022-01-02 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,367.92,425.66,41.74,29.02,eia.gov
2022-01-03 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,380.63,438.71,40.46,27.37,eia.gov
2022-01-04 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,375.58,432.54,41.73,27.86,eia.gov
2022-01-05 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,364.97,427.03,39.37,25.37,eia.gov
2022-01-06 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,377.99,444.20,35.57,21.65,eia.gov
2022-01-07 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,358.46,417.18,41.84,28.40,eia.gov
2022-01-08 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,354.81,408.50,45.32,31.15,eia.gov
2022-01-09 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,330.72,387.40,45.45,29.46,eia.gov
2022-01-10 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,332.57,391.53,43.52,27.46,eia.gov
2022-01-11 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,349.16,408.44,42.03,25.71,eia.gov
2022-01-12 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,357.75,415.74,42.13,26.53,eia.gov
2022-01-13 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,371.52,431.63,39.47,22.92,eia.gov
2022-01-14 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,354.30,409.70,44.12,28.30,eia.gov
2022-01-15 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,348.48,404.57,44.12,28.67,eia.gov
2022-01-16 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,347.55,403.50,44.75,27.49,eia.gov
2022-01-17 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,362.01,421.13,41.45,24.47,eia.gov
2022-01-18 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,368.90,425.19,42.73,27.15,eia.gov
2022-01-19 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,360.37,417.04,43.35,27.90,eia.gov
2022-01-20 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,336.64,392.56,45.67,30.84,eia.gov
2022-01-21 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,349.61,404.00,45.80,30.75,eia.gov
2022-01-22 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,311.18,362.83,50.29,37.25,eia.gov
2022-01-23 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,290.94,344.27,51.09,34.18,eia.gov
2022-01-24 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,342.06,399.65,44.21,27.82,eia.gov
2022-01-25 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,361.33,425.70,38.54,32.63,eia.gov
2022-01-26 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,341.85,402.16,42.88,37.22,eia.gov
2022-01-27 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,360.80,423.02,39.99,32.99,eia.gov
2022-01-28 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,312.85,370.71,46.79,41.21,eia.gov
2022-01-29 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,324.30,385.52,43.83,37.74,eia.gov
2022-01-30 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,324.47,388.20,42.76,35.67,eia.gov
2022-01-31 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,364.59,426.98,39.93,33.98,eia.gov
2022-02-01 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,329.34,392.00,42.51,36.43,eia.gov
2022-02-02 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,298.53,358.30,46.91,39.47,eia.gov
2022-02-03 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,318.19,381.10,43.91,38.83,eia.gov
2022-02-04 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,312.53,378.20,42.90,38.68,eia.gov
2022-02-05 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,315.98,381.65,42.61,38.56,eia.gov
2022-02-06 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,304.60,368.05,44.60,40.44,eia.gov
2022-02-07 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,330.97,402.38,37.54,33.48,eia.gov
2022-02-08 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,331.05,398.77,39.67,31.90,eia.gov
2022-02-09 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,326.58,393.19,40.30,30.84,eia.gov
2022-02-10 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,310.24,373.98,43.47,32.96,eia.gov
2022-02-11 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,325.36,390.67,41.43,31.70,eia.gov
2022-02-12 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,318.27,384.83,41.23,29.84,eia.gov
2022-02-13 00:00:00,USA,Western Area Power Administration - Desert Southwest Region,US-SW-WALC,322.30,386.90,42.19,29.15,eia.gov
