Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,203.95,247.19,68.20,17.57,eia.gov
2021-01-02 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,203.87,246.62,68.86,17.54,eia.gov
2021-01-03 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,221.90,269.74,64.05,16.91,eia.gov
2021-01-04 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,242.11,297.40,57.23,16.32,eia.gov
2021-01-05 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,245.56,302.22,55.72,13.11,eia.gov
2021-01-06 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,249.90,308.09,54.51,16.14,eia.gov
2021-01-07 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,258.80,317.88,53.41,15.18,eia.gov
2021-01-08 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,285.37,347.22,49.94,12.13,eia.gov
2021-01-09 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,294.53,357.30,48.89,11.48,eia.gov
2021-01-10 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,293.59,356.01,49.06,10.64,eia.gov
2021-01-11 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,285.19,346.61,50.51,14.31,eia.gov
2021-01-12 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,295.15,357.89,48.78,11.53,eia.gov
2021-01-13 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,304.59,369.07,47.08,13.32,eia.gov
2021-01-14 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,300.37,362.30,49.13,13.17,eia.gov
2021-01-15 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,289.21,346.40,53.55,14.38,eia.gov
2021-01-16 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,305.09,364.17,51.31,11.82,eia.gov
2021-01-17 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,308.98,365.71,52.64,10.83,eia.gov
2021-01-18 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,312.06,369.06,52.38,12.05,eia.gov
2021-01-19 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,313.80,370.70,52.43,12.47,eia.gov
2021-01-20 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,312.74,369.84,52.12,10.90,eia.gov
2021-01-21 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,302.69,358.38,53.80,12.50,eia.gov
2021-01-22 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,310.66,367.65,52.47,10.47,eia.gov
2021-01-23 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,323.30,381.68,50.64,10.27,eia.gov
2021-01-24 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,303.37,360.06,52.51,10.23,eia.gov
2021-01-25 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,303.03,356.01,55.24,11.35,eia.gov
2021-01-26 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,268.04,317.46,59.73,12.59,eia.gov
2021-01-27 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,266.91,318.68,58.59,14.61,eia.gov
2021-01-28 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,294.91,353.97,51.69,14.33,eia.gov
2021-01-29 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,305.28,365.22,50.33,15.22,eia.gov
2021-01-30 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,293.00,348.89,53.91,15.54,eia.gov
2021-01-31 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,267.29,316.73,59.87,16.41,eia.gov
2021-02-01 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,293.91,352.30,52.07,14.87,eia.gov
2021-02-02 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,310.04,374.35,46.72,10.94,eia.gov
2021-02-03 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,307.94,369.97,48.43,12.38,eia.gov
2021-02-04 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,320.27,378.18,51.17,16.20,eia.gov
2021-02-05 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,313.41,368.84,53.46,13.20,eia.gov
2021-02-06 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,326.98,383.78,51.93,13.07,eia.gov
2021-02-07 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,334.05,391.94,50.76,11.15,eia.gov
2021-02-08 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,335.12,393.66,50.68,13.58,eia.gov
2021-02-09 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,330.84,386.44,53.00,11.84,eia.gov
2021-02-10 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,325.82,376.74,57.12,14.29,eia.gov
2021-02-11 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,340.68,392.69,55.71,14.69,eia.gov
2021-02-12 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,355.81,412.87,51.25,14.53,eia.gov
2021-02-13 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,381.33,442.99,46.43,11.98,eia.gov
2021-02-14 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,395.65,457.46,45.59,10.92,eia.gov
2021-02-15 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,398.41,462.95,43.20,9.96,eia.gov
2021-02-16 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,382.84,446.85,44.53,12.86,eia.gov
2021-02-17 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,400.96,467.12,41.95,9.80,eia.gov
2021-02-18 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,384.19,445.08,46.76,11.05,eia.gov
2021-02-19 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,372.78,432.31,48.65,13.91,eia.gov
2021-02-20 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,345.55,402.80,51.63,16.43,eia.gov
2021-02-21 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,334.57,385.52,56.72,17.65,eia.gov
2021-02-22 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,283.63,328.75,63.33,19.39,eia.gov
2021-02-23 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,309.34,355.37,61.70,19.70,eia.gov
2021-02-24 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,260.02,302.62,66.39,20.78,eia.gov
2021-02-25 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,238.09,278.38,69.49,22.01,eia.gov
2021-02-26 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,283.02,328.12,63.42,20.00,eia.gov
2021-02-27 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,281.07,329.09,61.06,18.02,eia.gov
2021-02-28 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,279.69,325.22,62.63,16.01,eia.gov
2021-03-01 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,275.70,325.85,59.91,17.00,eia.gov
2021-03-02 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,285.89,342.95,54.31,18.63,eia.gov
2021-03-03 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,278.53,334.56,55.29,18.17,eia.gov
2021-03-04 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,271.73,326.24,56.67,18.19,eia.gov
2021-03-05 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,270.03,322.60,58.33,20.31,eia.gov
2021-03-06 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,280.45,333.16,57.82,18.84,eia.gov
2021-03-07 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,281.94,332.20,59.48,20.72,eia.gov
2021-03-08 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,281.69,332.39,59.22,20.82,eia.gov
2021-03-09 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,282.10,330.51,60.91,21.18,eia.gov
2021-03-10 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,286.91,332.43,62.89,20.59,eia.gov
2021-03-11 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,275.91,320.40,64.42,19.99,eia.gov
2021-03-12 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,275.92,321.23,63.90,19.03,eia.gov
2021-03-13 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,275.47,319.04,65.01,18.52,eia.gov
2021-03-14 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,262.30,304.54,66.39,20.07,eia.gov
2021-03-15 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,293.44,339.30,62.24,19.24,eia.gov
2021-03-16 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,301.60,350.46,59.68,17.51,eia.gov
2021-03-17 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,312.70,363.02,57.92,17.73,eia.gov
2021-03-18 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,324.53,378.48,54.52,16.88,eia.gov
2021-03-19 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,323.38,378.72,53.78,17.29,eia.gov
2021-03-20 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,324.84,377.33,55.55,14.52,eia.gov
2021-03-21 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,261.90,305.91,65.17,20.55,eia.gov
2021-03-22 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,266.98,312.21,64.22,19.25,eia.gov
2021-03-23 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,270.68,316.53,63.48,19.15,eia.gov
2021-03-24 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,268.00,313.74,63.83,19.37,eia.gov
2021-03-25 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,284.57,332.62,61.46,17.32,eia.gov
2021-03-26 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,280.03,328.14,61.61,17.06,eia.gov
2021-03-27 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,280.95,328.03,61.97,16.12,eia.gov
2021-03-28 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,289.18,334.00,63.24,14.27,eia.gov
2021-03-29 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,298.20,347.36,59.51,16.61,eia.gov
2021-03-30 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,280.22,326.27,62.87,19.87,eia.gov
2021-03-31 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,267.94,314.08,63.45,19.76,eia.gov
2021-04-01 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,309.16,362.09,56.28,17.95,eia.gov
2021-04-02 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,307.16,360.78,55.67,18.70,eia.gov
2021-04-03 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,279.80,329.65,60.02,20.41,eia.gov
2021-04-04 00:00:00,USA,Tennessee Valley Authority,US-TEN-TVA,249.91,291.83,67.56,22.77,eia.gov
