Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,306.55,348.52,56.32,43.57,eia.gov
2022-01-02 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,289.87,343.48,50.47,39.57,eia.gov
2022-01-03 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,401.59,477.74,27.33,17.07,eia.gov
2022-01-04 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,283.17,332.26,53.71,42.72,eia.gov
2022-01-05 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,324.68,377.56,48.21,35.94,eia.gov
2022-01-06 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,328.07,382.95,46.60,34.82,eia.gov
2022-01-07 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,400.94,468.19,32.90,22.74,eia.gov
2022-01-08 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,305.28,349.65,54.94,43.17,eia.gov
2022-01-09 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,271.91,310.21,61.33,48.24,eia.gov
2022-01-10 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,379.90,442.02,37.74,26.16,eia.gov
2022-01-11 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,389.29,457.50,33.17,22.11,eia.gov
2022-01-12 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,396.64,462.09,34.48,22.75,eia.gov
2022-01-13 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,460.26,536.50,22.65,10.50,eia.gov
2022-01-14 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,329.47,381.90,48.00,35.42,eia.gov
2022-01-15 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,235.87,270.51,66.50,54.71,eia.gov
2022-01-16 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,385.22,450.53,35.49,24.81,eia.gov
2022-01-17 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,404.21,475.71,30.07,18.68,eia.gov
2022-01-18 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,254.50,294.16,61.98,49.86,eia.gov
2022-01-19 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,275.13,313.51,61.07,48.14,eia.gov
2022-01-20 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,313.36,364.66,49.74,39.76,eia.gov
2022-01-21 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,415.68,493.08,25.37,16.21,eia.gov
2022-01-22 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,412.23,487.78,26.69,16.71,eia.gov
2022-01-23 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,435.59,511.50,24.64,13.30,eia.gov
2022-01-24 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,388.02,456.19,33.42,21.56,eia.gov
2022-01-25 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,397.34,461.35,35.36,23.65,eia.gov
2022-01-26 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,380.81,444.13,36.80,25.65,eia.gov
2022-01-27 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,443.33,519.06,24.12,12.70,eia.gov
2022-01-28 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,341.04,397.17,44.90,33.52,eia.gov
2022-01-29 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,391.92,458.97,33.93,22.59,eia.gov
2022-01-30 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,350.52,405.56,44.81,32.38,eia.gov
2022-01-31 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,386.36,444.32,40.04,27.15,eia.gov
2022-02-01 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,348.06,399.27,47.26,34.22,eia.gov
2022-02-02 00:00:00,USA,"Electric Reliability Council of Texas, Inc.",US-TEX-ERCO,289.08,339.29,52.34,39.95,eia.gov
