Datetime (UTC);Country;Zone Name;Zone Id;Carbon Intensity gCO₂eq/kWh (direct);Carbon Intensity gCO₂eq/kWh (LCA);Low Carbon Percentage;Renewable Percentage;Data Source;Data Estimated;Data Estimation Method
2023-01-01 00:00:00;USA;USA;US;346.93;410.11;42.88;21.01;;false;
2023-01-01 01:00:00;USA;USA;US;332.95;394.05;45.31;23.03;;false;
2023-01-01 02:00:00;USA;USA;US;329.42;389.5;46.19;23.31;;false;
2023-01-01 03:00:00;USA;USA;US;326.01;385.11;47.08;23.5;;false;
2023-01-01 04:00:00;USA;USA;US;323.39;381.48;47.9;23.69;;false;
2023-01-01 05:00:00;USA;USA;US;320.31;377.89;48.44;23.59;;false;
2023-01-01 06:00:00;USA;USA;US;316.5;373.64;48.95;23.44;;false;
2023-01-01 07:00:00;USA;USA;US;316.87;373.82;49.06;22.93;;false;
2023-01-01 08:00:00;USA;USA;US;316.7;373.02;49.43;22.79;;false;
2023-01-01 09:00:00;USA;USA;US;313.9;369.66;49.98;23.07;;false;
2023-01-01 10:00:00;USA;USA;US;313.83;369.46;50.09;23.08;;false;
2023-01-01 11:00:00;USA;USA;US;317.99;374.09;49.49;22.57;;false;
2023-01-01 12:00:00;USA;USA;US;324.27;381.92;48.04;21.69;;false;
2023-01-01 13:00:00;USA;USA;US;329.34;388.26;46.88;21.04;;false;
2023-01-01 14:00:00;USA;USA;US;329.59;388.9;46.74;21.5;;false;
2023-01-01 15:00:00;USA;USA;US;329.42;389.06;46.74;21.88;;false;
2023-01-01 16:00:00;USA;USA;US;332.14;392.35;46.28;21.67;;false;
2023-01-01 17:00:00;USA;USA;US;333.4;393.95;46.0;21.62;;false;
2023-01-01 18:00:00;USA;USA;US;334.06;394.87;45.79;21.57;;false;
2023-01-01 19:00:00;USA;USA;US;338.57;400.27;44.84;20.74;;false;
2023-01-01 20:00:00;USA;USA;US;344.4;407.06;43.68;19.61;;false;
2023-01-01 21:00:00;USA;USA;US;346.83;410.54;42.7;18.81;;false;
2023-01-01 22:00:00;USA;USA;US;352.85;417.76;41.41;18.11;;false;
2023-01-01 23:00:00;USA;USA;US;354.26;419.43;41.08;18.38;;false;
2023-01-02 00:00:00;USA;USA;US;346.41;410.46;42.38;19.88;;false;
2023-01-02 01:00:00;USA;USA;US;340.38;403.77;43.31;20.76;;false;
2023-01-02 02:00:00;USA;USA;US;337.18;399.88;43.99;21.0;;false;
2023-01-02 03:00:00;USA;USA;US;336.59;398.6;44.45;20.81;;false;
2023-01-02 04:00:00;USA;USA;US;333.14;393.71;45.63;21.16;;false;
2023-01-02 05:00:00;USA;USA;US;329.32;388.82;46.63;21.24;;false;
2023-01-02 06:00:00;USA;USA;US;327.49;386.33;47.15;20.94;;false;
2023-01-02 07:00:00;USA;USA;US;323.96;382.2;47.78;20.96;;false;
2023-01-02 08:00:00;USA;USA;US;324.1;382.65;47.53;20.47;;false;
2023-01-02 09:00:00;USA;USA;US;327.35;386.42;46.95;19.91;;false;
2023-01-02 10:00:00;USA;USA;US;333.2;393.32;45.87;19.17;;false;
2023-01-02 11:00:00;USA;USA;US;339.11;400.44;44.65;18.78;;false;
2023-01-02 12:00:00;USA;USA;US;338.26;399.97;44.55;19.6;;false;
2023-01-02 13:00:00;USA;USA;US;334.07;395.99;44.82;20.7;;false;
