Metric,Value
Model,llama3_1_70b
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,2099.3315353393555
AVG. Time / Prompt,4.198663070678711
AVG. Tokens / Second,160.15955285769047
Total Input Tokens,67505
AVG. Input Tokens / Prompt,135.01
Total Output Tokens,336228
AVG. Output Tokens / Prompt,672.456
Total Emissions,0.38997677418732
Emissions / 1.000.000 Input Tokens,5.777005765311014
Emissions / 1.000.000 Output Tokens,1.1598581146939577
Emissions / 10.000 Prompts,7.799535483746401
