Metric,Value
Model,llama3_1_70b_awq_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,1466.4071140289307
AVG. Time / Prompt,2.9328142280578615
AVG. Tokens / Second,219.2031100536916
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,321441
AVG. Output Tokens / Prompt,642.882
Total Emissions,0.13114187955732337
Emissions / 1.000.000 Input Tokens,1.9408012247461686
Emissions / 1.000.000 Output Tokens,0.40798118335036093
Emissions / 10.000 Prompts,2.6228375911464674
