Metric,Value
Model,llama3_1_70b_awq_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,828.7177526950836
AVG. Time / Prompt,1.6574355053901673
AVG. Tokens / Second,374.31682740134966
Total Input Tokens,83535
AVG. Input Tokens / Prompt,167.07
Total Output Tokens,310203
AVG. Output Tokens / Prompt,620.406
Total Emissions,0.07035958470403586
Emissions / 1.000.000 Input Tokens,0.842276706817931
Emissions / 1.000.000 Output Tokens,0.2268178731476996
Emissions / 10.000 Prompts,1.4071916940807172
