Metric,Value
Model,llama3_1_70b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,889.8804054260254
AVG. Time / Prompt,1.7797608108520508
AVG. Tokens / Second,342.85955521622384
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,305104
AVG. Output Tokens / Prompt,610.208
Total Emissions,0.14688023509218362
Emissions / 1.000.000 Input Tokens,2.173717054537947
Emissions / 1.000.000 Output Tokens,0.4814103882354332
Emissions / 10.000 Prompts,2.9376047018436724
