Metric,Value
Model,llama3_1_70b_fp8_1
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,903.9618587493896
AVG. Time / Prompt,1.8079237174987792
AVG. Tokens / Second,346.8951670525465
Total Input Tokens,83535
AVG. Input Tokens / Prompt,167.07
Total Output Tokens,313580
AVG. Output Tokens / Prompt,627.16
Total Emissions,0.14840400339042126
Emissions / 1.000.000 Input Tokens,1.7765487926069463
Emissions / 1.000.000 Output Tokens,0.4732572338491653
Emissions / 10.000 Prompts,2.968080067808425
