Metric,Value
Model,llama3_1_70b_fp8_dyn_self
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,1882.3972895145416
AVG. Time / Prompt,3.764794579029083
AVG. Tokens / Second,172.02054093666317
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,323811
AVG. Output Tokens / Prompt,647.622
Total Emissions,0.3213594001922018
Emissions / 1.000.000 Input Tokens,0.7348784351839529
Emissions / 1.000.000 Output Tokens,0.9924289174617348
Emissions / 10.000 Prompts,6.427188003844036
