Metric,Value
Model,llama3_1_70b_no_prompt_2
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,1867.37877202034
AVG. Time / Prompt,3.7347575440406797
AVG. Tokens / Second,180.98738459704344
Total Input Tokens,83535
AVG. Input Tokens / Prompt,167.07
Total Output Tokens,337972
AVG. Output Tokens / Prompt,675.944
Total Emissions,0.3456769174267431
Emissions / 1.000.000 Input Tokens,4.1381087858591385
Emissions / 1.000.000 Output Tokens,1.0227975022390705
Emissions / 10.000 Prompts,6.913538348534863
